Participant_ID,Country,Age,Gender,Education,Income_Level,Bank_Type,Years_with_Account,Frequency_of_Use,Past_Victim,Fraud_Incidents,Fraud_Types,Fraud_Amount,Fraud_Resolution,Tech_Adoption,Risk_Tolerance,Financial_Literacy,Trust_Banking,Mobile_Usage,Internet_Quality,Employment_Status,Marital_Status,Urban_Rural,Data_Collection_Date
1,Nigeria,27,1,6,3,1,2,4,0,0,,0.0,0,3.2,3.2,4.0,2.1,4.7,3.0,1,3,1,2025-10-26
2,Ghana,18,1,5,6,1,3,3,0,0,,0.0,0,4.2,2.5,3.6,4.2,3.9,4.0,3,1,1,2025-10-26
3,Ghana,30,2,5,4,1,2,3,0,0,,0.0,0,3.8,3.3,4.4,4.5,3.8,3.2,3,1,1,2025-10-26
4,Nigeria,45,1,3,3,1,2,1,0,0,,0.0,0,2.9,2.7,3.4,4.4,4.6,3.3,1,2,2,2025-10-26
5,Nigeria,41,1,2,6,2,5,4,0,0,,0.0,0,5.0,3.1,3.9,3.5,3.7,4.0,1,3,1,2025-10-26
6,Nigeria,40,1,1,5,1,7,4,1,2,Social Engineering; Card Fraud,21956.43,1,4.5,2.0,3.6,3.8,4.4,3.5,2,2,1,2025-10-26
7,Nigeria,31,2,4,3,1,21,5,0,0,,0.0,0,1.7,1.8,4.0,3.1,4.0,1.5,4,1,2,2025-10-26
8,Ghana,19,1,5,5,1,2,2,0,0,,0.0,0,4.7,2.8,3.9,3.7,4.1,3.9,3,3,1,2025-10-26
9,Ghana,41,2,2,3,1,19,5,0,0,,0.0,0,2.3,3.2,3.3,3.6,4.8,2.7,4,2,1,2025-10-26
10,Ghana,24,1,4,2,1,7,3,0,0,,0.0,0,1.9,2.2,3.6,3.6,3.8,2.9,4,1,1,2025-10-26
11,Nigeria,61,2,4,2,1,7,5,0,0,,0.0,0,3.9,3.4,3.5,4.2,3.7,3.4,2,1,1,2025-10-26
12,Ghana,41,2,5,4,1,1,1,1,3,Card Fraud; Social Engineering; Account Takeover,791.71,1,3.9,3.0,4.1,3.8,3.9,2.8,3,2,1,2025-10-26
13,Ghana,28,1,4,3,1,3,3,0,0,,0.0,0,4.5,3.5,2.8,4.7,3.4,2.7,5,1,2,2025-10-26
14,Nigeria,27,2,6,4,2,4,2,0,0,,0.0,0,5.0,3.7,4.6,3.6,4.5,3.0,3,2,1,2025-10-26
15,Nigeria,33,1,3,4,1,14,4,0,0,,0.0,0,3.7,3.9,3.2,4.8,4.4,2.5,1,1,1,2025-10-26
16,Nigeria,32,1,3,1,1,3,4,0,0,,0.0,0,2.5,3.4,2.9,4.2,4.0,1.7,1,2,1,2025-10-26
17,Nigeria,48,2,4,1,1,3,3,0,0,,0.0,0,3.7,2.8,3.7,3.4,3.5,3.4,1,1,2,2025-10-26
18,Nigeria,37,1,3,3,1,1,3,0,0,,0.0,0,3.6,3.1,3.4,3.6,2.6,3.8,2,2,1,2025-10-26
19,Nigeria,26,1,1,2,2,5,5,0,0,,0.0,0,5.0,4.6,4.1,3.0,3.6,3.7,1,2,1,2025-10-26
20,Nigeria,57,1,4,4,1,1,4,0,0,,0.0,0,3.5,3.7,4.2,3.6,3.9,2.3,1,2,2,2025-10-26
21,Ghana,35,1,5,3,2,1,1,0,0,,0.0,0,4.3,3.1,5.0,3.1,3.1,3.8,2,3,1,2025-10-26
22,Nigeria,44,2,4,3,1,4,2,0,0,,0.0,0,3.5,2.9,4.5,4.3,5.0,2.6,4,2,1,2025-10-26
23,Nigeria,27,1,3,3,3,1,5,0,0,,0.0,0,2.5,2.6,2.5,3.8,4.2,2.0,2,2,1,2025-10-26
24,Nigeria,39,2,4,4,3,4,4,0,0,,0.0,0,4.1,2.2,4.3,4.2,4.3,2.4,1,2,1,2025-10-26
25,Nigeria,38,2,3,4,2,1,2,0,0,,0.0,0,2.8,4.2,3.2,2.1,3.9,1.0,4,1,1,2025-10-26
26,Ghana,18,1,1,6,2,3,2,0,0,,0.0,0,4.8,3.3,2.0,3.5,4.4,2.8,3,1,2,2025-10-26
27,Nigeria,59,1,4,4,2,1,2,0,0,,0.0,0,4.6,2.1,3.8,3.3,3.8,1.8,3,1,1,2025-10-26
28,Nigeria,50,2,2,3,1,6,4,0,0,,0.0,0,1.8,2.9,2.7,4.1,3.9,3.2,3,1,1,2025-10-26
29,Nigeria,30,1,2,2,2,3,3,0,0,,0.0,0,2.8,3.9,3.1,3.8,4.7,3.2,3,2,1,2025-10-26
30,Nigeria,21,1,5,4,2,2,1,0,0,,0.0,0,4.3,2.7,3.3,4.1,4.5,1.6,4,1,1,2025-10-26
31,Ghana,39,1,1,5,3,1,2,0,0,,0.0,0,2.7,2.4,3.2,4.5,4.0,4.1,4,2,1,2025-10-26
32,Nigeria,36,2,6,2,1,1,4,0,0,,0.0,0,4.7,3.2,4.3,4.2,5.0,2.5,3,2,1,2025-10-26
