Participant_ID,Country,Age,Gender,Education,Location_Type,Employment_Status,Income_Level,Bank_Type,Years_with_Account,Frequency_of_Use,Past_Victim,Num_Fraud_Incidents,Months_Since_Last_Incident,Financial_Loss_Band,Recovery_Success,Card_Fraud,Online_Banking_Fraud,SMS_Phishing,ATM_Skimming,Social_Engineering,Technology_Adoption_Score,Financial_Literacy_Score,Risk_Tolerance,Trust_in_Banks,Internet_Hours_Daily,Social_Media_Usage,Data_Collection_Timestamp
1,1,40,1,3,1,4,2,1,9,3,0,0,,0,,0,0,0,0,0,5.4,9.3,5,5.7,2.6,2,2024-05-01 14:09:00
2,1,34,1,5,1,4,4,3,8,2,1,1,2.0,1,1.0,1,1,0,0,1,9.3,7.9,3,2.2,7.1,2,2024-05-19 11:18:00
3,1,28,2,4,1,1,5,1,10,5,0,0,,0,,0,0,0,0,0,6.6,8.4,5,9.2,1.9,2,2024-04-28 14:45:00
4,2,26,2,4,1,2,1,2,8,4,1,2,10.0,1,0.0,1,0,1,0,0,9.4,7.4,5,4.8,8.3,2,2024-02-14 08:46:00
5,2,48,2,4,1,5,1,1,13,2,0,0,,0,,0,0,0,0,0,7.3,4.7,4,4.5,3.2,2,2024-05-19 12:45:00
6,1,18,1,3,1,1,3,1,1,1,0,0,,0,,0,0,0,0,0,7.4,5.7,5,7.9,9.2,2,2024-05-02 14:16:00
7,2,19,1,2,1,1,1,1,2,1,0,0,,0,,0,0,0,0,0,7.7,2.1,5,7.4,9.9,2,2024-02-20 11:55:00
8,2,40,1,4,1,6,3,3,9,3,0,0,,0,,0,0,0,0,0,4.2,7.2,5,4.8,1.4,1,2024-02-08 16:34:00
9,1,30,1,3,1,1,4,1,5,3,0,0,,0,,0,0,0,0,0,4.3,3.4,4,8.5,1.0,1,2024-06-02 16:28:00
10,2,18,2,4,1,1,5,2,1,1,0,0,,0,,0,0,0,0,0,8.5,7.4,6,3.8,5.5,2,2024-03-05 12:24:00
11,1,18,1,4,1,4,1,2,1,1,0,0,,0,,0,0,0,0,0,8.2,6.5,7,4.4,9.9,3,2024-04-26 17:26:00
12,1,26,1,4,1,3,1,1,7,1,1,2,1.0,4,1.0,1,0,1,0,0,7.3,9.7,3,2.7,1.9,3,2024-06-13 12:55:00
13,1,24,1,3,2,4,2,1,8,2,0,0,,0,,0,0,0,0,0,7.8,5.5,5,2.7,6.8,1,2024-01-16 16:37:00
14,1,38,2,3,1,1,3,1,6,2,0,0,,0,,0,0,0,0,0,6.3,7.7,3,7.6,0.9,2,2024-05-07 14:12:00
15,1,48,1,6,2,1,4,2,1,2,0,0,,0,,0,0,0,0,0,6.8,9.1,4,8.7,1.8,2,2024-06-25 11:16:00
16,1,40,1,3,2,1,1,1,16,3,0,0,,0,,0,0,0,0,0,5.6,6.4,2,7.9,3.9,3,2024-02-09 14:44:00
