Participant_ID,Country,Age,Gender,Education,Income_Level,Bank_Type,Years_with_Account,Frequency_of_Use,Past_Victim
P0001,1,46,1,1,3,1,1.0,4,0
P0002,1,37,1,5,4,1,4.9,2,0
P0003,1,36,2,5,5,1,6.2,3,0
P0004,1,36,2,5,5,3,2.0,5,0
P0005,1,67,2,5,5,1,2.6,2,0
P0006,1,51,2,5,4,1,9.3,4,1
P0007,1,33,1,5,4,2,5.7,1,0
P0008,1,47,2,4,3,3,7.5,2,0
P0009,1,42,1,5,4,1,13.7,2,1
P0010,1,22,1,4,4,2,1.6,2,0
P0011,1,28,1,4,2,2,0.5,3,0
P0012,1,43,1,5,5,2,0.5,5,0
P0013,1,64,1,5,4,1,5.3,2,0
P0014,1,36,1,4,4,2,0.6,1,0
P0015,1,32,1,3,2,1,5.3,4,0
P0016,1,40,2,4,4,2,6.9,2,0
P0017,1,32,1,5,5,2,1.3,1,0
P0018,1,35,1,6,4,1,3.5,2,1
P0019,1,39,1,3,3,2,1.6,2,0
P0020,1,28,2,3,4,1,2.7,3,0
P0021,1,51,1,5,4,2,1.9,2,1
P0022,1,27,1,4,2,2,1.0,1,0
P0023,1,26,1,5,4,1,4.6,5,0
P0024,1,42,1,6,5,1,3.8,3,0
P0025,1,50,1,1,1,3,10.4,3,0
P0026,1,41,1,5,6,1,8.8,1,0
P0027,1,37,1,3,3,1,3.0,3,0
P0028,1,35,1,4,4,1,8.3,1,1
P0029,1,33,1,5,5,2,2.1,1,1
P0030,1,56,2,3,1,2,6.9,2,1
P0031,1,43,2,6,5,1,11.2,1,1
P0032,1,34,1,5,5,1,5.1,3,0
P0033,1,31,1,4,4,1,8.8,1,1
P0034,1,48,2,3,3,1,6.0,3,1
P0035,1,55,1,3,2,2,1.9,1,0
P0036,1,53,1,3,4,2,0.5,1,1
P0037,1,30,2,3,1,1,2.1,1,0
P0038,1,35,1,4,5,1,7.9,4,0
P0039,1,33,1,5,6,2,1.1,3,0
P0040,1,36,1,5,4,3,4.4,2,1
P0041,1,51,2,4,4,3,3.2,4,0
P0042,1,62,1,5,3,2,0.7,2,0
P0043,1,44,2,1,1,1,5.0,5,0
P0044,1,31,3,4,4,1,3.8,2,0
P0045,1,38,1,5,5,1,2.2,3,0
P0046,1,66,1,4,5,1,2.9,1,0
P0047,1,40,1,1,1,2,1.3,1,0
P0048,1,35,1,5,5,2,0.5,4,0
P0049,1,36,1,5,6,2,0.5,2,0
P0050,1,44,2,5,3,2,3.3,1,0
P0051,1,30,2,3,4,1,7.8,1,0
P0052,1,33,2,5,3,2,4.9,2,0
P0053,1,53,1,4,4,1,6.9,3,1
P0054,1,43,2,5,4,1,9.0,2,0
P0055,1,40,2,5,4,2,3.7,4,0
P0056,1,54,2,5,5,1,5.2,1,0
P0057,1,31,1,5,5,2,3.7,1,0
P0058,1,35,2,3,2,1,12.9,4,0
P0059,1,43,1,5,3,2,7.9,1,0
P0060,1,42,1,5,5,2,0.5,1,0
P0061,1,25,1,5,6,1,2.8,2,0
