ParticipantID,Age,Gender,Education,Prior_Fraud_Experience,Tech_Savviness,T1_T2_TimeLag_Days,T1_ATT1,T1_ATT2,T1_ATT3,T1_ATT4,T1_ATT5,T1_ATT_Mean,T1_ATT_Z,T1_SN1,T1_SN2,T1_SN3,T1_SN4,T1_SN_Mean,T1_SN_Z,T1_PBC1,T1_PBC2,T1_PBC3,T1_PBC4,T1_PBC5,T1_PBC_Mean,T1_PBC_Z,T1_INT1,T1_INT2,T1_INT3,T1_INT4,T1_INT_Mean,T1_INT_Z,T2_SRB1_CheckStatements,T2_SRB2_StrongPasswords,T2_SRB3_TwoFactorAuth,T2_SRB4_LogOut,T2_SRB5_VerifyAlerts,T2_SRB_Mean,T2_SRB_Z,T2_SRB_Consistency,T2_Scenario1_PhishingSMS,T2_Scenario2_EmailAttachment,T2_Scenario3_PublicWiFi,T2_Scenario4_PasswordSharing,T2_Scenario5_Enable2FA,T2_Objective_Score,T2_Objective_Z,T2_Intention_Behavior_Gap,T2_Gap_Magnitude,T2_Gap_Direction
P0001,47,1,3,0,5,32,7,7,7,6,7,6.8,1.5800684462689516,4,5,6,5,5.0,0.04752310049373789,4,4,4,3,3,3.6,-1.6027093213311925,5,5,5,5,5.0,-0.3740720713072172,5,5,5,4,5,4.8,-1.5765831188704074,0.39999999999999997,1,2,2,1,1,7,0.6274865358241124,-1.0996397299046903,1.0996397299046903,-1
P0002,37,1,2,1,5,28,5,7,6,5,7,6.0,0.57182057718211,4,4,5,5,4.5,-0.48902803411297785,4,4,4,4,3,3.8,-1.4022274548315796,6,5,5,6,5.5,0.41226561612537105,7,6,6,6,6,6.2,0.17200386222171388,0.39999999999999997,0,0,0,2,2,4,-0.9047480283975574,-0.04153819557050831,0.04153819557050831,0
P0003,49,0,3,0,1,29,6,6,6,5,6,5.8,0.31975860991039934,6,5,5,4,5.0,0.04752310049373789,5,4,6,4,6,5.0,-0.1993362558339006,5,5,5,5,5.0,-0.3740720713072172,6,6,6,5,5,5.6,-0.5773905582463386,0.48989794855663565,0,0,0,0,0,0,-2.947727447359784,-0.29963972990469045,0.29963972990469045,0
P0004,62,1,3,0,4,30,7,6,5,6,6,6.0,0.57182057718211,3,4,4,3,3.5,-1.5621303033264093,6,7,7,6,7,6.6,1.404518676163004,5,5,5,5,5.0,-0.3740720713072172,6,6,6,7,6,6.2,0.17200386222171388,0.39999999999999997,1,1,2,1,1,6,0.11674168108355583,0.3003602700953101,0.3003602700953101,1
P0005,36,0,3,0,4,29,6,6,7,6,5,6.0,0.57182057718211,7,5,6,6,6.0,1.1206253697071693,5,5,4,4,4,4.4,-0.8007818553327396,5,6,6,6,5.75,0.8054344598416652,6,6,6,6,6,6.0,-0.07779427793430362,0.0,1,1,1,2,2,7,0.6274865358241124,-0.4124874284034181,0.4124874284034181,-1
P0006,36,1,3,1,4,34,4,5,6,5,6,5.2,-0.4364272919047316,6,5,3,4,4.5,-0.48902803411297785,4,4,4,4,4,4.0,-1.2017455883319663,4,4,4,4,4.0,-1.9467474461723937,5,5,5,5,5,5.0,-1.32678497871439,0.0,0,1,0,2,1,4,-0.9047480283975574,-0.21584279857305333,0.21584279857305333,0
P0007,63,0,4,0,5,31,4,5,4,4,4,4.2,-1.696737128263284,5,4,4,4,4.25,-0.7573036014163357,6,5,5,6,5,5.4,0.20162747716532603,4,5,5,4,4.5,-1.1604097587398055,6,6,5,6,6,5.8,-0.32759241809032114,0.39999999999999997,1,2,1,1,1,6,0.11674168108355583,0.24225873576112722,0.24225873576112722,0
P0008,51,0,4,1,5,32,6,6,6,6,6,6.0,0.57182057718211,4,5,4,6,4.75,-0.22075246680962,4,4,5,3,5,4.2,-1.001263721832353,4,4,4,4,4.0,-1.9467474461723937,5,5,5,5,6,5.2,-1.0769868385583725,0.39999999999999997,1,2,2,1,1,7,0.6274865358241124,-0.015842798573053152,0.015842798573053152,0
P0009,32,0,3,1,5,31,5,6,6,6,6,5.8,0.31975860991039934,4,5,4,4,4.25,-0.7573036014163357,5,6,6,7,6,6.0,0.803073076664165,6,6,6,6,6.0,1.1986033035579593,7,6,7,7,6,6.6,0.6716001425337478,0.4898979485566356,1,1,2,2,2,8,1.138231390564669,0.016563338763672775,0.016563338763672775,0
P0010,48,0,1,0,6,33,5,4,4,4,4,4.2,-1.696737128263284,5,6,4,4,4.75,-0.22075246680962,5,6,4,6,4,5.0,-0.1993362558339006,4,4,4,4,4.0,-1.9467474461723937,6,6,6,6,6,6.0,-0.07779427793430362,0.0,0,1,0,0,2,3,-1.415492883138114,0.7841572014269467,0.7841572014269467,1
P0011,33,0,4,1,6,30,5,5,4,5,4,4.6,-1.1926131937198636,5,5,4,5,4.75,-0.22075246680962,5,5,6,4,5,5.0,-0.1993362558339006,5,6,5,5,5.25,0.019096772409076933,6,6,6,6,6,6.0,-0.07779427793430362,0.0,0,1,2,2,0,5,-0.39400317365700077,-0.07058896273759885,0.07058896273759885,0
P0012,33,1,4,0,6,26,5,6,5,6,5,5.4,-0.1843653246330209,6,5,6,6,5.75,0.8523498024038115,6,5,4,5,7,5.4,0.20162747716532603,6,5,5,5,5.25,0.019096772409076933,6,6,6,6,6,6.0,-0.07779427793430362,0.0,2,0,1,0,2,5,-0.39400317365700077,-0.07058896273759885,0.07058896273759885,0
