participant_id,age,gender,education,income,tech_comfort,fraud_experience,ATT1,ATT2,ATT3,SN1,SN2,PBC1,PBC2,PBC3,INT1,INT2,perceived_severity,perceived_vulnerability,self_efficacy,response_efficacy,past_behavior,T2_security_steps_followed,T2_frequency_last_month,T2_consistency_score,T2_behavior_binary,T2_missing,response_time_seconds,straight_line_respondent,attitude_composite,subjective_norm_composite,pbc_composite,intention_composite,threat_appraisal_composite,coping_appraisal_composite
1,35,Male,Bachelor's Degree,55515.0,6.004808120204413,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1.0,0,14.096040759935075,0,1.160794493382609,1.160794493382609,1.160794493382609,1.160794493382609,1.3630464462635814,1.0
2,22,Male,High School,36828.0,4.71183832516865,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,3,1.0,0,26.197668960540557,0,1.1710009069467473,1.1710009069467473,1.1710009069467473,1.1710009069467473,1.62362045735035,1.0
3,20,Male,Bachelor's Degree,42938.0,4.3470735931926665,0,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1.0,0,33.68446932080006,0,1.2127096623763394,1.2127096623763394,2.1433060691355905,1.2127096623763394,1.1097123221176721,1.0
4,20,Male,Some College,28588.0,6.850032373468207,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,3,2,2,1.0,0,27.688574751322736,0,1.4043908244718943,1.1224271378557464,1.145959522519909,1.118142126852635,1.2036779683908045,1.2125099530559986
5,69,Female,Bachelor's Degree,60095.0,4.5534877097350295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,12.570636675004396,0,1.17860571847436,1.17860571847436,1.17860571847436,1.1920596988102656,1.0,1.0
6,43,Female,High School,37460.0,5.582306650431178,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1.0,0,107.18600339634438,0,1.2930299982163818,1.2930299982163818,1.2930299982163818,1.2930299982163818,1.0,1.27995694172647
7,18,Male,High School,45321.0,5.4123350848808,0,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1.0,0,40.99530728726125,0,1.6984118655705742,1.1816245298263808,1.5853148422235612,1.1816245298263808,1.142803790831695,1.0
8,37,Male,Bachelor's Degree,58685.0,7.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,16.65368294951395,0,1.0860470810163063,1.083739225233838,1.083739225233838,1.083739225233838,1.0,1.0948664131270338
9,29,Female,Bachelor's Degree,63648.0,6.462836064974068,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1.0,0,66.74442528225107,0,1.263293376477446,1.263293376477446,1.5565583644918277,1.3017041233834652,1.0,1.0008940951107983
10,18,Female,Some College,41359.0,3.516163793132743,0,1,1,1,1,,1,1,,1,1,1,1,1,1,1,2,1,2,1.0,0,31.037532661548266,0,1.2666871962279207,1.2666871962279207,1.2666871962279207,1.2666871962279207,1.0,1.0
11,18,Female,Some College,44233.0,3.656180883192448,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,73.21522649906551,0,1.155110328947657,1.155110328947657,1.155110328947657,1.155110328947657,1.0,1.0
12,31,Female,Master's Degree,104451.0,5.9525827634898745,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,2,1.0,0,30.464597292811476,0,1.035488246746109,1.0,1.8284695068822912,1.0,1.0,1.2612644052223492
13,65,Female,Bachelor's Degree,41570.0,5.116361058407084,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0.0,0,10.16652883040155,1,4.221386127716362,4.221386127716362,4.221386127716362,4.221386127716362,1.0,1.0
14,20,Male,Some College,44912.0,4.608276680860107,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0.0,0,14.10103550003085,0,1.4299509450725314,1.4299509450725314,1.4299509450725314,1.4299509450725314,1.6088077531484644,1.0
15,18,Male,High School,45677.0,6.520316249192812,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1.0,0,82.50555110369275,0,1.2780645200245013,1.3057688582644065,1.3194958708648756,1.2780645200245013,1.0,1.0
16,27,Female,Some College,44145.0,5.4436971967155845,0,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0.0,0,75.65699504451268,0,1.391154506791264,1.1268322588899842,1.4803467421836203,1.1268322588899842,1.0,1.5148691358893318
17,18,Female,Master's Degree,104256.0,5.268194602956277,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1.0,0,11.433266006830015,0,1.1009280787380467,1.0062572257493225,1.0944575004786565,1.0062572257493225,1.0,1.1630102335598875
18,19,Female,Bachelor's Degree,52780.0,6.213777232981565,0,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,0.0,0,100.93027175158207,0,2.0486321052166026,1.1226590871539062,1.683025146143968,1.1226590871539062,1.0,2.0435077964379045
19,24,Female,Bachelor's Degree,57259.0,4.712358306573367,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0.0,0,75.23567471847959,0,1.2796360683859775,1.2637993874206006,1.2637993874206006,1.2637993874206006,1.0,1.463020937594366
20,18,Male,Bachelor's Degree,57751.0,7.0,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1.0,0,19.938005423632923,0,1.9335356576949738,1.1631346675600043,1.1631346675600043,1.1631346675600043,1.0,1.0
21,44,Male,Some College,29564.0,4.17553808979709,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,31.11089432530954,0,1.305939184777796,1.305939184777796,1.305939184777796,1.305939184777796,1.0,1.0
22,18,Female,Master's Degree,71371.0,6.054007786244715,0,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1.0,0,5.684717716521952,0,2.1263210834252413,1.0940853465345253,1.6084734338427076,1.2279205059317653,1.0,1.0
23,18,Male,Bachelor's Degree,49273.0,7.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,18.904338751538234,0,1.0956205537375305,1.0956205537375305,1.0956205537375305,1.0956205537375305,1.0,1.1557697322220586
24,29,Male,High School,39110.0,3.4095158639462704,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1.0,0,27.961975578369422,0,1.1177063993448781,1.1177063993448781,1.1177063993448781,1.1177063993448781,1.0,1.324339021442239
25,42,Male,High School,39360.0,4.753664271391816,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1.0,0,42.41268830645983,0,1.2638493323064561,1.2638493323064561,1.2638493323064561,1.2638493323064561,1.0,1.0
26,28,Female,Bachelor's Degree,59930.0,6.6848696107512255,0,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,0.0,0,30.186186953912465,0,1.1881784128395936,1.1881784128395936,1.7418747854954402,1.1881784128395936,1.0,1.3482819877943635
27,22,Male,Master's Degree,94614.0,6.704417912050333,0,1,1,1,,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1.0,0,37.0030117256964,0,1.2207976937876108,1.1460643399556794,2.3629210671269942,1.1460643399556794,1.0031276237617512,1.3965580463379585
28,19,Female,Some College,41542.0,4.977055719495289,0,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,0.0,0,15.263229576781177,0,1.2795478414183952,1.2795478414183952,1.2795478414183952,1.2795478414183952,1.8929800169618618,1.3003398261598202
29,18,Female,Master's Degree,99022.0,4.244927578220083,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,1.0,0,42.9088960515334,0,1.326348229271401,1.326348229271401,1.340340752074223,1.326348229271401,1.1590845347066212,1.0
30,51,Female,Bachelor's Degree,57565.0,6.442716569029991,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,127.29667169008395,0,1.150929874382942,1.038877694624294,1.271566014993467,1.038877694624294,1.0,1.015224296469601
31,31,Female,High School,35289.0,6.738613833356086,0,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,3,2,3,1.0,0,47.066269608870805,0,1.303233533975479,1.303233533975479,1.8556725207970033,1.303233533975479,1.0,1.6122115431249866
