,batch_id,anode_thickness_um,cathode_thickness_um,surface_roughness_ra_um,power_w,amplitude_um,force_n,time_ms,speed_mm_s,pulse_frequency_hz,pulse_energy_j,current_ka,preheat_temp_c,ambient_temp_c,ambient_humidity_percent,energy_density_j_mm2,weld_width_mm,weld_length_mm,penetration_depth_um,imc_thickness_um,contact_resistance_microohm,shear_strength_mpa,peel_strength_n_mm,porosity_percent,crack_density_per_mm2,void_fraction_percent,surface_roughness_post_weld_um,peak_temperature_c,cooling_rate_c_per_s,grain_size_um,thermal_cycles_tested,resistance_increase_percent,strength_retention_percent,fatigue_life_cycles,delamination_area_percent,imc_growth_rate_nm_per_cycle,corrosion_mass_loss_mg_cm2,quality_score,pass_fail
batch_id,1.0,0.0016016339673140965,-0.0012807115934878352,0.006861465513488935,-0.02182725701961586,-0.0076650876294681956,-0.006194189558889244,-0.0055025889710484215,0.0037536673494677425,-0.00958017648901033,0.00938337462512939,0.026706260088237718,0.019554620571679553,-0.012703497002146694,0.008933079187958297,-0.024865737503608203,-0.013139798793713572,-0.02278216398553838,0.00030106472537798503,-0.016085497085994334,-0.004223796836842118,-0.019950471852850447,-0.014393867983399948,-0.001258199766814029,0.007400933612104496,0.0020303459335314915,0.004796156364897395,-0.024623117649790995,-0.014293869606200505,0.007972979616842391,-0.017421837004497183,-0.00448522219295243,0.008321940901405507,0.0012736141099926612,-0.005922515661779952,-0.010418498232913988,0.004376165305961895,0.0065340015591651155,0.011418540726021137
anode_thickness_um,0.0016016339673140965,1.0,-0.022831115817829175,0.02605435269966368,0.008184885215223016,0.010520273438081665,-0.01270810833586773,-0.007693487317129566,0.00964416679105509,0.010524120925174235,0.019641301066633195,-0.0009612852354335089,0.00809098759157597,0.0015740195436562696,-0.011577307981679077,-0.0007054310187143136,0.009127511434410556,-0.012466206814064197,-0.0039849581035747835,0.009443807893801576,0.0024571928148569653,-0.0006313988638472388,-0.009417164137920313,0.016915119637308358,0.0024425129620134667,0.02328409580010326,0.014891741509120851,-0.007747235122190241,-0.0021125123101656726,-0.004881672713047153,-0.014941007988545618,-0.017419413081260184,0.013026981885827127,0.011282239341204224,-0.015542641351162656,-0.014692603977820592,-0.01123955945561309,0.015726040964598946,-0.00928919163872447
cathode_thickness_um,-0.0012807115934878352,-0.022831115817829175,1.0,-0.010469426560688243,-0.019132900851684956,-0.00439139654873554,0.015329310809978094,0.025907416290121336,-0.014468277507226903,-0.008291858832542128,-0.023193921645252934,0.013537997946697173,0.024288319529151798,-0.005903842427628372,-0.004473590286814409,-0.002566022442966791,0.003332030337800038,0.005290462337741577,0.0036690628411999307,-0.014930594300409383,0.010726444093514073,-0.005320475996715208,0.009876493184308423,-0.002922238362780262,0.00013504621290667747,0.016443975094686494,-0.016753367542435643,-0.007424168594913113,-0.011310582268106674,-0.0036422107326834724,0.00019746799909351967,0.01441993871801475,-0.008198495786772345,-0.01580189078223188,0.005640339682703139,0.032192729953494925,0.009319237253223325,-0.012152100644064892,-0.007976968794908014
surface_roughness_ra_um,0.006861465513488935,0.02605435269966368,-0.010469426560688243,1.0,-0.004191356858336782,0.009212295944724103,0.002669810816068361,0.006757839318572679,-0.005096870247407035,0.007615079707871647,-0.01111934910125614,0.012920217608350985,0.005757801453997849,0.0029005971285609032,-0.00126517311159686,0.006236330003000907,-0.0018206945698676221,-0.0019823158330326447,0.0028392899633465757,0.018745506786837045,-0.017866498378228846,0.020648337484121922,0.0073308031321093516,-0.005920471177601227,0.012934107767404163,-0.004455948662854956,0.9443933889511089,0.005166584515636344,0.017293158955484243,-0.03333314990714622,0.0015000101351617299,-0.015340341499175209,0.008123429083135876,0.00963180981030451,0.010949523006385353,-0.0010195677600520745,0.004048420339871474,0.00842827321573641,-0.003979524799246987
power_w,-0.02182725701961586,0.008184885215223016,-0.019132900851684956,-0.004191356858336782,1.0,0.6469508662222561,-0.5573358959625845,-0.20132188791145156,0.1993519226421525,0.6936136409191926,0.25635505352725796,-0.44880764983736426,-0.035461689596355456,0.024519959925806852,0.0005986921555857529,0.1779465042684194,0.12606585270240286,0.13315489268381056,0.14316874286920286,0.1265442049785541,-0.014677603695450498,0.11466051904145776,0.13596290604358632,0.07946749572201982,0.06881820380005103,-0.06018608866207866,0.014308701024862973,0.1703236676149528,0.12525172200754545,-0.11122321231074479,-0.004953005148790042,-0.026584482400554513,0.017662166014411354,0.012814898777756713,-0.016117475805037865,0.0105265762685251,-0.030539655355944814,0.019436167579398016,0.007751094006750894
amplitude_um,-0.0076650876294681956,0.010520273438081665,-0.00439139654873554,0.009212295944724103,0.6469508662222561,1.0,-0.22725872167123187,0.21400755936022725,-0.3378546700543243,0.9470037412462353,-0.2637249081573174,-0.29405981863766334,-0.025758315848907073,0.017569060967375903,0.0010021202948954245,0.23486585627871726,0.1606689336367266,0.16567388686459303,0.17302890950222657,0.15342038934324284,-0.08578001743484708,0.19969435653263534,0.19075121696100703,0.024928075696477838,0.022062649054824933,-0.035660803028157675,0.03336461198408528,0.22718525353561347,0.16205570340934727,-0.14312014588620098,-0.0028156995281306287,-0.11235867265225931,0.09473475512943921,0.09909744120433661,-0.06221813870786688,-0.010284261346371735,-0.09884017607692835,0.10743700949767979,0.04523015451377176
force_n,-0.006194189558889244,-0.01270810833586773,0.015329310809978094,0.002669810816068361,-0.5573358959625845,-0.22725872167123187,1.0,0.6028193620424687,-0.35534327106542424,-0.25789964375419394,-0.4691708535311452,-0.06399127465644239,-0.0017094633131767756,-0.017312158976235073,0.015040168781384738,0.47682164857309334,0.3536440891200128,0.34911551498603877,0.359566862158231,0.3058721071981927,-0.31320459957767277,0.3964109300242297,0.3912553448693859,-0.016993222737225217,-0.012385187935894604,0.008966268799493164,0.046080101700713,0.43374059682649757,0.3635127606119668,-0.26645162001070355,-0.0023178643049742197,-0.32219469708565396,0.2663181193093061,0.3259037267442513,-0.18379215163942025,-0.00832468283876712,-0.2730680233350393,0.31728887373790765,0.21988132917186254
time_ms,-0.0055025889710484215,-0.007693487317129566,0.025907416290121336,0.006757839318572679,-0.20132188791145156,0.21400755936022725,0.6028193620424687,1.0,-0.49851001143886237,0.2113485094310344,-0.5533911149699974,-0.11077133133140649,-0.014975208824855294,-0.009826682375504901,0.006821290706407247,0.5972771466553043,0.4359160422492676,0.4400715077723153,0.4369589957907375,0.39666929413957264,-0.3178652287963331,0.4828894968002406,0.4775523094730476,0.04954793097935971,0.050651539162126294,-0.036013827642547375,0.061085634113489884,0.541499245908915,0.44744301758329785,-0.3354150649090419,0.02466910314656625,-0.31953502610209544,0.26146773595958317,0.32363431593153846,-0.17871881832944359,-0.0021377436876558694,-0.2811344869673977,0.3113034002192445,0.20766952299426442
speed_mm_s,0.0037536673494677425,0.00964416679105509,-0.014468277507226903,-0.005096870247407035,0.1993519226421525,-0.3378546700543243,-0.35534327106542424,-0.49851001143886237,1.0,-0.3377100841604041,0.6950899295224081,-0.3257782404459104,-0.011312838020908714,0.030918570024790055,-0.02940173002445862,-0.293911515237111,-0.20967032260060714,-0.2193330056959144,-0.21984043635347586,-0.1875873230532021,0.15076350999859908,-0.2523127084287728,-0.23608134770793204,-0.023189308063586978,-0.021206036936615356,0.010942075876246724,-0.03762058532198226,-0.27648546833646787,-0.21225862871345288,0.16653192918921572,0.0077646304362960095,0.15546059197965764,-0.13136411194478007,-0.14711200494749496,0.0812372306507326,0.0064405179703663495,0.11302977226528908,-0.1503043069653407,-0.08999703721818465
pulse_frequency_hz,-0.00958017648901033,0.010524120925174235,-0.008291858832542128,0.007615079707871647,0.6936136409191926,0.9470037412462353,-0.25789964375419394,0.2113485094310344,-0.3377100841604041,1.0,-0.25897356560353657,-0.3206767752950926,-0.038079797980077094,0.015592149728532012,0.005148544216230988,0.3852613845415445,0.2766624966484011,0.2811069419876649,0.2895919381451489,0.2646922262301501,-0.14424283430922183,0.30469731833075187,0.30252395537181304,0.06499943152953083,0.05944033957781778,-0.07353395737998872,0.04455569822057478,0.36290567256407263,0.28045393630833587,-0.22801282152029442,-0.005216886141012468,-0.16443991438144898,0.13676058688803608,0.14535273725942613,-0.0947874371512085,-1.897042408458671e-05,-0.1442986656008793,0.15637493002411137,0.0829955667654616
