firm_id,state,geo_zone,location_type,sector,isic_section,isic_2digit,firm_age_years,employees_full_time,annual_turnover_naira,legal_structure,owner_age,owner_gender,owner_education,owner_field_of_study,owner_prior_entre_experience,owner_digital_literacy_0_100,B1_digital_tools_computers,B1_digital_tools_accounting_software,B1_digital_tools_crm,B1_digital_tools_ecommerce,B1_digital_tools_cloud,B1_digital_tools_social_media,B2_advanced_ai_ml,B2_advanced_iot,B2_advanced_blockchain,B2_advanced_robotics,B3_process_new_methods,B3_process_supply_chain_software,B3_process_support_techniques,B4_product_new_or_improved,B4_product_launch_frequency,B5_bmi_revenue_model_changes,B5_bmi_value_prop_changes,B5_bmi_customer_engagement_changes,B6_drivers_competitive_pressure,B6_drivers_customer_demand,B6_drivers_top_mgmt_attitude,B_comp_digital_tools_mean_1_5,B_comp_advanced_tech_mean_1_5,B_comp_process_innovation_mean_1_5,B_comp_product_innovation_mean_1_5,B_comp_bmi_mean_1_5,B_comp_level_digitization_1_5,B_comp_level_digitization_score_0_100,C1_financial_access_to_credit,C1_financial_cost_of_innovation,C1_financial_internal_capital_sufficiency,C2_human_skill_shortage,C2_human_training_cost,C2_human_mgmt_capability_for_change,C3_infra_power_reliability,C3_infra_internet_quality_cost,C3_infra_logistics_access,C4_regulatory_burden_taxes,C4_regulatory_corruption_informal_charges,C4_regulatory_govt_program_effectiveness,C5_market_competition_intensity,C5_market_demand_uncertainty,C5_market_international_access,D1_subj_profitability_growth,D1_subj_sales_growth,D1_subj_market_share_growth,D1_subj_roi,D1_subj_overall_perf_satisfaction,D_comp_subjective_performance_mean_1_5,D2_obj_annual_turnover_naira,D2_obj_profit_naira,D2_obj_turnover_band,D2_obj_profit_band,D2_obj_employee_growth_rate_pct,D2_obj_num_new_branches_clients,D3_nonfin_increase_product_lines,D3_nonfin_quality_improved,D3_nonfin_customer_satisfaction_retention
F2025000000,Lagos,South West,Urban,Manufacturing,C,10,18,9,19635092.84709243,Partnership,27,Female,Tertiary,Arts/Social Sciences,0,71.31029717258417,3,5,2,3,3,4,4,4,3,3,5,4,5,2,3,5,5,5,2,3,5,3.3333333333333335,3.5,4.666666666666667,2.5,5.0,5.0,100.0,3,5,3,2,2,4,2,4,2,4,5,4,4,5,4,4,5,4,3,5,4.2,19635092.84709243,6153658.5041593565,₦5m–₦20m,₦2m–₦10m,13.373108442551072,2,2,3,5
F2025000001,Akwa Ibom,South South,Rural,Manufacturing,C,10,4,2,6105783.464113238,Sole Proprietorship,30,Male,Tertiary,Engineering/Technology,1,65.46634467303004,4,3,4,5,4,5,1,2,1,1,3,3,5,1,2,3,4,4,2,2,4,4.166666666666667,1.25,3.6666666666666665,1.5,3.6666666666666665,4.0,75.0,4,5,5,5,5,5,5,4,4,5,3,2,5,3,4,5,5,5,4,5,4.8,6105783.464113238,906791.6094834111,₦5m–₦20m,₦0.5m–₦2m,4.265226503295205,1,2,3,4
F2025000002,Cross River,South South,Rural,Hospitality & Food Services,I,56,16,2,6114498.2231708905,Limited Liability,40,Male,Postgraduate,Engineering/Technology,0,76.44486112410597,4,1,1,3,1,1,1,2,1,1,4,4,2,5,4,3,3,1,4,1,5,1.8333333333333333,1.25,3.3333333333333335,4.5,2.3333333333333335,4.0,75.0,5,1,5,1,1,3,2,3,5,3,4,2,4,4,2,5,3,5,5,5,4.6,6114498.2231708905,1258891.5981443466,₦5m–₦20m,₦0.5m–₦2m,-0.7693330321906425,0,4,3,3
F2025000003,Kaduna,North West,Rural,Agriculture,A,01,11,2,1477171.9791350856,Sole Proprietorship,43,Male,Tertiary,Sciences,0,59.32294544963255,5,5,5,5,4,5,1,1,1,1,2,2,1,4,1,2,5,5,2,4,2,4.833333333333333,1.0,1.6666666666666667,2.5,4.0,5.0,100.0,1,3,4,1,2,3,5,4,3,2,2,1,5,5,5,4,4,3,4,5,4.0,1477171.9791350856,241809.64780179714,₦1m–₦5m,Loss/Break-even,10.55977561824579,1,2,3,3
F2025000004,Niger,North Central,Rural,Retail & Wholesale,G,47,7,5,11694085.29884051,Sole Proprietorship,33,Male,Postgraduate,Engineering/Technology,0,86.67540268425178,5,5,4,5,2,5,1,1,1,1,4,5,4,4,1,5,3,4,4,4,5,4.333333333333333,1.0,4.333333333333333,2.5,4.0,3.0,50.0,4,4,2,4,1,1,3,5,5,4,3,3,2,3,1,5,5,4,5,5,4.8,11694085.29884051,1662466.6896876246,₦5m–₦20m,₦0.5m–₦2m,8.463239268668406,0,4,4,4
F2025000005,Osun,South West,Rural,Manufacturing,C,10,11,3,5723567.706003821,Sole Proprietorship,49,Male,Tertiary,Agric/Environment,1,51.069656300348456,5,3,4,4,3,4,5,5,5,5,5,4,5,5,4,3,2,2,2,5,4,3.8333333333333335,5.0,4.666666666666667,4.5,2.3333333333333335,4.0,75.0,5,5,5,5,2,4,1,1,2,2,1,1,3,2,5,5,5,5,5,4,4.8,5723567.706003821,1522863.592157818,₦5m–₦20m,₦0.5m–₦2m,7.63708949191723,1,4,4,4
F2025000006,Adamawa,North East,Rural,Other Services,S,96,6,7,3166094.937927978,Limited Liability,28,Male,Postgraduate,Other,0,77.85486643081958,5,5,4,4,4,3,2,2,2,1,5,1,3,5,5,4,2,3,4,5,5,4.166666666666667,1.75,3.0,5.0,3.0,2.0,25.0,3,2,2,2,3,2,1,4,5,2,2,2,3,4,4,4,5,5,4,5,4.6,3166094.937927978,729709.9047650263,₦1m–₦5m,₦0.5m–₦2m,16.511481764837477,1,5,2,4
F2025000007,Kano,North West,Urban,Retail & Wholesale,G,47,18,8,4674957.552348529,Sole Proprietorship,46,Male,Tertiary,Agric/Environment,0,76.03383179066167,4,4,3,3,4,2,5,5,5,5,3,5,3,4,3,1,3,2,3,3,4,3.3333333333333335,5.0,3.6666666666666665,3.5,2.0,4.0,75.0,1,3,3,5,4,3,4,4,3,3,5,3,2,3,2,2,4,5,5,5,4.2,4674957.552348529,1025222.3430878068,₦1m–₦5m,₦0.5m–₦2m,11.779472072347799,1,4,3,2
F2025000008,Edo,South South,Rural,Retail & Wholesale,G,47,8,3,3334151.6740451246,Sole Proprietorship,18,Male,Secondary,Engineering/Technology,0,58.96057768255869,5,4,2,3,3,3,4,4,4,3,2,3,2,4,2,2,3,2,3,5,4,3.3333333333333335,3.75,2.3333333333333335,3.0,2.3333333333333335,5.0,100.0,2,4,4,5,5,4,1,1,1,3,5,4,4,1,5,4,5,5,5,3,4.4,3334151.6740451246,756096.9656666412,₦1m–₦5m,₦0.5m–₦2m,14.940920338301575,1,3,3,3
F2025000009,Imo,South East,Rural,Agriculture,A,01,2,15,15097256.00678716,Sole Proprietorship,31,Male,Tertiary,Arts/Social Sciences,0,64.12508294672429,4,5,4,4,5,4,1,1,1,1,4,4,2,4,1,5,2,5,2,4,5,4.333333333333333,1.0,3.3333333333333335,2.5,4.0,5.0,100.0,2,1,1,2,2,2,1,2,1,2,1,4,4,4,3,5,4,5,5,5,4.8,15097256.00678716,4643104.059002672,₦5m–₦20m,₦2m–₦10m,23.684412616817593,1,4,3,2
