state,lga,year,area_km2,population,population_density_per_km2,urban_share,rural_share,source
Anambra,Nnewi North,2024,193.8,164566,849.2,0.62,0.38,Synthetic; calibrated to NBS ranges
Anambra,Awka South,2024,247.0,89726,363.3,0.593,0.407,Synthetic; calibrated to NBS ranges
Anambra,Onitsha North,2024,87.3,206478,2365.7,0.657,0.343,Synthetic; calibrated to NBS ranges
FCT,Abuja Municipal,2024,1209.8,185342,153.2,0.562,0.438,Synthetic; calibrated to NBS ranges
FCT,Bwari,2024,1515.0,403219,266.2,0.49,0.51,Synthetic; calibrated to NBS ranges
Kano,Kano Municipal,2024,2881.2,718552,249.4,0.358,0.642,Synthetic; calibrated to NBS ranges
Kano,Tarauni,2024,2555.2,1389142,543.7,0.228,0.772,Synthetic; calibrated to NBS ranges
Kano,Nasarawa,2024,2123.9,1104328,520.0,0.36,0.64,Synthetic; calibrated to NBS ranges
Lagos,Ikeja,2024,1517.5,210070,138.4,0.417,0.583,Synthetic; calibrated to NBS ranges
Lagos,Eti-Osa,2024,3122.9,988513,316.5,0.62,0.38,Synthetic; calibrated to NBS ranges
Lagos,Alimosho,2024,746.7,467399,626.0,0.632,0.368,Synthetic; calibrated to NBS ranges
Lagos,Lagos Island,2024,827.0,1003478,1213.4,0.534,0.466,Synthetic; calibrated to NBS ranges
Ogun,Ado-Odo/Ota,2024,856.3,163386,190.8,0.741,0.259,Synthetic; calibrated to NBS ranges
Ogun,Ijebu Ode,2024,1067.7,325894,305.2,0.621,0.379,Synthetic; calibrated to NBS ranges
Ogun,Sagamu,2024,710.6,134360,189.1,0.576,0.424,Synthetic; calibrated to NBS ranges
Rivers,Port Harcourt,2024,1854.9,762516,411.1,0.356,0.644,Synthetic; calibrated to NBS ranges
Rivers,Obio/Akpor,2024,2597.9,1096190,421.9,0.485,0.515,Synthetic; calibrated to NBS ranges
