year,source,installed_capacity_mw,available_capacity_mw,available_fraction
2015,Gas,9448.2,3944.3,0.417
2015,Hydro,3174.9,2211.4,0.697
2015,Solar,249.9,54.7,0.219
2015,Wind,14.2,2.5,0.177
2015,Biomass,52.9,23.3,0.441
2015,Others,75.8,23.5,0.311
2016,Gas,10095.0,5047.5,0.5
2016,Hydro,3141.7,2077.1,0.661
2016,Solar,434.8,114.0,0.262
2016,Wind,40.8,8.8,0.217
2016,Biomass,61.4,24.3,0.396
2016,Others,71.7,23.7,0.331
2017,Gas,9927.1,4594.2,0.463
2017,Hydro,3253.8,2228.3,0.685
2017,Solar,509.4,98.3,0.193
2017,Wind,46.0,10.1,0.22
2017,Biomass,63.1,22.7,0.36
2017,Others,116.1,36.1,0.311
2018,Gas,9948.6,4300.1,0.432
2018,Hydro,3488.4,2238.6,0.642
2018,Solar,661.8,174.3,0.263
2018,Wind,41.7,5.2,0.126
2018,Biomass,49.4,21.7,0.439
2018,Others,175.9,57.5,0.327
2019,Gas,10615.5,4635.4,0.437
2019,Hydro,3533.3,2154.8,0.61
2019,Solar,624.4,137.2,0.22
2019,Wind,41.2,8.3,0.201
2019,Biomass,69.0,27.7,0.401
2019,Others,197.4,58.4,0.296
2020,Gas,10810.4,5532.2,0.512
2020,Hydro,3458.2,2348.1,0.679
2020,Solar,706.3,157.7,0.223
2020,Wind,59.3,11.5,0.194
2020,Biomass,83.3,31.9,0.383
2020,Others,177.4,62.8,0.354
2021,Gas,11433.3,6192.2,0.542
2021,Hydro,3742.7,2642.2,0.706
2021,Solar,766.3,165.6,0.216
2021,Wind,58.0,11.4,0.196
2021,Biomass,98.8,41.0,0.415
2021,Others,172.4,51.4,0.298
2022,Gas,10633.6,5726.7,0.539
2022,Hydro,3750.5,2282.3,0.609
2022,Solar,721.1,153.4,0.213
2022,Wind,72.0,13.1,0.183
2022,Biomass,104.1,45.5,0.437
2022,Others,201.1,60.7,0.302
2023,Gas,12286.7,5680.1,0.462
2023,Hydro,4042.8,2898.7,0.717
2023,Solar,922.0,188.0,0.204
2023,Wind,70.4,14.6,0.208
2023,Biomass,129.3,48.5,0.375
2023,Others,194.8,58.3,0.299
2024,Gas,11437.4,5497.4,0.481
2024,Hydro,3872.5,2476.3,0.639
2024,Solar,723.3,132.1,0.183
2024,Wind,67.3,10.0,0.149
2024,Biomass,88.6,34.5,0.389
2024,Others,226.6,57.7,0.255
2025,Gas,11686.5,4859.4,0.416
2025,Hydro,4005.0,2750.3,0.687
2025,Solar,769.8,187.0,0.243
2025,Wind,74.0,15.4,0.208
2025,Biomass,89.2,36.5,0.409
2025,Others,255.2,81.8,0.32
