date,disco,allocated_mw,transmitted_mw,load_shedding_mw
2024-10-21,Abuja DISCO,412.7,388.5,24.2
2024-10-21,Benin DISCO,327.6,299.1,28.5
2024-10-21,Eko DISCO,437.6,407.7,30.0
2024-10-21,Enugu DISCO,333.2,321.7,11.5
2024-10-21,Ibadan DISCO,415.0,369.1,45.9
2024-10-21,Ikeja DISCO,471.9,429.0,42.9
2024-10-21,Jos DISCO,266.9,244.2,22.6
2024-10-21,Kaduna DISCO,321.5,282.2,39.2
2024-10-21,Kano DISCO,437.8,413.2,24.6
2024-10-21,Port Harcourt DISCO,360.1,323.6,36.4
2024-10-21,Yola DISCO,152.1,142.8,9.3
2024-10-22,Abuja DISCO,440.5,395.4,45.1
2024-10-22,Benin DISCO,382.2,365.2,17.0
2024-10-22,Eko DISCO,378.5,329.3,49.2
2024-10-22,Enugu DISCO,374.4,342.0,32.5
2024-10-22,Ibadan DISCO,440.8,389.9,50.8
2024-10-22,Ikeja DISCO,474.9,470.2,4.7
2024-10-22,Jos DISCO,278.1,249.2,28.9
2024-10-22,Kaduna DISCO,307.9,277.7,30.1
2024-10-22,Kano DISCO,400.5,358.7,41.8
2024-10-22,Port Harcourt DISCO,341.5,312.5,29.0
2024-10-22,Yola DISCO,183.3,168.5,14.8
2024-10-23,Abuja DISCO,418.5,359.2,59.3
2024-10-23,Benin DISCO,288.2,264.1,24.1
2024-10-23,Eko DISCO,343.9,304.3,39.6
2024-10-23,Enugu DISCO,348.0,316.1,31.9
2024-10-23,Ibadan DISCO,411.5,335.6,75.9
2024-10-23,Ikeja DISCO,413.0,373.7,39.3
2024-10-23,Jos DISCO,263.0,242.3,20.7
2024-10-23,Kaduna DISCO,265.4,240.4,25.1
2024-10-23,Kano DISCO,352.2,314.8,37.4
2024-10-23,Port Harcourt DISCO,286.6,268.3,18.4
2024-10-23,Yola DISCO,139.5,129.2,10.3
2024-10-24,Abuja DISCO,500.7,447.2,53.4
2024-10-24,Benin DISCO,415.7,389.9,25.8
2024-10-24,Eko DISCO,500.8,490.9,9.9
2024-10-24,Enugu DISCO,432.1,419.0,13.1
2024-10-24,Ibadan DISCO,565.2,542.0,23.3
2024-10-24,Ikeja DISCO,574.4,515.9,58.6
2024-10-24,Jos DISCO,306.8,284.6,22.1
2024-10-24,Kaduna DISCO,371.9,350.3,21.6
2024-10-24,Kano DISCO,493.4,442.2,51.2
