month,state,petrol_retail_price_ngn_per_l,diesel_retail_price_ngn_per_l,currency
2023-01-01,Abia,185.4,672.7,NGN
2023-01-01,Adamawa,190.3,623.3,NGN
2023-01-01,Akwa Ibom,184.2,723.5,NGN
2023-01-01,Anambra,180.2,736.5,NGN
2023-01-01,Bauchi,183.9,721.1,NGN
2023-01-01,Bayelsa,196.1,737.9,NGN
2023-01-01,Benue,181.9,705.8,NGN
2023-01-01,Borno,185.1,744.0,NGN
2023-01-01,Cross River,207.6,627.3,NGN
2023-01-01,Delta,195.4,705.9,NGN
2023-01-01,Ebonyi,177.3,724.3,NGN
2023-01-01,Edo,184.1,697.5,NGN
2023-01-01,Ekiti,193.2,727.6,NGN
2023-01-01,Enugu,180.5,698.0,NGN
2023-01-01,FCT Abuja,207.2,736.4,NGN
2023-01-01,Gombe,196.5,765.0,NGN
2023-01-01,Imo,208.1,623.7,NGN
2023-01-01,Jigawa,194.8,641.8,NGN
2023-01-01,Kaduna,185.7,616.7,NGN
2023-01-01,Kano,196.3,632.0,NGN
2023-01-01,Katsina,186.0,624.2,NGN
2023-01-01,Kebbi,201.0,707.7,NGN
2023-01-01,Kogi,184.5,723.8,NGN
2023-01-01,Kwara,192.5,625.3,NGN
2023-01-01,Lagos,184.1,717.1,NGN
2023-01-01,Nasarawa,202.7,755.8,NGN
2023-01-01,Niger,194.2,721.4,NGN
2023-01-01,Ogun,202.2,678.7,NGN
2023-01-01,Ondo,177.7,619.6,NGN
2023-01-01,Osun,199.3,621.5,NGN
2023-01-01,Oyo,200.8,710.1,NGN
2023-01-01,Plateau,203.0,662.3,NGN
2023-01-01,Rivers,202.8,649.7,NGN
2023-01-01,Sokoto,189.2,648.0,NGN
2023-01-01,Taraba,191.9,636.3,NGN
2023-01-01,Yobe,189.1,639.6,NGN
2023-01-01,Zamfara,191.8,726.0,NGN
2023-02-01,Abia,171.8,789.6,NGN
2023-02-01,Adamawa,192.5,732.3,NGN
2023-02-01,Akwa Ibom,174.6,682.7,NGN
2023-02-01,Anambra,192.8,720.5,NGN
2023-02-01,Bauchi,190.1,717.8,NGN
2023-02-01,Bayelsa,191.2,753.1,NGN
2023-02-01,Benue,194.5,663.5,NGN
2023-02-01,Borno,192.0,764.0,NGN
2023-02-01,Cross River,172.2,767.2,NGN
2023-02-01,Delta,180.7,730.1,NGN
2023-02-01,Ebonyi,189.5,779.5,NGN
2023-02-01,Edo,169.8,731.1,NGN
2023-02-01,Ekiti,201.8,705.0,NGN
2023-02-01,Enugu,184.6,697.1,NGN
2023-02-01,FCT Abuja,200.1,712.4,NGN
2023-02-01,Gombe,170.5,751.3,NGN
2023-02-01,Imo,185.9,710.0,NGN
2023-02-01,Jigawa,192.5,638.6,NGN
2023-02-01,Kaduna,201.0,671.0,NGN
