date,site_name,flared_mscf
2024-10-21,Escravos,75973
2024-10-21,Forcados,8382
2024-10-21,Bonny,100778
2024-10-21,Brass,96651
2024-10-21,Ebocha,43681
2024-10-21,Ughelli,32673
2024-10-21,Ogbogu,50257
2024-10-21,Utorogu,13022
2024-10-21,Agbada,80001
2024-10-21,Nembe,116070
2024-10-21,Obite,61110
2024-10-21,Soku,68783
2024-10-21,Bonga Offshore,43292
2024-10-21,Akpo Offshore,5642
2024-10-21,Egina Offshore,58669
2024-10-22,Escravos,76008
2024-10-22,Forcados,8464
2024-10-22,Bonny,108299
2024-10-22,Brass,84885
2024-10-22,Ebocha,38270
2024-10-22,Ughelli,37290
2024-10-22,Ogbogu,58751
2024-10-22,Utorogu,13199
2024-10-22,Agbada,69989
2024-10-22,Nembe,88231
2024-10-22,Obite,45209
2024-10-22,Soku,74201
2024-10-22,Bonga Offshore,38140
2024-10-22,Akpo Offshore,4843
2024-10-22,Egina Offshore,38191
2024-10-23,Escravos,62850
2024-10-23,Forcados,7369
2024-10-23,Bonny,120135
2024-10-23,Brass,116083
2024-10-23,Ebocha,42418
2024-10-23,Ughelli,46443
2024-10-23,Ogbogu,56319
2024-10-23,Utorogu,18724
2024-10-23,Agbada,78119
2024-10-23,Nembe,86274
2024-10-23,Obite,68555
2024-10-23,Soku,60499
2024-10-23,Bonga Offshore,49652
2024-10-23,Akpo Offshore,5894
2024-10-23,Egina Offshore,57369
2024-10-24,Escravos,72324
2024-10-24,Forcados,9077
2024-10-24,Bonny,83752
2024-10-24,Brass,97640
2024-10-24,Ebocha,38018
2024-10-24,Ughelli,35314
2024-10-24,Ogbogu,49858
2024-10-24,Utorogu,12579
2024-10-24,Agbada,90582
2024-10-24,Nembe,97433
2024-10-24,Obite,52683
2024-10-24,Soku,68243
2024-10-24,Bonga Offshore,32209
2024-10-24,Akpo Offshore,4306
2024-10-24,Egina Offshore,42038
2024-10-25,Escravos,62780
2024-10-25,Forcados,9623
2024-10-25,Bonny,86789
2024-10-25,Brass,92617
2024-10-25,Ebocha,32317
2024-10-25,Ughelli,34423
2024-10-25,Ogbogu,46538
2024-10-25,Utorogu,13385
2024-10-25,Agbada,68566
2024-10-25,Nembe,112134
2024-10-25,Obite,72490
2024-10-25,Soku,74610
2024-10-25,Bonga Offshore,41715
2024-10-25,Akpo Offshore,5139
2024-10-25,Egina Offshore,44072
2024-10-26,Escravos,76954
2024-10-26,Forcados,9311
2024-10-26,Bonny,107417
2024-10-26,Brass,78238
2024-10-26,Ebocha,44094
2024-10-26,Ughelli,47912
2024-10-26,Ogbogu,60128
2024-10-26,Utorogu,18133
2024-10-26,Agbada,78882
2024-10-26,Nembe,92063
2024-10-26,Obite,57337
2024-10-26,Soku,60203
2024-10-26,Bonga Offshore,46397
2024-10-26,Akpo Offshore,5339
2024-10-26,Egina Offshore,44862
2024-10-27,Escravos,68606
2024-10-27,Forcados,9081
2024-10-27,Bonny,94849
2024-10-27,Brass,81684
2024-10-27,Ebocha,31918
2024-10-27,Ughelli,39867
2024-10-27,Ogbogu,53203
2024-10-27,Utorogu,13136
2024-10-27,Agbada,63036
2024-10-27,Nembe,86830
2024-10-27,Obite,67809
2024-10-27,Soku,54248
2024-10-27,Bonga Offshore,39228
2024-10-27,Akpo Offshore,4524
2024-10-27,Egina Offshore,55656
2024-10-28,Escravos,64065
2024-10-28,Forcados,9428
2024-10-28,Bonny,108037
2024-10-28,Brass,94145
2024-10-28,Ebocha,33355
2024-10-28,Ughelli,37975
2024-10-28,Ogbogu,50109
2024-10-28,Utorogu,14047
2024-10-28,Agbada,60509
2024-10-28,Nembe,107962
2024-10-28,Obite,66803
2024-10-28,Soku,70168
2024-10-28,Bonga Offshore,50128
2024-10-28,Akpo Offshore,4604
2024-10-28,Egina Offshore,48016
2024-10-29,Escravos,74614
2024-10-29,Forcados,9874
2024-10-29,Bonny,109024
2024-10-29,Brass,104032
2024-10-29,Ebocha,34723
2024-10-29,Ughelli,35292
2024-10-29,Ogbogu,55364
2024-10-29,Utorogu,16865
2024-10-29,Agbada,68900
2024-10-29,Nembe,99157
2024-10-29,Obite,52609
2024-10-29,Soku,68893
2024-10-29,Bonga Offshore,48635
2024-10-29,Akpo Offshore,6310
2024-10-29,Egina Offshore,38090
2024-10-30,Escravos,54377
2024-10-30,Forcados,8680
2024-10-30,Bonny,106545
2024-10-30,Brass,103202
2024-10-30,Ebocha,42435
2024-10-30,Ughelli,35011
2024-10-30,Ogbogu,46113
2024-10-30,Utorogu,13292
2024-10-30,Agbada,63347
2024-10-30,Nembe,101799
2024-10-30,Obite,56553
2024-10-30,Soku,78218
2024-10-30,Bonga Offshore,45929
2024-10-30,Akpo Offshore,4655
2024-10-30,Egina Offshore,37968
2024-10-31,Escravos,75953
2024-10-31,Forcados,6095
2024-10-31,Bonny,94473
2024-10-31,Brass,98859
2024-10-31,Ebocha,33932
2024-10-31,Ughelli,38032
2024-10-31,Ogbogu,42993
2024-10-31,Utorogu,12949
2024-10-31,Agbada,82231
2024-10-31,Nembe,103345
2024-10-31,Obite,71721
2024-10-31,Soku,93351
2024-10-31,Bonga Offshore,40014
2024-10-31,Akpo Offshore,5399
2024-10-31,Egina Offshore,51556
2024-11-01,Escravos,78857
2024-11-01,Forcados,9127
2024-11-01,Bonny,106590
2024-11-01,Brass,115565
2024-11-01,Ebocha,34883
2024-11-01,Ughelli,39178
2024-11-01,Ogbogu,42989
2024-11-01,Utorogu,11344
2024-11-01,Agbada,75734
2024-11-01,Nembe,119109
2024-11-01,Obite,61212
2024-11-01,Soku,74995
2024-11-01,Bonga Offshore,39867
2024-11-01,Akpo Offshore,5001
2024-11-01,Egina Offshore,50046
2024-11-02,Escravos,66651
2024-11-02,Forcados,9534
2024-11-02,Bonny,106981
2024-11-02,Brass,118700
2024-11-02,Ebocha,32503
2024-11-02,Ughelli,41573
2024-11-02,Ogbogu,55916
2024-11-02,Utorogu,16265
2024-11-02,Agbada,80647
2024-11-02,Nembe,82797
2024-11-02,Obite,67392
2024-11-02,Soku,78781
2024-11-02,Bonga Offshore,39117
2024-11-02,Akpo Offshore,5124
2024-11-02,Egina Offshore,48347
2024-11-03,Escravos,58915
2024-11-03,Forcados,8917
2024-11-03,Bonny,113764
2024-11-03,Brass,97751
2024-11-03,Ebocha,46536
2024-11-03,Ughelli,27330
2024-11-03,Ogbogu,45403
2024-11-03,Utorogu,15437
2024-11-03,Agbada,68291
2024-11-03,Nembe,108864
2024-11-03,Obite,67947
2024-11-03,Soku,65236
2024-11-03,Bonga Offshore,40171
2024-11-03,Akpo Offshore,5128
2024-11-03,Egina Offshore,54181
2024-11-04,Escravos,66289
2024-11-04,Forcados,9870
2024-11-04,Bonny,102584
2024-11-04,Brass,107314
2024-11-04,Ebocha,41370
2024-11-04,Ughelli,35712
2024-11-04,Ogbogu,47255
2024-11-04,Utorogu,12495
2024-11-04,Agbada,66316
2024-11-04,Nembe,105141
2024-11-04,Obite,75601
2024-11-04,Soku,74612
2024-11-04,Bonga Offshore,45923
2024-11-04,Akpo Offshore,5378
2024-11-04,Egina Offshore,47965
2024-11-05,Escravos,70693
2024-11-05,Forcados,8579
2024-11-05,Bonny,119882
2024-11-05,Brass,112577
2024-11-05,Ebocha,36263
2024-11-05,Ughelli,34952
2024-11-05,Ogbogu,56877
2024-11-05,Utorogu,14733
2024-11-05,Agbada,73008
2024-11-05,Nembe,107954
2024-11-05,Obite,58147
2024-11-05,Soku,68430
2024-11-05,Bonga Offshore,40234
2024-11-05,Akpo Offshore,6485
2024-11-05,Egina Offshore,36142
2024-11-06,Escravos,71918
2024-11-06,Forcados,11270
2024-11-06,Bonny,116014
2024-11-06,Brass,82075
2024-11-06,Ebocha,32330
2024-11-06,Ughelli,36861
2024-11-06,Ogbogu,49247
2024-11-06,Utorogu,14427
2024-11-06,Agbada,85091
2024-11-06,Nembe,85669
2024-11-06,Obite,50508
2024-11-06,Soku,79904
2024-11-06,Bonga Offshore,37121
2024-11-06,Akpo Offshore,5459
2024-11-06,Egina Offshore,44385
2024-11-07,Escravos,87968
2024-11-07,Forcados,8364
2024-11-07,Bonny,152640
2024-11-07,Brass,115684
2024-11-07,Ebocha,36410
2024-11-07,Ughelli,33184
2024-11-07,Ogbogu,61596
2024-11-07,Utorogu,13089
2024-11-07,Agbada,68299
2024-11-07,Nembe,119581
2024-11-07,Obite,74893
2024-11-07,Soku,76790
2024-11-07,Bonga Offshore,38312
2024-11-07,Akpo Offshore,5483
2024-11-07,Egina Offshore,49670
2024-11-08,Escravos,72538
2024-11-08,Forcados,9543
2024-11-08,Bonny,114818
2024-11-08,Brass,130155
2024-11-08,Ebocha,35814
2024-11-08,Ughelli,31996
2024-11-08,Ogbogu,57747
2024-11-08,Utorogu,15271
2024-11-08,Agbada,61437
2024-11-08,Nembe,99918
2024-11-08,Obite,77207
2024-11-08,Soku,72055
2024-11-08,Bonga Offshore,38828
2024-11-08,Akpo Offshore,4972
2024-11-08,Egina Offshore,41153
2024-11-09,Escravos,63527
2024-11-09,Forcados,8040
2024-11-09,Bonny,100864
2024-11-09,Brass,110239
2024-11-09,Ebocha,38015
2024-11-09,Ughelli,42604
2024-11-09,Ogbogu,47405
2024-11-09,Utorogu,17405
2024-11-09,Agbada,92308
2024-11-09,Nembe,109656
2024-11-09,Obite,62598
2024-11-09,Soku,65902
2024-11-09,Bonga Offshore,42057
2024-11-09,Akpo Offshore,4111
2024-11-09,Egina Offshore,56733
2024-11-10,Escravos,59289
2024-11-10,Forcados,8253
2024-11-10,Bonny,108237
2024-11-10,Brass,110499
2024-11-10,Ebocha,37206
2024-11-10,Ughelli,44216
2024-11-10,Ogbogu,48529
2024-11-10,Utorogu,14130
2024-11-10,Agbada,70968
2024-11-10,Nembe,77265
2024-11-10,Obite,74058
2024-11-10,Soku,74239
2024-11-10,Bonga Offshore,34605
2024-11-10,Akpo Offshore,6327
2024-11-10,Egina Offshore,46177
2024-11-11,Escravos,69669
2024-11-11,Forcados,7361
2024-11-11,Bonny,103822
2024-11-11,Brass,120833
2024-11-11,Ebocha,38667
2024-11-11,Ughelli,34561
2024-11-11,Ogbogu,39012
2024-11-11,Utorogu,14669
2024-11-11,Agbada,81072
2024-11-11,Nembe,95070
2024-11-11,Obite,50732
2024-11-11,Soku,70945
2024-11-11,Bonga Offshore,45007
2024-11-11,Akpo Offshore,5440
2024-11-11,Egina Offshore,48327
2024-11-12,Escravos,89058
2024-11-12,Forcados,7851
2024-11-12,Bonny,125576
2024-11-12,Brass,81283
2024-11-12,Ebocha,38393
2024-11-12,Ughelli,39329
2024-11-12,Ogbogu,56450
2024-11-12,Utorogu,15749
2024-11-12,Agbada,79588
2024-11-12,Nembe,140538
2024-11-12,Obite,46640
2024-11-12,Soku,42870
2024-11-12,Bonga Offshore,38611
2024-11-12,Akpo Offshore,5854
2024-11-12,Egina Offshore,41509
2024-11-13,Escravos,56433
2024-11-13,Forcados,7342
2024-11-13,Bonny,134060
2024-11-13,Brass,122752
2024-11-13,Ebocha,33005
2024-11-13,Ughelli,35629
2024-11-13,Ogbogu,43555
2024-11-13,Utorogu,15271
2024-11-13,Agbada,60505
2024-11-13,Nembe,105317
2024-11-13,Obite,47059
2024-11-13,Soku,59856
2024-11-13,Bonga Offshore,49283
2024-11-13,Akpo Offshore,6008
2024-11-13,Egina Offshore,39108
2024-11-14,Escravos,67590
2024-11-14,Forcados,9068
2024-11-14,Bonny,92922
2024-11-14,Brass,107807
2024-11-14,Ebocha,34336
2024-11-14,Ughelli,38908
2024-11-14,Ogbogu,66455
2024-11-14,Utorogu,13701
2024-11-14,Agbada,66434
2024-11-14,Nembe,101879
2024-11-14,Obite,76259
2024-11-14,Soku,68822
2024-11-14,Bonga Offshore,35681
2024-11-14,Akpo Offshore,6006
2024-11-14,Egina Offshore,53122
2024-11-15,Escravos,67189
2024-11-15,Forcados,7919
2024-11-15,Bonny,123142
2024-11-15,Brass,106931
2024-11-15,Ebocha,43831
2024-11-15,Ughelli,34661
2024-11-15,Ogbogu,55730
2024-11-15,Utorogu,12269
2024-11-15,Agbada,83709
2024-11-15,Nembe,96942
2024-11-15,Obite,57897
2024-11-15,Soku,73071
2024-11-15,Bonga Offshore,44012
2024-11-15,Akpo Offshore,5698
2024-11-15,Egina Offshore,63245
2024-11-16,Escravos,81668
2024-11-16,Forcados,8210
2024-11-16,Bonny,110085
2024-11-16,Brass,89836
2024-11-16,Ebocha,50636
2024-11-16,Ughelli,40717
2024-11-16,Ogbogu,58586
2024-11-16,Utorogu,14947
2024-11-16,Agbada,74368
2024-11-16,Nembe,98117
2024-11-16,Obite,61327
2024-11-16,Soku,64376
2024-11-16,Bonga Offshore,37851
2024-11-16,Akpo Offshore,5623
2024-11-16,Egina Offshore,33919
2024-11-17,Escravos,67318
2024-11-17,Forcados,10192
2024-11-17,Bonny,121039
2024-11-17,Brass,91287
2024-11-17,Ebocha,33227
2024-11-17,Ughelli,40665
2024-11-17,Ogbogu,46019
2024-11-17,Utorogu,15636
2024-11-17,Agbada,81750
2024-11-17,Nembe,98363
2024-11-17,Obite,78913
2024-11-17,Soku,62778
2024-11-17,Bonga Offshore,41649
2024-11-17,Akpo Offshore,6066
2024-11-17,Egina Offshore,44884
2024-11-18,Escravos,85041
2024-11-18,Forcados,8178
2024-11-18,Bonny,112864
2024-11-18,Brass,94210
2024-11-18,Ebocha,45075
2024-11-18,Ughelli,36100
2024-11-18,Ogbogu,42234
2024-11-18,Utorogu,16798
2024-11-18,Agbada,71028
2024-11-18,Nembe,80704
2024-11-18,Obite,75707
2024-11-18,Soku,63144
2024-11-18,Bonga Offshore,47519
2024-11-18,Akpo Offshore,5620
2024-11-18,Egina Offshore,58570
2024-11-19,Escravos,79944
2024-11-19,Forcados,10258
2024-11-19,Bonny,90163
2024-11-19,Brass,95102
2024-11-19,Ebocha,32903
2024-11-19,Ughelli,39920
2024-11-19,Ogbogu,61392
2024-11-19,Utorogu,15438
2024-11-19,Agbada,72052
2024-11-19,Nembe,110921
2024-11-19,Obite,64325
2024-11-19,Soku,65418
2024-11-19,Bonga Offshore,41105
2024-11-19,Akpo Offshore,5547
2024-11-19,Egina Offshore,47615
2024-11-20,Escravos,93604
2024-11-20,Forcados,8557
2024-11-20,Bonny,118604
2024-11-20,Brass,104672
2024-11-20,Ebocha,41907
2024-11-20,Ughelli,43182
2024-11-20,Ogbogu,60396
2024-11-20,Utorogu,16433
2024-11-20,Agbada,81933
2024-11-20,Nembe,74880
2024-11-20,Obite,83293
2024-11-20,Soku,57318
2024-11-20,Bonga Offshore,41028
2024-11-20,Akpo Offshore,5269
2024-11-20,Egina Offshore,46786
2024-11-21,Escravos,74213
2024-11-21,Forcados,9428
2024-11-21,Bonny,95044
2024-11-21,Brass,118172
2024-11-21,Ebocha,43812
2024-11-21,Ughelli,54760
2024-11-21,Ogbogu,60458
2024-11-21,Utorogu,14819
2024-11-21,Agbada,79233
2024-11-21,Nembe,103806
2024-11-21,Obite,63276
2024-11-21,Soku,66016
2024-11-21,Bonga Offshore,47890
2024-11-21,Akpo Offshore,5229
2024-11-21,Egina Offshore,44658
2024-11-22,Escravos,77601
2024-11-22,Forcados,8263
2024-11-22,Bonny,115587
2024-11-22,Brass,91117
2024-11-22,Ebocha,41137
2024-11-22,Ughelli,35862
2024-11-22,Ogbogu,59697
2024-11-22,Utorogu,14573
2024-11-22,Agbada,67187
2024-11-22,Nembe,87020
2024-11-22,Obite,70442
2024-11-22,Soku,63673
2024-11-22,Bonga Offshore,40909
2024-11-22,Akpo Offshore,4427
2024-11-22,Egina Offshore,53395
2024-11-23,Escravos,70567
2024-11-23,Forcados,8465
2024-11-23,Bonny,111063
2024-11-23,Brass,96469
2024-11-23,Ebocha,37064
2024-11-23,Ughelli,43747
2024-11-23,Ogbogu,53528
2024-11-23,Utorogu,15833
2024-11-23,Agbada,92443
2024-11-23,Nembe,106078
2024-11-23,Obite,52276
2024-11-23,Soku,89234
2024-11-23,Bonga Offshore,35952
2024-11-23,Akpo Offshore,4924
2024-11-23,Egina Offshore,54468
2024-11-24,Escravos,81991
2024-11-24,Forcados,9158
2024-11-24,Bonny,117142
2024-11-24,Brass,112727
2024-11-24,Ebocha,35763
2024-11-24,Ughelli,42362
2024-11-24,Ogbogu,65042
2024-11-24,Utorogu,16536
2024-11-24,Agbada,77921
2024-11-24,Nembe,88822
2024-11-24,Obite,61233
2024-11-24,Soku,55034
2024-11-24,Bonga Offshore,47793
2024-11-24,Akpo Offshore,6377
2024-11-24,Egina Offshore,43859
2024-11-25,Escravos,66478
2024-11-25,Forcados,9957
2024-11-25,Bonny,110546
2024-11-25,Brass,125097
2024-11-25,Ebocha,38732
2024-11-25,Ughelli,34432
2024-11-25,Ogbogu,63017
2024-11-25,Utorogu,14621
2024-11-25,Agbada,57253
2024-11-25,Nembe,97244
2024-11-25,Obite,66976
2024-11-25,Soku,60206
2024-11-25,Bonga Offshore,37999
2024-11-25,Akpo Offshore,6255
2024-11-25,Egina Offshore,49885
2024-11-26,Escravos,87190
2024-11-26,Forcados,9021
2024-11-26,Bonny,131268
2024-11-26,Brass,95040
2024-11-26,Ebocha,38507
2024-11-26,Ughelli,37514
2024-11-26,Ogbogu,50483
2024-11-26,Utorogu,14638
2024-11-26,Agbada,78671
2024-11-26,Nembe,114121
2024-11-26,Obite,61196
2024-11-26,Soku,72945
2024-11-26,Bonga Offshore,35609
2024-11-26,Akpo Offshore,5677
2024-11-26,Egina Offshore,45416
2024-11-27,Escravos,72795
2024-11-27,Forcados,9620
2024-11-27,Bonny,105451
2024-11-27,Brass,105958
2024-11-27,Ebocha,36689
2024-11-27,Ughelli,40212
2024-11-27,Ogbogu,43347
2024-11-27,Utorogu,13779
2024-11-27,Agbada,67321
2024-11-27,Nembe,94955
2024-11-27,Obite,70113
2024-11-27,Soku,75792
2024-11-27,Bonga Offshore,36824
2024-11-27,Akpo Offshore,5180
2024-11-27,Egina Offshore,46490
2024-11-28,Escravos,70645
2024-11-28,Forcados,11942
2024-11-28,Bonny,90269
2024-11-28,Brass,118603
2024-11-28,Ebocha,33184
2024-11-28,Ughelli,39721
2024-11-28,Ogbogu,41421
2024-11-28,Utorogu,14410
2024-11-28,Agbada,66727
2024-11-28,Nembe,97098
2024-11-28,Obite,61079
2024-11-28,Soku,77951
2024-11-28,Bonga Offshore,40437
2024-11-28,Akpo Offshore,6355
2024-11-28,Egina Offshore,44369
2024-11-29,Escravos,77588
2024-11-29,Forcados,8040
2024-11-29,Bonny,99459
2024-11-29,Brass,100908
2024-11-29,Ebocha,31701
2024-11-29,Ughelli,35462
2024-11-29,Ogbogu,48854
