state,sector,registered_smes,year,source
Abia,Agriculture,6212,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Abia,Manufacturing,7614,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Abia,Construction,19399,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Abia,Trade,10168,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Abia,ICT,13203,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Abia,Finance,14541,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Abia,Transportation,21382,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Abia,Hospitality,22056,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Adamawa,Agriculture,2393,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Adamawa,Manufacturing,4430,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Adamawa,Construction,2010,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Adamawa,Trade,3754,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Adamawa,ICT,2648,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Adamawa,Finance,2541,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Adamawa,Transportation,4336,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Adamawa,Hospitality,4464,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Akwa Ibom,Agriculture,14368,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Akwa Ibom,Manufacturing,11839,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Akwa Ibom,Construction,7554,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Akwa Ibom,Trade,7955,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Akwa Ibom,ICT,5657,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Akwa Ibom,Finance,15435,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Akwa Ibom,Transportation,5692,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Akwa Ibom,Hospitality,9340,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Anambra,Agriculture,1612,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Anambra,Manufacturing,1469,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Anambra,Construction,2084,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Anambra,Trade,862,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Anambra,ICT,2273,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Anambra,Finance,726,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Anambra,Transportation,912,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Anambra,Hospitality,1631,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bauchi,Agriculture,16429,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bauchi,Manufacturing,10133,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bauchi,Construction,17526,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bauchi,Trade,12413,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bauchi,ICT,12540,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bauchi,Finance,5128,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bauchi,Transportation,5709,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bauchi,Hospitality,13619,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bayelsa,Agriculture,10180,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bayelsa,Manufacturing,15078,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bayelsa,Construction,6392,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bayelsa,Trade,12480,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bayelsa,ICT,6801,2024,Synthetic; indicative; calibrate with CAC/NASME when available
Bayelsa,Finance,8670,2024,Synthetic; indicative; calibrate with CAC/NASME when available
