current_density_A_per_cm2,voltage_V
0.010000,1.044515
0.032485,0.971067
0.054969,0.914944
0.077454,0.864877
0.099938,0.815473
0.122423,0.761499
0.144907,0.692209
0.167392,0.541318
0.189877,0.430428
0.212361,0.412655
0.234846,0.395781
0.257330,0.379656
0.279815,0.364162
0.302299,0.349207
0.324784,0.334719
0.347269,0.320640
0.369753,0.306919
0.392238,0.293518
0.414722,0.280402
0.437207,0.267542
0.459692,0.254914
0.482176,0.242496
0.504661,0.230270
0.527145,0.218221
0.549630,0.206333
0.572114,0.194594
0.594599,0.182993
0.617084,0.171521
0.639568,0.160168
0.662053,0.148926
0.684537,0.137788
0.707022,0.126748
0.729506,0.115799
0.751991,0.104937
0.774476,0.094155
0.796960,0.083451
0.819445,0.072818
0.841929,0.062255
0.864414,0.051757
0.886898,0.050000
0.909383,0.050000
0.931868,0.050000
0.954352,0.050000
0.976837,0.050000
0.999321,0.050000
1.021806,0.050000
1.044291,0.050000
1.066775,0.050000
1.089260,0.050000
1.111744,0.050000
