ATT,SN,PBC,SEV,VULN,SE,RE,PB,INT
0.7837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.6760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.6501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.7639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.6632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8472
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8410
0.0000,0.0000,0.0000,0.6601,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.6065,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.7151,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.7473,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.7149,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.7074,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.7042,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7765,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8168,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7291,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6784,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7562,0.0000
