year,source,installed_mw,available_mw,capacity_factor_est,provenance,sources
2015,gas,9000.0,3480.5,0.373,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2015,hydro,3500.0,1375.6,0.345,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2015,solar,50.0,19.8,0.254,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2015,wind,10.0,3.9,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2015,biomass,100.0,40.6,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2015,others,100.0,40.0,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2016,gas,9090.0,3671.0,0.373,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2016,hydro,3565.0,1342.4,0.346,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2016,solar,50.5,19.7,0.254,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2016,wind,10.1,3.8,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2016,biomass,101.0,38.9,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2016,others,101.0,41.1,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2017,gas,9180.0,3754.9,0.373,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2017,hydro,3630.0,1548.2,0.347,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2017,solar,51.0,21.2,0.254,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2017,wind,10.2,4.3,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2017,biomass,102.0,43.6,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2017,others,102.0,41.5,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2018,gas,9370.0,3799.1,0.374,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2018,hydro,3695.0,1489.2,0.347,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2018,solar,51.5,20.9,0.254,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2018,wind,10.3,4.3,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2018,biomass,103.0,41.6,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2018,others,103.0,43.7,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2019,gas,9560.0,4151.6,0.374,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2019,hydro,3760.0,1568.4,0.348,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2019,solar,52.0,22.2,0.254,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2019,wind,10.4,4.5,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2019,biomass,104.0,47.2,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2019,others,104.0,43.0,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2020,gas,9750.0,4494.7,0.374,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2020,hydro,3825.0,1678.2,0.348,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2020,solar,82.5,35.7,0.256,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2020,wind,10.5,4.8,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2020,biomass,105.0,47.2,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2020,others,105.0,48.9,0.257,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2021,gas,9940.0,4623.6,0.375,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2021,hydro,3890.0,1762.4,0.349,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2021,solar,113.0,54.7,0.258,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2021,wind,10.6,4.7,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2021,biomass,106.0,47.5,0.258,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2021,others,106.0,51.5,0.258,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2022,gas,10130.0,4696.1,0.375,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2022,hydro,3955.0,1968.2,0.35,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2022,solar,143.5,68.6,0.26,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2022,wind,10.7,5.1,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2022,biomass,107.0,51.3,0.258,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2022,others,107.0,52.2,0.258,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2023,gas,10320.0,5166.4,0.376,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2023,hydro,4020.0,1909.9,0.35,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2023,solar,174.0,88.9,0.262,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2023,wind,10.8,5.3,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2023,biomass,108.0,55.5,0.258,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2023,others,108.0,51.7,0.258,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2024,gas,10510.0,5129.8,0.376,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2024,hydro,4085.0,1959.1,0.351,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2024,solar,204.5,102.6,0.264,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2024,wind,10.9,5.5,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2024,biomass,109.0,53.8,0.258,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2024,others,109.0,52.6,0.258,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2025,gas,10700.0,5378.7,0.376,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2025,hydro,4150.0,2217.1,0.351,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2025,solar,235.0,119.2,0.266,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
2025,wind,11.0,5.8,0.251,synthetic_fabricated,NERC; TCN; World Bank (context); Nigeria Electricity Hub
