period,disco,band,customer_class,energy_rate_ngn_per_kwh,fixed_charge_ngn_per_month,energy_rate_usd_per_kwh,provenance,sources
2023-01-01,AEDC,A,residential,130.5,818.05,0.1004,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,A,commercial,143.55,697.63,0.1104,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,A,industrial,150.07,939.6,0.1154,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,B,residential,104.4,584.97,0.0803,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,B,commercial,114.84,739.39,0.0883,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,B,industrial,120.06,614.7,0.0924,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,C,residential,83.52,438.25,0.0642,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,C,commercial,91.87,459.69,0.0707,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,C,industrial,96.05,507.77,0.0739,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,D,residential,67.86,322.07,0.0522,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,D,commercial,74.64,427.43,0.0574,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,D,industrial,78.04,391.71,0.06,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,E,residential,52.2,249.36,0.0402,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,E,commercial,57.42,265.91,0.0442,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,E,industrial,60.03,379.09,0.0462,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,Premium,residential,208.8,1112.53,0.1606,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,Premium,commercial,229.68,1481.37,0.1767,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,AEDC,Premium,industrial,240.12,1580.29,0.1847,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,A,residential,112.32,675.57,0.0864,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,A,commercial,123.55,867.6,0.095,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,A,industrial,129.16,705.99,0.0994,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,B,residential,89.85,621.82,0.0691,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,B,commercial,98.84,678.57,0.076,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,B,industrial,103.33,644.97,0.0795,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,C,residential,71.88,529.44,0.0553,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,C,commercial,79.07,530.22,0.0608,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,C,industrial,82.66,604.34,0.0636,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,D,residential,58.4,363.27,0.0449,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,D,commercial,64.24,483.14,0.0494,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,D,industrial,67.16,428.87,0.0517,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,E,residential,44.93,318.28,0.0346,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,E,commercial,49.42,276.75,0.038,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,E,industrial,51.66,352.26,0.0397,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,Premium,residential,179.7,1031.8,0.1382,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,Premium,commercial,197.67,1277.85,0.1521,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,BEDC,Premium,industrial,206.66,1262.5,0.159,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,A,residential,118.94,782.78,0.0915,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,A,commercial,130.84,827.35,0.1006,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,A,industrial,136.78,799.41,0.1052,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,B,residential,95.15,598.74,0.0732,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,B,commercial,104.67,686.2,0.0805,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,B,industrial,109.43,630.83,0.0842,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,C,residential,76.12,483.34,0.0586,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,C,commercial,83.74,483.96,0.0644,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,C,industrial,87.54,543.58,0.0673,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,D,residential,61.85,340.07,0.0476,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,D,commercial,68.04,438.39,0.0523,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,D,industrial,71.13,487.07,0.0547,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,E,residential,47.58,269.8,0.0366,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,E,commercial,52.33,283.96,0.0403,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,E,industrial,54.71,389.04,0.0421,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,Premium,residential,190.31,1129.25,0.1464,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,Premium,commercial,209.34,1073.57,0.161,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EEDC,Premium,industrial,218.85,1588.61,0.1683,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,A,residential,131.15,891.81,0.1009,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,A,commercial,144.27,662.28,0.111,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,A,industrial,150.83,872.29,0.116,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,B,residential,104.92,677.9,0.0807,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,B,commercial,115.42,713.07,0.0888,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,B,industrial,120.66,667.89,0.0928,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,C,residential,83.94,456.25,0.0646,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,C,commercial,92.33,528.09,0.071,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,C,industrial,96.53,593.02,0.0743,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,D,residential,68.2,352.24,0.0525,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,D,commercial,75.02,467.0,0.0577,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,D,industrial,78.43,366.17,0.0603,synthetic_fabricated_from_policy_context,NERC publications; media reports
2023-01-01,EKEDC,E,residential,52.46,270.37,0.0404,synthetic_fabricated_from_policy_context,NERC publications; media reports
