period,state,petrol_price,diesel_price,unit,provenance,sources
2023-01-01,Abia,170.35,660.44,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Adamawa,164.54,656.48,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Akwa Ibom,205.06,836.17,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Anambra,195.12,788.2,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Bauchi,182.89,740.78,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Bayelsa,194.06,717.02,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Benue,178.84,656.42,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Borno,170.02,682.01,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Cross River,182.07,728.25,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Delta,184.27,675.85,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Ebonyi,164.0,693.82,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Edo,182.8,693.92,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Ekiti,157.35,647.4,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Enugu,181.56,737.61,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Gombe,167.38,613.13,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Imo,182.17,696.82,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Jigawa,174.44,720.87,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Kaduna,176.7,649.21,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Kano,184.59,721.35,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Katsina,185.22,733.01,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Kebbi,187.84,746.23,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Kogi,173.73,690.3,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Kwara,163.3,589.8,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Lagos,177.83,646.01,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Nasarawa,186.27,774.76,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Niger,171.25,690.03,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
2023-01-01,Ogun,170.82,620.58,NGN_per_litre,synthetic_fabricated,NNPC; NBS; PPPRA; media tracking
