period,site_id,flared_volume,unit,provenance,sources
2023-01,ESCRAVOS,45753.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-02,ESCRAVOS,40698.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-03,ESCRAVOS,18201.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-04,ESCRAVOS,39294.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-05,ESCRAVOS,43391.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-06,ESCRAVOS,44197.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-07,ESCRAVOS,15101.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-08,ESCRAVOS,20698.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-09,ESCRAVOS,34588.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-10,ESCRAVOS,43253.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-11,ESCRAVOS,45416.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-12,ESCRAVOS,43356.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-01,ESCRAVOS,30011.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-02,ESCRAVOS,19632.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-03,ESCRAVOS,51432.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-04,ESCRAVOS,53932.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-05,ESCRAVOS,28821.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-06,ESCRAVOS,17681.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-07,ESCRAVOS,28191.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-08,ESCRAVOS,44587.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-09,ESCRAVOS,34480.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-10,ESCRAVOS,45221.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-11,ESCRAVOS,26151.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-12,ESCRAVOS,45412.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-01,FORCADOS,28026.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-02,FORCADOS,20634.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-03,FORCADOS,22949.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-04,FORCADOS,44984.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-05,FORCADOS,20497.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-06,FORCADOS,26853.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-07,FORCADOS,24364.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-08,FORCADOS,35445.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-09,FORCADOS,43858.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-10,FORCADOS,22295.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-11,FORCADOS,14734.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-12,FORCADOS,47168.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-01,FORCADOS,36997.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-02,FORCADOS,27132.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-03,FORCADOS,43463.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-04,FORCADOS,28320.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-05,FORCADOS,27819.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-06,FORCADOS,19492.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-07,FORCADOS,26517.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-08,FORCADOS,18126.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-09,FORCADOS,16520.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-10,FORCADOS,14763.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-11,FORCADOS,18356.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-12,FORCADOS,32671.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-01,BONNY,36211.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-02,BONNY,24761.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-03,BONNY,39606.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-04,BONNY,50669.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-05,BONNY,48141.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-06,BONNY,42199.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-07,BONNY,24833.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-08,BONNY,32250.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-09,BONNY,43386.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-10,BONNY,38550.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-11,BONNY,45219.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-12,BONNY,30203.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-01,BONNY,23717.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-02,BONNY,35957.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-03,BONNY,47930.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-04,BONNY,37225.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-05,BONNY,37948.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-06,BONNY,25573.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-07,BONNY,40131.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-08,BONNY,25944.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-09,BONNY,30614.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-10,BONNY,27362.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-11,BONNY,19979.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-12,BONNY,41705.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-01,UGHELLI,25226.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-02,UGHELLI,44354.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-03,UGHELLI,36278.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-04,UGHELLI,41112.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-05,UGHELLI,44605.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-06,UGHELLI,38310.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-07,UGHELLI,19444.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-08,UGHELLI,16741.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-09,UGHELLI,22760.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-10,UGHELLI,21106.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-11,UGHELLI,38241.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-12,UGHELLI,44527.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-01,UGHELLI,27543.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-02,UGHELLI,16628.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-03,UGHELLI,19754.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-04,UGHELLI,48442.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-05,UGHELLI,33428.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-06,UGHELLI,29795.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-07,UGHELLI,16823.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-08,UGHELLI,29902.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-09,UGHELLI,24824.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-10,UGHELLI,24105.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-11,UGHELLI,47093.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-12,UGHELLI,28582.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-01,QIT,22901.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-02,QIT,33590.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-03,QIT,20158.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-04,QIT,33366.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-05,QIT,18829.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-06,QIT,37071.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-07,QIT,45474.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-08,QIT,43249.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-09,QIT,25603.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-10,QIT,41515.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-11,QIT,17532.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-12,QIT,17270.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-01,QIT,30766.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-02,QIT,34122.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-03,QIT,52372.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-04,QIT,52656.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-05,QIT,16838.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-06,QIT,34219.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-07,QIT,43033.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-08,QIT,21857.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-09,QIT,28447.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-10,QIT,33884.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-11,QIT,40134.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-12,QIT,22446.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-01,BONGA,21405.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-02,BONGA,30826.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-03,BONGA,54077.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-04,BONGA,21887.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-05,BONGA,17205.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-06,BONGA,46369.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-07,BONGA,46622.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-08,BONGA,24655.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-09,BONGA,38794.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-10,BONGA,43911.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-11,BONGA,32044.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2023-12,BONGA,36255.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-01,BONGA,50358.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-02,BONGA,22395.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-03,BONGA,20143.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-04,BONGA,32185.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-05,BONGA,39247.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-06,BONGA,21104.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-07,BONGA,30544.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-08,BONGA,43819.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
2024-09,BONGA,37047.0,mscfd,synthetic_fabricated,GGFR; NNPC; satellite
