year,state,region,broadband_penetration_pct
2024,Benue,North Central,42.1
2024,FCT,North Central,53.11
2024,Kogi,North Central,44.61
2024,Kwara,North Central,50.03
2024,Nasarawa,North Central,54.32
2024,Niger,North Central,46.77
2024,Plateau,North Central,41.61
2024,Adamawa,North East,39.91
2024,Bauchi,North East,40.27
2024,Borno,North East,38.55
2024,Gombe,North East,37.78
2024,Taraba,North East,44.64
2024,Yobe,North East,32.18
2024,Jigawa,North West,39.55
2024,Kaduna,North West,39.92
2024,Kano,North West,39.06
2024,Katsina,North West,44.8
2024,Kebbi,North West,42.26
2024,Sokoto,North West,42.27
2024,Zamfara,North West,39.57
2024,Abia,South East,49.62
2024,Anambra,South East,49.05
2024,Ebonyi,South East,46.12
2024,Enugu,South East,48.23
2024,Imo,South East,48.67
2024,Akwa Ibom,South South,48.81
2024,Bayelsa,South South,49.75
2024,Cross River,South South,51.81
2024,Delta,South South,48.51
2024,Edo,South South,53.48
2024,Rivers,South South,66.47
2024,Ekiti,South West,55.21
2024,Lagos,South West,71.75
2024,Ogun,South West,52.39
2024,Ondo,South West,53.8
2024,Osun,South West,58.79
2024,Oyo,South West,49.37
