year,sector,growth_rate_pct
2005,Agriculture,3.57
2005,Construction,3.6
2005,Education,2.79
2005,Finance & Insurance,2.87
2005,Health & Social Services,3.74
2005,Information & Communication,0.26
2005,Manufacturing,2.27
2005,Public Administration,3.55
2005,Real Estate,2.18
2005,Trade,2.51
2005,Transportation & Storage,2.44
2005,Utilities,2.42
2006,Agriculture,2.28
2006,Construction,3.14
2006,Education,1.26
2006,Finance & Insurance,3.52
2006,Health & Social Services,1.1
2006,Information & Communication,2.04
2006,Manufacturing,2.01
2006,Public Administration,4.24
2006,Real Estate,4.33
2006,Trade,1.57
2006,Transportation & Storage,-0.11
2006,Utilities,2.28
2007,Agriculture,2.96
2007,Construction,3.73
2007,Education,3.84
2007,Finance & Insurance,1.15
2007,Health & Social Services,2.11
2007,Information & Communication,1.83
2007,Manufacturing,3.07
2007,Public Administration,3.91
2007,Real Estate,2.42
2007,Trade,2.7
2007,Transportation & Storage,1.09
2007,Utilities,1.69
2008,Agriculture,2.27
2008,Construction,3.44
2008,Education,0.97
2008,Finance & Insurance,0.26
2008,Health & Social Services,2.9
2008,Information & Communication,2.37
2008,Manufacturing,0.97
2008,Public Administration,3.56
2008,Real Estate,3.74
2008,Trade,3.79
2008,Transportation & Storage,1.63
2008,Utilities,1.39
2009,Agriculture,2.57
2009,Construction,4.17
2009,Education,2.38
2009,Finance & Insurance,1.65
2009,Health & Social Services,2.64
2009,Information & Communication,1.21
2009,Manufacturing,2.27
2009,Public Administration,1.67
2009,Real Estate,3.46
2009,Trade,4.11
2009,Transportation & Storage,3.62
2009,Utilities,4.79
2010,Agriculture,1.85
2010,Construction,3.05
2010,Education,1.49
2010,Finance & Insurance,0.47
2010,Health & Social Services,1.32
2010,Information & Communication,2.52
2010,Manufacturing,3.84
2010,Public Administration,4.7
2010,Real Estate,2.48
2010,Trade,4.49
2010,Transportation & Storage,2.28
2010,Utilities,3.16
2011,Agriculture,2.24
2011,Construction,4.41
2011,Education,-0.12
2011,Finance & Insurance,2.29
2011,Health & Social Services,1.92
2011,Information & Communication,1.13
2011,Manufacturing,1.92
2011,Public Administration,4.76
2011,Real Estate,3.49
2011,Trade,2.18
2011,Transportation & Storage,3.51
2011,Utilities,2.34
2012,Agriculture,3.9
2012,Construction,3.77
2012,Education,1.04
2012,Finance & Insurance,2.31
2012,Health & Social Services,3.0
2012,Information & Communication,4.17
2012,Manufacturing,5.31
2012,Public Administration,4.84
2012,Real Estate,1.64
2012,Trade,2.7
2012,Transportation & Storage,1.8
2012,Utilities,0.6
2013,Agriculture,3.64
2013,Construction,0.73
2013,Education,2.03
2013,Finance & Insurance,1.47
2013,Health & Social Services,4.49
2013,Information & Communication,2.24
2013,Manufacturing,2.66
2013,Public Administration,3.1
2013,Real Estate,4.7
2013,Trade,3.48
2013,Transportation & Storage,2.21
2013,Utilities,1.93
2014,Agriculture,4.05
2014,Construction,4.83
2014,Education,3.4
2014,Finance & Insurance,2.93
2014,Health & Social Services,4.45
2014,Information & Communication,3.39
2014,Manufacturing,2.34
2014,Public Administration,5.32
2014,Real Estate,6.09
2014,Trade,4.39
2014,Transportation & Storage,2.15
2014,Utilities,3.07
2015,Agriculture,3.94
2015,Construction,3.14
2015,Education,2.42
2015,Finance & Insurance,1.19
2015,Health & Social Services,3.33
2015,Information & Communication,2.09
2015,Manufacturing,2.36
2015,Public Administration,4.3
2015,Real Estate,4.6
2015,Trade,3.06
2015,Transportation & Storage,1.54
2015,Utilities,2.98
2016,Agriculture,1.98
2016,Construction,1.57
2016,Education,-0.14
2016,Finance & Insurance,-0.74
2016,Health & Social Services,-0.15
2016,Information & Communication,-0.14
2016,Manufacturing,0.07
2016,Public Administration,2.27
2016,Real Estate,-0.41
2016,Trade,-1.38
2016,Transportation & Storage,0.2
2016,Utilities,-0.23
2017,Agriculture,3.69
2017,Construction,3.16
2017,Education,3.31
2017,Finance & Insurance,4.91
2017,Health & Social Services,5.08
2017,Information & Communication,4.99
2017,Manufacturing,4.78
2017,Public Administration,5.54
2017,Real Estate,5.52
2017,Trade,4.62
2017,Transportation & Storage,4.12
2017,Utilities,3.17
2018,Agriculture,3.56
2018,Construction,4.54
2018,Education,3.23
2018,Finance & Insurance,3.47
2018,Health & Social Services,2.58
2018,Information & Communication,2.76
2018,Manufacturing,3.04
2018,Public Administration,5.12
2018,Real Estate,4.93
2018,Trade,4.37
2018,Transportation & Storage,4.24
2018,Utilities,3.16
2019,Agriculture,3.61
2019,Construction,5.47
2019,Education,1.84
2019,Finance & Insurance,3.54
2019,Health & Social Services,1.48
2019,Information & Communication,3.19
2019,Manufacturing,2.79
2019,Public Administration,2.9
2019,Real Estate,2.31
2019,Trade,4.57
2019,Transportation & Storage,3.02
2019,Utilities,2.62
2020,Agriculture,3.02
2020,Construction,-1.3
2020,Education,-0.77
2020,Finance & Insurance,-0.06
2020,Health & Social Services,-0.21
2020,Information & Communication,2.75
2020,Manufacturing,1.06
2020,Public Administration,0.19
2020,Real Estate,3.12
2020,Trade,0.95
2020,Transportation & Storage,-1.36
2020,Utilities,0.59
2021,Agriculture,4.91
2021,Construction,4.78
2021,Education,2.54
2021,Finance & Insurance,2.54
2021,Health & Social Services,4.64
2021,Information & Communication,4.67
2021,Manufacturing,5.3
2021,Public Administration,7.18
2021,Real Estate,5.85
2021,Trade,1.84
2021,Transportation & Storage,7.13
2021,Utilities,4.15
2022,Agriculture,3.87
2022,Construction,2.71
2022,Education,2.64
2022,Finance & Insurance,2.51
2022,Health & Social Services,2.71
2022,Information & Communication,4.33
2022,Manufacturing,3.09
2022,Public Administration,5.13
2022,Real Estate,3.19
2022,Trade,3.18
2022,Transportation & Storage,4.26
2022,Utilities,2.23
2023,Agriculture,4.48
2023,Construction,3.67
2023,Education,4.67
2023,Finance & Insurance,2.25
2023,Health & Social Services,3.02
2023,Information & Communication,3.92
2023,Manufacturing,4.35
2023,Public Administration,4.41
2023,Real Estate,4.35
2023,Trade,2.91
2023,Transportation & Storage,4.61
2023,Utilities,2.27
2024,Agriculture,4.77
2024,Construction,4.08
2024,Education,2.16
2024,Finance & Insurance,4.66
2024,Health & Social Services,3.13
2024,Information & Communication,3.66
2024,Manufacturing,2.92
2024,Public Administration,5.41
2024,Real Estate,3.98
2024,Trade,3.76
2024,Transportation & Storage,3.63
2024,Utilities,2.87
