source_id,system,load_fraction,elec_efficiency_LHV,chp_total_efficiency,ambient_temp_C,stack_temp_C
S001;S003;S004;S011,Bloom_ES5,0.5,0.5,0.75,25,780
S001;S003;S004;S011,Bloom_ES5,0.75,0.55,0.8,25,780
S001;S003;S004;S011,Bloom_ES5,1.0,0.6,0.85,25,780
S001;S003;S004;S011,SOLIDpower_BlueGEN_BG-15,0.5,0.5,0.75,25,780
S001;S003;S004;S011,SOLIDpower_BlueGEN_BG-15,0.75,0.55,0.8,25,780
S001;S003;S004;S011,SOLIDpower_BlueGEN_BG-15,1.0,0.6,0.85,25,780
S001;S003;S004;S011,Ceres_SteelCell_Stack,0.5,0.5,0.75,25,780
S001;S003;S004;S011,Ceres_SteelCell_Stack,0.75,0.55,0.8,25,780
S001;S003;S004;S011,Ceres_SteelCell_Stack,1.0,0.6,0.85,25,780
S001;S003;S004;S011,MHI_MEGAMIE,0.5,0.5,0.75,25,780
S001;S003;S004;S011,MHI_MEGAMIE,0.75,0.55,0.8,25,780
S001;S003;S004;S011,MHI_MEGAMIE,1.0,0.6,0.85,25,780
