year,value
1961,0.191795489572428
1962,4.10299258867985
1963,8.57861891529707
1964,4.95048866604155
1965,4.88497683412901
1966,-4.25051418415495
1967,-15.7436282082051
1968,-1.24836024581202
1969,24.1973839456806
1970,25.0072419293896
1971,14.237531556251
1972,3.36426203503635
1973,5.39276048395909
1974,11.1606745454861
1975,-5.22774755532083
1976,9.04235172630212
1977,6.02411784954167
1978,-5.76415839390285
1979,6.75943093519176
1980,4.20483104427296
1981,-13.1278804850513
1982,-6.80338881534813
1983,-10.9240850339387
1984,-1.11562321716823
1985,5.91302745911383
1986,0.0609452742067873
1987,3.20012546702939
1988,7.3340254875872
1989,1.91938129589542
1990,11.7768859342069
1991,0.358352601660144
1992,4.63119294607692
1993,-2.03511877399136
1994,-1.81492448525673
1995,-0.0726647639378797
1996,4.19592404660108
1997,2.93709941924899
1998,2.58125410192935
1999,0.584126892918917
2000,5.01593475931159
2001,5.91768464920368
2002,15.3291557409559
2003,7.34719496799485
2004,9.25055822917993
2005,6.43851652538319
2006,6.05942803202912
2007,6.59113036068734
2008,6.7644727778017
2009,8.03692510099067
2010,8.00565591628646
2011,5.30792420289512
2012,4.23006117493168
2013,6.67133539306172
2014,6.30971865525467
2015,2.65269329543003
2016,-1.61686894906529
2017,0.80588661910221
2018,1.92275734200651
2019,2.20842927714881
2020,-1.79425308274458
2021,3.64718654072446
2022,3.25168140827093
2023,2.86021499108364
2024,3.42643947135149
