year,value
1970,7.0
1971,7.0
1972,7.0
1973,7.0
1974,7.0
1975,6.25
1976,6.5
1977,6.0
1978,6.75
1979,8.149999999
1980,8.431666666
1981,8.916666667
1982,9.5375
1983,9.976666666
1984,10.24166667
1985,9.433333333
1986,9.959166667
1987,13.96166667
1988,16.61666667
1989,20.44166667
1990,25.3
1991,20.04166667
1992,24.75833333
1993,31.65
1994,20.48333333
1995,20.23333333
1996,19.83666667
1997,17.795
1998,18.18416667
1999,20.29
2000,21.27416667
2001,23.43833333
2002,24.77083333
2003,20.71416667
2004,19.18083333
2005,17.94833333
2006,16.89333333
2007,16.93916667
2008,15.13583333
2009,18.99083333
2010,17.585
2011,16.02
2012,16.79166667
2013,16.7225
2014,16.54833333
2015,16.84916667
2016,16.86801576
2017,17.55333333
2018,16.90389696
2019,15.37658698
2020,13.64202167
2021,11.48313279
2022,12.33454424
2023,14.01055373
