year,state,residue_type,residue_quantity_tons
2024,Abia,rice_husk,169809
2024,Abia,maize_cobs,131224
2024,Abia,sugarcane_bagasse,213476
2024,Abia,cassava_peels,202494
2024,Abia,palm_kernel_shells,216415
2024,Abia,groundnut_shells,143620
2024,Adamawa,rice_husk,137931
2024,Adamawa,maize_cobs,132451
2024,Adamawa,sugarcane_bagasse,160037
2024,Adamawa,cassava_peels,143582
2024,Adamawa,palm_kernel_shells,146211
2024,Adamawa,groundnut_shells,122289
2024,Akwa Ibom,rice_husk,149635
2024,Akwa Ibom,maize_cobs,254488
2024,Akwa Ibom,sugarcane_bagasse,219635
2024,Akwa Ibom,cassava_peels,369374
2024,Akwa Ibom,palm_kernel_shells,254468
2024,Akwa Ibom,groundnut_shells,138169
2024,Anambra,rice_husk,99569
2024,Anambra,maize_cobs,193848
2024,Anambra,sugarcane_bagasse,154246
2024,Anambra,cassava_peels,155711
2024,Anambra,palm_kernel_shells,199048
2024,Anambra,groundnut_shells,102230
2024,Bauchi,rice_husk,136273
2024,Bauchi,maize_cobs,266828
2024,Bauchi,sugarcane_bagasse,238526
2024,Bauchi,cassava_peels,266091
2024,Bauchi,palm_kernel_shells,272033
2024,Bauchi,groundnut_shells,201698
2024,Bayelsa,rice_husk,135018
2024,Bayelsa,maize_cobs,265527
2024,Bayelsa,sugarcane_bagasse,199460
2024,Bayelsa,cassava_peels,352605
2024,Bayelsa,palm_kernel_shells,270304
2024,Bayelsa,groundnut_shells,121821
2024,Benue,rice_husk,318589
2024,Benue,maize_cobs,389335
2024,Benue,sugarcane_bagasse,296213
2024,Benue,cassava_peels,354858
2024,Benue,palm_kernel_shells,257748
2024,Benue,groundnut_shells,238379
2024,Borno,rice_husk,219187
2024,Borno,maize_cobs,281657
2024,Borno,sugarcane_bagasse,300513
2024,Borno,cassava_peels,321537
2024,Borno,palm_kernel_shells,352644
2024,Borno,groundnut_shells,215112
2024,Cross River,rice_husk,188232
2024,Cross River,maize_cobs,261344
2024,Cross River,sugarcane_bagasse,211889
2024,Cross River,cassava_peels,277008
2024,Cross River,palm_kernel_shells,209246
2024,Cross River,groundnut_shells,141907
2024,Delta,rice_husk,137653
2024,Delta,maize_cobs,182202
2024,Delta,sugarcane_bagasse,179980
2024,Delta,cassava_peels,175272
2024,Delta,palm_kernel_shells,159456
2024,Delta,groundnut_shells,98024
2024,Ebonyi,rice_husk,262437
2024,Ebonyi,maize_cobs,248805
2024,Ebonyi,sugarcane_bagasse,378190
2024,Ebonyi,cassava_peels,399195
2024,Ebonyi,palm_kernel_shells,288341
2024,Ebonyi,groundnut_shells,167591
2024,Edo,rice_husk,143306
2024,Edo,maize_cobs,170376
2024,Edo,sugarcane_bagasse,208862
2024,Edo,cassava_peels,258915
2024,Edo,palm_kernel_shells,232738
2024,Edo,groundnut_shells,99390
2024,Ekiti,rice_husk,225317
2024,Ekiti,maize_cobs,277886
2024,Ekiti,sugarcane_bagasse,296784
2024,Ekiti,cassava_peels,291109
2024,Ekiti,palm_kernel_shells,203912
2024,Ekiti,groundnut_shells,212011
2024,Enugu,rice_husk,140466
2024,Enugu,maize_cobs,205361
2024,Enugu,sugarcane_bagasse,299257
2024,Enugu,cassava_peels,267055
2024,Enugu,palm_kernel_shells,214869
2024,Enugu,groundnut_shells,111883
2024,FCT Abuja,rice_husk,240776
2024,FCT Abuja,maize_cobs,333530
2024,FCT Abuja,sugarcane_bagasse,308602
2024,FCT Abuja,cassava_peels,334462
2024,FCT Abuja,palm_kernel_shells,303962
2024,FCT Abuja,groundnut_shells,182515
2024,Gombe,rice_husk,196418
2024,Gombe,maize_cobs,332815
2024,Gombe,sugarcane_bagasse,348121
2024,Gombe,cassava_peels,408229
2024,Gombe,palm_kernel_shells,379274
2024,Gombe,groundnut_shells,235658
2024,Imo,rice_husk,183774
2024,Imo,maize_cobs,214203
2024,Imo,sugarcane_bagasse,408693
2024,Imo,cassava_peels,455420
2024,Imo,palm_kernel_shells,310349
2024,Imo,groundnut_shells,193997
2024,Jigawa,rice_husk,159378
2024,Jigawa,maize_cobs,238483
2024,Jigawa,sugarcane_bagasse,273107
2024,Jigawa,cassava_peels,346033
2024,Jigawa,palm_kernel_shells,158172
2024,Jigawa,groundnut_shells,182096
2024,Kaduna,rice_husk,164287
2024,Kaduna,maize_cobs,230610
2024,Kaduna,sugarcane_bagasse,161190
2024,Kaduna,cassava_peels,270896
2024,Kaduna,palm_kernel_shells,249042
2024,Kaduna,groundnut_shells,111037
2024,Kano,rice_husk,278021
2024,Kano,maize_cobs,206811
2024,Kano,sugarcane_bagasse,229211
2024,Kano,cassava_peels,444110
2024,Kano,palm_kernel_shells,361926
2024,Kano,groundnut_shells,186796
2024,Katsina,rice_husk,223514
2024,Katsina,maize_cobs,267308
2024,Katsina,sugarcane_bagasse,255261
2024,Katsina,cassava_peels,287332
2024,Katsina,palm_kernel_shells,209571
2024,Katsina,groundnut_shells,165671
2024,Kebbi,rice_husk,249653
2024,Kebbi,maize_cobs,379583
2024,Kebbi,sugarcane_bagasse,283562
2024,Kebbi,cassava_peels,306968
2024,Kebbi,palm_kernel_shells,388570
2024,Kebbi,groundnut_shells,254294
2024,Kogi,rice_husk,215453
2024,Kogi,maize_cobs,192268
2024,Kogi,sugarcane_bagasse,268094
2024,Kogi,cassava_peels,368593
2024,Kogi,palm_kernel_shells,252799
2024,Kogi,groundnut_shells,142377
2024,Kwara,rice_husk,194959
2024,Kwara,maize_cobs,313582
2024,Kwara,sugarcane_bagasse,253608
2024,Kwara,cassava_peels,281019
2024,Kwara,palm_kernel_shells,223129
2024,Kwara,groundnut_shells,188898
2024,Lagos,rice_husk,166970
2024,Lagos,maize_cobs,190671
2024,Lagos,sugarcane_bagasse,166728
2024,Lagos,cassava_peels,257212
2024,Lagos,palm_kernel_shells,276003
2024,Lagos,groundnut_shells,181251
2024,Nasarawa,rice_husk,241297
2024,Nasarawa,maize_cobs,219839
2024,Nasarawa,sugarcane_bagasse,234325
2024,Nasarawa,cassava_peels,321011
2024,Nasarawa,palm_kernel_shells,284897
2024,Nasarawa,groundnut_shells,204042
2024,Niger,rice_husk,180648
2024,Niger,maize_cobs,235547
2024,Niger,sugarcane_bagasse,171627
2024,Niger,cassava_peels,325599
2024,Niger,palm_kernel_shells,186163
2024,Niger,groundnut_shells,185721
2024,Ogun,rice_husk,157041
2024,Ogun,maize_cobs,282587
2024,Ogun,sugarcane_bagasse,216340
2024,Ogun,cassava_peels,333838
2024,Ogun,palm_kernel_shells,340629
2024,Ogun,groundnut_shells,141217
2024,Ondo,rice_husk,192480
2024,Ondo,maize_cobs,360434
2024,Ondo,sugarcane_bagasse,364283
2024,Ondo,cassava_peels,297798
2024,Ondo,palm_kernel_shells,253296
2024,Ondo,groundnut_shells,149382
2024,Osun,rice_husk,172218
2024,Osun,maize_cobs,197183
2024,Osun,sugarcane_bagasse,225984
2024,Osun,cassava_peels,254435
2024,Osun,palm_kernel_shells,275772
2024,Osun,groundnut_shells,148478
2024,Oyo,rice_husk,160616
2024,Oyo,maize_cobs,255901
2024,Oyo,sugarcane_bagasse,180779
2024,Oyo,cassava_peels,223852
2024,Oyo,palm_kernel_shells,238910
2024,Oyo,groundnut_shells,181310
2024,Plateau,rice_husk,239359
2024,Plateau,maize_cobs,341588
2024,Plateau,sugarcane_bagasse,417188
2024,Plateau,cassava_peels,363462
2024,Plateau,palm_kernel_shells,290793
2024,Plateau,groundnut_shells,208689
2024,Rivers,rice_husk,201825
2024,Rivers,maize_cobs,226267
2024,Rivers,sugarcane_bagasse,295521
2024,Rivers,cassava_peels,287040
2024,Rivers,palm_kernel_shells,167764
2024,Rivers,groundnut_shells,122246
2024,Sokoto,rice_husk,300590
2024,Sokoto,maize_cobs,300290
2024,Sokoto,sugarcane_bagasse,406683
2024,Sokoto,cassava_peels,479031
2024,Sokoto,palm_kernel_shells,300305
2024,Sokoto,groundnut_shells,174974
2024,Taraba,rice_husk,264010
2024,Taraba,maize_cobs,325605
