year,state,species,population_headcount
2020,Abia,cattle,266100
2021,Abia,cattle,263401
2022,Abia,cattle,270162
2023,Abia,cattle,288456
2024,Abia,cattle,280261
2020,Abia,goats,1398878
2021,Abia,goats,1473068
2022,Abia,goats,1475906
2023,Abia,goats,1575586
2024,Abia,goats,1532984
2020,Abia,sheep,933452
2021,Abia,sheep,951061
2022,Abia,sheep,966507
2023,Abia,sheep,952396
2024,Abia,sheep,998102
2020,Abia,poultry,4154921
2021,Abia,poultry,4319768
2022,Abia,poultry,4201260
2023,Abia,poultry,4441678
2024,Abia,poultry,4442408
2020,Abia,pigs,120878
2021,Abia,pigs,129228
2022,Abia,pigs,128234
2023,Abia,pigs,127788
2024,Abia,pigs,132279
2020,Adamawa,cattle,419361
2021,Adamawa,cattle,432093
2022,Adamawa,cattle,453518
2023,Adamawa,cattle,458410
2024,Adamawa,cattle,466278
2020,Adamawa,goats,2286298
2021,Adamawa,goats,2372398
2022,Adamawa,goats,2316937
2023,Adamawa,goats,2442105
2024,Adamawa,goats,2400628
2020,Adamawa,sheep,1521978
2021,Adamawa,sheep,1531279
2022,Adamawa,sheep,1555858
2023,Adamawa,sheep,1615052
2024,Adamawa,sheep,1647861
2020,Adamawa,poultry,6756979
2021,Adamawa,poultry,6994267
2022,Adamawa,poultry,7102599
2023,Adamawa,poultry,7113562
2024,Adamawa,poultry,7032823
2020,Adamawa,pigs,187565
2021,Adamawa,pigs,186237
2022,Adamawa,pigs,197251
2023,Adamawa,pigs,193628
2024,Adamawa,pigs,192668
2020,Akwa Ibom,cattle,519427
2021,Akwa Ibom,cattle,537585
2022,Akwa Ibom,cattle,537739
2023,Akwa Ibom,cattle,537232
2024,Akwa Ibom,cattle,573295
2020,Akwa Ibom,goats,2803348
2021,Akwa Ibom,goats,2740746
2022,Akwa Ibom,goats,2661350
2023,Akwa Ibom,goats,2773986
2024,Akwa Ibom,goats,2691318
2020,Akwa Ibom,sheep,1952613
2021,Akwa Ibom,sheep,1915312
2022,Akwa Ibom,sheep,1935657
2023,Akwa Ibom,sheep,1906080
2024,Akwa Ibom,sheep,1920131
2020,Akwa Ibom,poultry,8296730
2021,Akwa Ibom,poultry,8195878
2022,Akwa Ibom,poultry,8512178
2023,Akwa Ibom,poultry,9074033
2024,Akwa Ibom,poultry,8951979
2020,Akwa Ibom,pigs,230363
2021,Akwa Ibom,pigs,224456
2022,Akwa Ibom,pigs,239101
2023,Akwa Ibom,pigs,243774
2024,Akwa Ibom,pigs,242068
2020,Anambra,cattle,225682
2021,Anambra,cattle,232944
2022,Anambra,cattle,232469
2023,Anambra,cattle,243359
2024,Anambra,cattle,255216
2020,Anambra,goats,1190659
2021,Anambra,goats,1246561
2022,Anambra,goats,1255248
2023,Anambra,goats,1274784
2024,Anambra,goats,1270240
2020,Anambra,sheep,750847
2021,Anambra,sheep,736221
2022,Anambra,sheep,729997
2023,Anambra,sheep,744428
