respondent_id,Country,Country_label,Age,Gender,Gender_label,Education,Education_label,Income_Level,Income_Level_label,Bank_Type,Bank_Type_label,Years_with_Account,Frequency_of_Use,Frequency_of_Use_label,Past_Victim,Past_Victim_label
1,1,Nigeria,26,1,Male,2,Primary,4,"₦250,001–₦500,000",1,Traditional Commercial,7,2,Several times a week,0,No
2,1,Nigeria,35,1,Male,3,Secondary,1,"<₦50,000",1,Traditional Commercial,4,3,Weekly,1,Yes
3,1,Nigeria,38,2,Female,2,Primary,1,"<₦50,000",2,Digital-Only Bank,2,4,Monthly,0,No
4,1,Nigeria,55,2,Female,3,Secondary,4,"₦250,001–₦500,000",1,Traditional Commercial,19,2,Several times a week,0,No
5,1,Nigeria,37,2,Female,4,Vocational/Technical,4,"₦250,001–₦500,000",1,Traditional Commercial,13,4,Monthly,0,No
6,2,Ghana,35,1,Male,5,Undergraduate,2,"₵500–₵1,000",2,Digital-Only Bank,19,3,Weekly,0,No
7,1,Nigeria,36,1,Male,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,5,1,Daily,0,No
8,1,Nigeria,35,1,Male,4,Vocational/Technical,4,"₦250,001–₦500,000",3,Microfinance,12,5,Less than monthly,0,No
9,2,Ghana,31,1,Male,3,Secondary,5,">₵5,000",1,Traditional Commercial,12,1,Daily,1,Yes
10,1,Nigeria,32,1,Male,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,3,1,Daily,0,No
11,1,Nigeria,38,1,Male,4,Vocational/Technical,1,"<₦50,000",2,Digital-Only Bank,9,5,Less than monthly,0,No
12,1,Nigeria,50,1,Male,3,Secondary,3,"₦100,001–₦250,000",3,Microfinance,28,2,Several times a week,0,No
13,2,Ghana,35,1,Male,2,Primary,4,"₵2,501–₵5,000",1,Traditional Commercial,10,2,Several times a week,0,No
14,2,Ghana,60,2,Female,4,Vocational/Technical,2,"₵500–₵1,000",3,Microfinance,18,3,Weekly,0,No
15,1,Nigeria,25,1,Male,5,Undergraduate,3,"₦100,001–₦250,000",3,Microfinance,8,5,Less than monthly,0,No
16,1,Nigeria,52,1,Male,5,Undergraduate,5,">₦500,000",1,Traditional Commercial,6,2,Several times a week,0,No
17,1,Nigeria,59,1,Male,3,Secondary,3,"₦100,001–₦250,000",1,Traditional Commercial,12,2,Several times a week,0,No
18,1,Nigeria,31,1,Male,6,Postgraduate,5,">₦500,000",1,Traditional Commercial,9,1,Daily,0,No
19,1,Nigeria,41,2,Female,5,Undergraduate,3,"₦100,001–₦250,000",2,Digital-Only Bank,11,3,Weekly,0,No
20,1,Nigeria,55,2,Female,4,Vocational/Technical,3,"₦100,001–₦250,000",1,Traditional Commercial,16,1,Daily,0,No
21,2,Ghana,52,2,Female,4,Vocational/Technical,4,"₵2,501–₵5,000",1,Traditional Commercial,4,4,Monthly,0,No
22,2,Ghana,36,1,Male,5,Undergraduate,3,"₵1,001–₵2,500",2,Digital-Only Bank,16,1,Daily,0,No
23,1,Nigeria,37,2,Female,5,Undergraduate,2,"₦50,000–₦100,000",1,Traditional Commercial,8,4,Monthly,1,Yes
24,1,Nigeria,54,1,Male,6,Postgraduate,1,"<₦50,000",1,Traditional Commercial,6,2,Several times a week,0,No
25,1,Nigeria,46,1,Male,4,Vocational/Technical,3,"₦100,001–₦250,000",1,Traditional Commercial,18,2,Several times a week,0,No
26,1,Nigeria,64,1,Male,1,No formal,3,"₦100,001–₦250,000",2,Digital-Only Bank,18,1,Daily,0,No
27,1,Nigeria,57,2,Female,3,Secondary,4,"₦250,001–₦500,000",1,Traditional Commercial,33,4,Monthly,0,No
