Country,Age,Gender,Education,Income_Level,Bank_Type,Years_with_Account,Frequency_of_Use,Past_Victim,Country_Label,Gender_Label,Education_Label,Bank_Type_Label,Frequency_of_Use_Label,Income_Band_Label
2,18.0,1,4,4,2,1,1,0,Ghana,Male,Vocational/Technical,Digital-Only Bank,Daily,GH₵4k–GH₵7k
1,29.1,1,3,6,3,6,2,0,Nigeria,Male,Secondary,Microfinance,Several times a week,₦800k–₦1.5m
2,18.0,2,3,3,1,3,4,0,Ghana,Female,Secondary,Traditional Commercial,Monthly,GH₵2k–GH₵4k
2,55.4,2,3,3,3,1,2,0,Ghana,Female,Secondary,Microfinance,Several times a week,GH₵2k–GH₵4k
1,35.1,1,5,6,1,6,3,0,Nigeria,Male,Undergraduate,Traditional Commercial,Weekly,₦800k–₦1.5m
2,36.3,2,3,4,1,1,3,0,Ghana,Female,Secondary,Traditional Commercial,Weekly,GH₵4k–GH₵7k
2,37.3,1,4,7,2,0,2,0,Ghana,Male,Vocational/Technical,Digital-Only Bank,Several times a week,> GH₵20k
2,41.0,1,6,7,3,21,1,0,Ghana,Male,Postgraduate,Microfinance,Daily,> GH₵20k
1,42.8,2,3,4,1,5,3,1,Nigeria,Female,Secondary,Traditional Commercial,Weekly,₦200k–₦400k
1,18.0,1,3,5,2,1,2,0,Nigeria,Male,Secondary,Digital-Only Bank,Several times a week,₦400k–₦800k
1,46.1,1,4,6,3,5,4,0,Nigeria,Male,Vocational/Technical,Microfinance,Monthly,₦800k–₦1.5m
2,47.5,2,3,4,1,12,3,0,Ghana,Female,Secondary,Traditional Commercial,Weekly,GH₵4k–GH₵7k
2,34.3,1,5,4,3,5,3,0,Ghana,Male,Undergraduate,Microfinance,Weekly,GH₵4k–GH₵7k
2,33.8,1,5,6,2,5,3,0,Ghana,Male,Undergraduate,Digital-Only Bank,Weekly,GH₵12k–GH₵20k
1,18.0,1,3,4,2,1,3,0,Nigeria,Male,Secondary,Digital-Only Bank,Weekly,₦200k–₦400k
1,20.6,2,4,3,2,1,2,0,Nigeria,Female,Vocational/Technical,Digital-Only Bank,Several times a week,₦100k–₦200k
1,38.2,3,4,3,1,3,5,0,Nigeria,Other/Prefer not to say,Vocational/Technical,Traditional Commercial,Less than monthly,₦100k–₦200k
1,45.0,2,6,4,1,5,3,0,Nigeria,Female,Postgraduate,Traditional Commercial,Weekly,₦200k–₦400k
2,42.3,2,3,4,1,10,2,1,Ghana,Female,Secondary,Traditional Commercial,Several times a week,GH₵4k–GH₵7k
2,34.2,2,4,4,1,11,3,0,Ghana,Female,Vocational/Technical,Traditional Commercial,Weekly,GH₵4k–GH₵7k
2,54.3,2,6,5,1,11,2,0,Ghana,Female,Postgraduate,Traditional Commercial,Several times a week,GH₵7k–GH₵12k
1,43.1,2,3,7,1,2,3,0,Nigeria,Female,Secondary,Traditional Commercial,Weekly,> ₦1.5m
2,31.1,1,5,4,2,0,1,0,Ghana,Male,Undergraduate,Digital-Only Bank,Daily,GH₵4k–GH₵7k
2,56.8,1,5,6,1,8,1,0,Ghana,Male,Undergraduate,Traditional Commercial,Daily,GH₵12k–GH₵20k
2,24.0,1,3,5,2,7,3,0,Ghana,Male,Secondary,Digital-Only Bank,Weekly,GH₵7k–GH₵12k
1,18.3,3,6,6,1,3,1,0,Nigeria,Other/Prefer not to say,Postgraduate,Traditional Commercial,Daily,₦800k–₦1.5m
1,28.8,2,5,4,3,11,3,0,Nigeria,Female,Undergraduate,Microfinance,Weekly,₦200k–₦400k
1,25.4,2,4,4,1,2,3,0,Nigeria,Female,Vocational/Technical,Traditional Commercial,Weekly,₦200k–₦400k
1,29.4,1,4,3,3,3,4,0,Nigeria,Male,Vocational/Technical,Microfinance,Monthly,₦100k–₦200k
