respondent_id,role,state,awareness_sofc,acceptance_sofc,perceived_cost_barrier,perceived_reliability_benefit,environmental_concern,policy_support_expectation,willingness_to_pilot,year,source
R0001,DisCo Official,Bayelsa,2,3,5,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0002,Industrial Manager,Gombe,3,3,4,4,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0003,Community Leader,Osun,3,1,4,4,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0004,Industrial Manager,Adamawa,1,4,3,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0005,Academic/Researcher,Gombe,4,4,4,2,5,5,3,2024,Synthetic survey; use for scenario analysis only
R0006,Policymaker,Kwara,2,4,4,4,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0007,DisCo Official,Osun,3,2,3,1,3,5,2,2024,Synthetic survey; use for scenario analysis only
R0008,Policymaker,Jigawa,3,3,4,4,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0009,Academic/Researcher,Lagos,2,4,3,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0010,DisCo Official,Yobe,4,5,4,5,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0011,Investor,Oyo,2,2,4,3,3,5,3,2024,Synthetic survey; use for scenario analysis only
R0012,Policymaker,Yobe,4,2,3,3,2,3,2,2024,Synthetic survey; use for scenario analysis only
R0013,DisCo Official,FCT,3,3,4,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0014,Investor,Sokoto,4,1,2,4,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0015,Investor,Taraba,3,3,4,4,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0016,Industrial Manager,Zamfara,3,3,5,2,5,3,5,2024,Synthetic survey; use for scenario analysis only
R0017,Industrial Manager,Bauchi,3,3,3,3,4,4,2,2024,Synthetic survey; use for scenario analysis only
R0018,Industrial Manager,Yobe,5,3,2,4,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0019,Policymaker,Kano,5,1,3,5,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0020,Community Leader,Imo,3,3,3,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0021,Academic/Researcher,Oyo,3,3,3,2,2,4,4,2024,Synthetic survey; use for scenario analysis only
R0022,Investor,Ekiti,2,2,4,2,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0023,Community Leader,Kano,2,2,4,3,2,3,2,2024,Synthetic survey; use for scenario analysis only
R0024,Academic/Researcher,Plateau,3,2,4,5,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0025,Community Leader,Zamfara,3,3,4,2,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0026,Policymaker,Jigawa,4,3,5,3,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0027,DisCo Official,Katsina,2,1,3,5,3,5,3,2024,Synthetic survey; use for scenario analysis only
R0028,Policymaker,Bayelsa,2,2,4,4,3,1,2,2024,Synthetic survey; use for scenario analysis only
R0029,Investor,Taraba,3,3,2,3,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0030,Community Leader,Kaduna,3,2,4,5,5,3,3,2024,Synthetic survey; use for scenario analysis only
R0031,Community Leader,Kano,2,2,5,5,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0032,Policymaker,Kaduna,4,2,4,5,1,3,4,2024,Synthetic survey; use for scenario analysis only
R0033,Policymaker,Ekiti,4,2,5,2,3,5,1,2024,Synthetic survey; use for scenario analysis only
R0034,Academic/Researcher,Jigawa,4,3,3,3,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0035,Community Leader,Ondo,2,3,3,3,2,4,4,2024,Synthetic survey; use for scenario analysis only
R0036,Academic/Researcher,Lagos,4,3,5,5,4,3,1,2024,Synthetic survey; use for scenario analysis only
R0037,Policymaker,Delta,3,3,2,3,4,2,2,2024,Synthetic survey; use for scenario analysis only
R0038,Policymaker,Abia,3,3,3,3,3,1,3,2024,Synthetic survey; use for scenario analysis only
R0039,DisCo Official,Nasarawa,2,1,5,2,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0040,Academic/Researcher,Akwa Ibom,2,2,3,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0041,Industrial Manager,Benue,2,4,4,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0042,Academic/Researcher,Niger,3,1,3,4,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0043,Community Leader,Plateau,3,3,3,4,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0044,Investor,Taraba,1,4,4,3,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0045,DisCo Official,Osun,3,2,3,4,3,4,1,2024,Synthetic survey; use for scenario analysis only
R0046,DisCo Official,Adamawa,2,4,3,3,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0047,Industrial Manager,Plateau,4,2,4,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0048,Investor,Cross River,4,2,2,3,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0049,Investor,Cross River,4,4,4,3,4,4,4,2024,Synthetic survey; use for scenario analysis only
R0050,DisCo Official,Ebonyi,3,3,5,2,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0051,Industrial Manager,Osun,3,3,5,3,3,1,5,2024,Synthetic survey; use for scenario analysis only
R0052,DisCo Official,Bayelsa,3,3,3,2,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0053,Academic/Researcher,Lagos,4,1,4,4,5,4,1,2024,Synthetic survey; use for scenario analysis only
R0054,Community Leader,Bauchi,2,2,3,3,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0055,Industrial Manager,Kano,3,3,4,5,2,4,4,2024,Synthetic survey; use for scenario analysis only
R0056,Academic/Researcher,Niger,3,2,3,4,2,4,2,2024,Synthetic survey; use for scenario analysis only
R0057,DisCo Official,Akwa Ibom,3,2,3,4,1,5,2,2024,Synthetic survey; use for scenario analysis only
R0058,Investor,Kogi,4,4,4,5,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0059,Community Leader,Adamawa,4,3,5,3,4,5,2,2024,Synthetic survey; use for scenario analysis only
R0060,Community Leader,Kebbi,3,3,2,3,3,5,3,2024,Synthetic survey; use for scenario analysis only
R0061,Academic/Researcher,Imo,3,2,4,3,2,5,3,2024,Synthetic survey; use for scenario analysis only
R0062,DisCo Official,Anambra,3,3,4,4,3,2,3,2024,Synthetic survey; use for scenario analysis only
R0063,Academic/Researcher,Benue,2,3,3,2,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0064,Industrial Manager,Anambra,4,5,4,3,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0065,Industrial Manager,Katsina,3,3,3,5,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0066,Policymaker,Rivers,3,2,3,3,1,2,1,2024,Synthetic survey; use for scenario analysis only
R0067,Investor,Enugu,1,4,2,4,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0068,DisCo Official,Kwara,4,4,3,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0069,Investor,Kwara,3,2,3,3,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0070,Policymaker,Anambra,4,4,3,3,4,4,4,2024,Synthetic survey; use for scenario analysis only
R0071,Community Leader,Benue,2,4,4,4,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0072,Academic/Researcher,Yobe,2,5,4,4,2,4,4,2024,Synthetic survey; use for scenario analysis only
R0073,DisCo Official,Kebbi,3,3,4,4,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0074,Academic/Researcher,Enugu,3,2,4,4,4,2,5,2024,Synthetic survey; use for scenario analysis only
R0075,Academic/Researcher,Bayelsa,3,2,4,3,4,4,2,2024,Synthetic survey; use for scenario analysis only
R0076,Policymaker,Jigawa,4,3,5,3,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0077,Academic/Researcher,Kano,4,3,4,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0078,DisCo Official,Borno,4,4,4,4,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0079,Investor,Kogi,5,4,4,3,5,2,2,2024,Synthetic survey; use for scenario analysis only
R0080,Investor,Niger,2,3,4,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0081,Investor,Kwara,4,4,4,5,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0082,DisCo Official,Ebonyi,4,4,4,3,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0083,Investor,Delta,3,4,4,5,3,2,4,2024,Synthetic survey; use for scenario analysis only
R0084,Policymaker,Osun,4,3,2,1,4,2,2,2024,Synthetic survey; use for scenario analysis only
R0085,Academic/Researcher,Katsina,4,2,4,4,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0086,Academic/Researcher,Bauchi,3,2,5,5,4,5,4,2024,Synthetic survey; use for scenario analysis only
R0087,Industrial Manager,Rivers,2,4,5,3,5,4,2,2024,Synthetic survey; use for scenario analysis only
R0088,Academic/Researcher,Oyo,3,1,4,2,4,5,1,2024,Synthetic survey; use for scenario analysis only
R0089,Industrial Manager,Rivers,3,3,3,1,2,3,2,2024,Synthetic survey; use for scenario analysis only
R0090,Policymaker,Niger,5,3,2,5,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0091,Academic/Researcher,Lagos,3,4,3,2,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0092,DisCo Official,Kano,3,4,3,2,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0093,Policymaker,Kebbi,4,2,4,2,3,2,2,2024,Synthetic survey; use for scenario analysis only
R0094,DisCo Official,Adamawa,2,2,4,4,5,3,3,2024,Synthetic survey; use for scenario analysis only
R0095,Community Leader,Delta,5,4,5,4,4,2,4,2024,Synthetic survey; use for scenario analysis only
R0096,Academic/Researcher,Cross River,3,2,3,4,4,2,2,2024,Synthetic survey; use for scenario analysis only
R0097,Investor,Ondo,4,3,3,1,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0098,Community Leader,Kano,2,4,3,4,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0099,Policymaker,Osun,3,1,3,3,3,4,1,2024,Synthetic survey; use for scenario analysis only
R0100,Industrial Manager,Oyo,2,4,3,5,4,4,2,2024,Synthetic survey; use for scenario analysis only
R0101,Community Leader,Jigawa,2,3,4,3,5,2,5,2024,Synthetic survey; use for scenario analysis only
R0102,Policymaker,Anambra,2,2,4,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0103,Industrial Manager,Kebbi,3,3,3,5,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0104,Industrial Manager,Bayelsa,2,4,4,5,5,3,2,2024,Synthetic survey; use for scenario analysis only
R0105,DisCo Official,Gombe,3,3,2,4,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0106,Industrial Manager,Rivers,2,2,3,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0107,Community Leader,Bayelsa,2,3,5,3,3,2,5,2024,Synthetic survey; use for scenario analysis only
R0108,Industrial Manager,Lagos,3,4,4,5,3,2,4,2024,Synthetic survey; use for scenario analysis only
R0109,Investor,Benue,3,2,3,4,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0110,Policymaker,Oyo,4,2,2,5,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0111,Industrial Manager,Ekiti,4,3,3,4,4,2,4,2024,Synthetic survey; use for scenario analysis only
R0112,DisCo Official,Kogi,3,3,3,3,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0113,Policymaker,Ondo,4,2,5,3,1,3,1,2024,Synthetic survey; use for scenario analysis only
R0114,Investor,Ogun,3,4,4,4,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0115,Investor,Kaduna,3,4,2,4,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0116,Policymaker,Jigawa,2,2,2,5,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0117,Investor,Ebonyi,3,3,2,2,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0118,Policymaker,Zamfara,2,3,4,3,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0119,Community Leader,Sokoto,2,3,3,5,4,3,1,2024,Synthetic survey; use for scenario analysis only
R0120,Industrial Manager,Imo,3,3,2,4,4,2,1,2024,Synthetic survey; use for scenario analysis only
R0121,Community Leader,Borno,3,3,4,5,5,3,5,2024,Synthetic survey; use for scenario analysis only
R0122,Investor,Kogi,2,3,2,3,4,4,4,2024,Synthetic survey; use for scenario analysis only
R0123,Investor,Edo,3,2,4,4,4,5,4,2024,Synthetic survey; use for scenario analysis only
R0124,DisCo Official,Osun,3,3,3,3,3,2,5,2024,Synthetic survey; use for scenario analysis only
R0125,Investor,Oyo,1,3,4,3,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0126,DisCo Official,Cross River,3,4,3,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0127,Industrial Manager,Borno,2,3,5,5,3,5,2,2024,Synthetic survey; use for scenario analysis only
R0128,Industrial Manager,Imo,3,4,5,3,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0129,Investor,Ebonyi,2,3,4,5,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0130,Industrial Manager,Bayelsa,3,4,4,2,2,3,2,2024,Synthetic survey; use for scenario analysis only
R0131,Investor,Adamawa,2,3,3,5,1,3,3,2024,Synthetic survey; use for scenario analysis only
R0132,Industrial Manager,Anambra,2,4,4,3,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0133,DisCo Official,Kogi,3,3,3,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0134,Industrial Manager,Anambra,4,3,4,3,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0135,DisCo Official,Zamfara,3,2,5,5,1,4,3,2024,Synthetic survey; use for scenario analysis only
R0136,Policymaker,Rivers,3,2,4,3,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0137,Investor,Oyo,3,3,4,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0138,Industrial Manager,Zamfara,3,2,3,3,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0139,Academic/Researcher,Borno,3,3,2,5,2,3,4,2024,Synthetic survey; use for scenario analysis only
R0140,Policymaker,Rivers,4,3,4,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0141,Academic/Researcher,Cross River,2,4,5,5,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0142,Academic/Researcher,Plateau,4,3,3,4,2,2,1,2024,Synthetic survey; use for scenario analysis only
R0143,Academic/Researcher,Kano,3,1,4,3,1,4,3,2024,Synthetic survey; use for scenario analysis only
R0144,Academic/Researcher,FCT,1,3,2,4,4,2,2,2024,Synthetic survey; use for scenario analysis only
R0145,Community Leader,Gombe,5,3,4,4,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0146,Academic/Researcher,Oyo,2,4,3,4,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0147,Investor,Oyo,2,3,5,5,3,4,3,2024,Synthetic survey; use for scenario analysis only
R0148,Investor,Imo,2,3,3,3,4,4,5,2024,Synthetic survey; use for scenario analysis only
R0149,DisCo Official,Kaduna,3,1,3,3,1,3,3,2024,Synthetic survey; use for scenario analysis only
R0150,Academic/Researcher,Taraba,2,1,5,4,1,4,2,2024,Synthetic survey; use for scenario analysis only
R0151,DisCo Official,Bayelsa,2,4,4,4,3,4,4,2024,Synthetic survey; use for scenario analysis only
R0152,Community Leader,Benue,2,2,3,3,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0153,Industrial Manager,Benue,2,4,5,4,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0154,Policymaker,Oyo,3,2,2,3,4,5,3,2024,Synthetic survey; use for scenario analysis only
R0155,Investor,Zamfara,3,5,4,3,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0156,Industrial Manager,Nasarawa,1,3,3,3,1,3,3,2024,Synthetic survey; use for scenario analysis only
R0157,DisCo Official,Zamfara,1,2,3,4,2,2,3,2024,Synthetic survey; use for scenario analysis only
R0158,Academic/Researcher,Osun,3,3,5,3,4,2,2,2024,Synthetic survey; use for scenario analysis only
R0159,Industrial Manager,Kebbi,3,2,4,3,4,2,4,2024,Synthetic survey; use for scenario analysis only
R0160,Industrial Manager,Nasarawa,2,3,3,4,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0161,Community Leader,Ondo,3,1,3,5,4,3,3,2024,Synthetic survey; use for scenario analysis only
R0162,Industrial Manager,Osun,3,3,4,1,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0163,Industrial Manager,Kaduna,3,4,5,3,1,4,2,2024,Synthetic survey; use for scenario analysis only
R0164,Policymaker,Taraba,4,3,2,4,2,2,2,2024,Synthetic survey; use for scenario analysis only
R0165,Academic/Researcher,Ondo,2,3,4,3,4,2,3,2024,Synthetic survey; use for scenario analysis only
R0166,Community Leader,Katsina,4,3,3,3,2,1,3,2024,Synthetic survey; use for scenario analysis only
R0167,Policymaker,Anambra,2,3,3,3,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0168,Industrial Manager,Enugu,2,3,3,3,3,5,3,2024,Synthetic survey; use for scenario analysis only
R0169,Industrial Manager,Oyo,4,3,4,2,4,3,1,2024,Synthetic survey; use for scenario analysis only
R0170,Policymaker,Ondo,4,4,2,2,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0171,Investor,Kogi,5,5,3,4,5,3,3,2024,Synthetic survey; use for scenario analysis only
R0172,Policymaker,Taraba,1,2,4,4,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0173,Investor,Borno,4,3,2,2,4,3,4,2024,Synthetic survey; use for scenario analysis only
R0174,Policymaker,Anambra,3,3,4,2,4,3,1,2024,Synthetic survey; use for scenario analysis only
R0175,Community Leader,Rivers,4,3,5,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0176,Community Leader,Sokoto,2,3,4,5,4,5,2,2024,Synthetic survey; use for scenario analysis only
R0177,Investor,Ogun,3,3,3,4,2,4,3,2024,Synthetic survey; use for scenario analysis only
R0178,DisCo Official,Lagos,2,3,5,3,4,4,3,2024,Synthetic survey; use for scenario analysis only
R0179,Policymaker,Anambra,1,2,3,3,3,4,1,2024,Synthetic survey; use for scenario analysis only
R0180,DisCo Official,Bayelsa,1,1,3,4,3,3,3,2024,Synthetic survey; use for scenario analysis only
R0181,Industrial Manager,Ekiti,3,2,3,3,4,5,2,2024,Synthetic survey; use for scenario analysis only
R0182,Community Leader,Ekiti,5,3,3,4,3,3,4,2024,Synthetic survey; use for scenario analysis only
R0183,Community Leader,Nasarawa,4,2,4,3,2,3,3,2024,Synthetic survey; use for scenario analysis only
R0184,Policymaker,Osun,4,5,5,2,3,4,2,2024,Synthetic survey; use for scenario analysis only
R0185,Policymaker,Akwa Ibom,2,3,4,4,4,3,2,2024,Synthetic survey; use for scenario analysis only
R0186,DisCo Official,FCT,3,2,5,2,3,3,2,2024,Synthetic survey; use for scenario analysis only
R0187,Policymaker,Plateau,2,3,3,4,3,3,5,2024,Synthetic survey; use for scenario analysis only
R0188,Industrial Manager,Sokoto,1,5,4,5,3,3,2,2024,Synthetic survey; use for scenario analysis only
