state,year,population_estimate,population_density_per_km2,urban_population_share,industrial_cluster_count,sme_total_estimate,avg_awareness,avg_acceptance,avg_regulatory_barrier,sofc_adoption_potential_score,recommended_strategy,source,is_fabricated
Abia,2025,4376784,692.53,0.62,2,71214,3.29,2.8,2.93,34.1,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Adamawa,2025,4376784,118.56,0.571,0,57244,3.06,2.87,3.13,14.2,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Akwa Ibom,2025,6565176,927.15,0.527,1,100257,2.95,2.76,3.03,26.3,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Anambra,2025,6565176,1349.47,0.63,2,108877,3.09,3.06,2.87,38.0,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Bauchi,2025,7221693,147.02,0.56,1,95729,3.0,2.61,2.94,23.5,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Bayelsa,2025,2188392,203.14,0.593,0,31898,3.32,2.81,3.02,14.3,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Benue,2025,6565176,192.76,0.477,0,96869,2.81,2.68,3.11,14.7,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Borno,2025,7002854,98.77,0.451,1,96547,2.8,2.64,2.9,22.9,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Cross River,2025,3720266,184.57,0.531,0,51410,2.94,2.71,3.02,13.5,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Delta,2025,7002854,395.69,0.6,1,107481,3.04,2.67,2.89,25.2,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Ebonyi,2025,2844909,447.81,0.599,0,46048,3.09,2.78,2.99,14.9,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Edo,2025,4376784,245.86,0.62,0,64961,3.15,2.73,2.8,15.4,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Ekiti,2025,0,0.0,0.437,0,0,2.74,2.67,3.04,10.1,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Enugu,2025,3939105,550.08,0.464,0,56399,2.94,2.28,2.89,13.9,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Gombe,2025,3063748,163.24,0.461,0,40671,3.03,2.18,2.95,11.8,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Imo,2025,5470980,989.33,0.61,0,84227,3.21,2.7,3.21,17.8,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Jigawa,2025,5252140,226.84,0.423,0,68209,2.86,2.46,2.88,13.6,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Kaduna,2025,10941960,237.59,0.56,1,158535,2.93,2.78,2.79,26.8,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Kano,2025,20789724,1032.72,0.56,1,333892,3.28,2.41,3.04,35.7,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Katsina,2025,8315889,343.75,0.47,1,113908,2.9,2.5,2.98,24.1,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Kebbi,2025,3720266,101.09,0.613,0,53745,3.26,2.74,2.83,14.8,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Kogi,2025,4376784,146.71,0.615,0,62383,3.31,2.73,2.92,15.2,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Kwara,2025,3720266,101.03,0.424,0,46570,2.67,2.35,2.91,11.4,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Lagos,2025,27354900,7647.44,0.88,3,513586,3.5,3.58,3.15,84.9,Accelerate SOFC pilots with captive gas; pursue industrial parks first,Aggregated (fabricated synthesis),True
Nasarawa,2025,3501427,129.12,0.503,0,50044,2.95,2.73,2.92,13.6,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Niger,2025,5470980,71.64,0.396,0,74963,2.93,2.44,2.88,13.5,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Ogun,2025,6127497,365.56,0.58,2,90444,3.33,2.83,2.81,34.2,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Ondo,2025,4814462,310.61,0.425,0,60318,2.88,2.58,3.2,13.3,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Osun,2025,4376784,473.11,0.566,0,62082,3.25,2.79,3.04,16.0,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Oyo,2025,10941960,384.55,0.62,1,151732,3.58,2.73,3.22,28.0,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Plateau,2025,3939105,127.43,0.486,0,53845,3.12,2.44,2.92,13.4,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Rivers,2025,9847764,889.03,0.62,1,148975,3.45,2.97,2.98,30.3,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Sokoto,2025,4376784,168.51,0.611,0,61798,3.16,2.76,2.98,14.7,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Taraba,2025,3720266,68.3,0.41,0,46720,2.94,2.51,3.06,12.3,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Yobe,2025,3501427,76.95,0.627,0,50726,3.04,2.77,2.81,14.0,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
Zamfara,2025,3720266,93.56,0.356,0,44001,2.81,2.44,3.0,11.8,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
FCT,2025,5908658,807.75,0.8,0,97560,3.68,3.59,2.91,22.4,Focus on demos with anchor clients; build policy and awareness,Aggregated (fabricated synthesis),True
