State,LGA,Population_2023,Land_Area_km2,Population_Density_per_km2,Urban_Population,Rural_Population,Urban_Percentage,Economic_Activity_Level,Grid_Connection_Rate_Percent
Lagos,Alimosho,2500000,136,18382,2450000,50000,98.0,Very High,85
Lagos,Ajeromi-Ifelodun,1650000,79,20886,1632000,18000,98.9,Very High,82
Lagos,Kosofe,950000,81,11728,912000,38000,96.0,High,78
Lagos,Mushin,850000,14,60714,847000,3000,99.6,Very High,88
Lagos,Oshodi-Isolo,1100000,45,24444,1089000,11000,99.0,Very High,86
Lagos,Ojo,780000,158,4937,702000,78000,90.0,High,75
Lagos,Ikorodu,650000,345,1884,455000,195000,70.0,Medium,62
Lagos,Surulere,800000,23,34783,796000,4000,99.5,Very High,90
Lagos,Agege,750000,11,68182,742500,7500,99.0,Very High,85
Lagos,Ifako-Ijaiye,680000,26,26154,673200,6800,99.0,High,83
Lagos,Ikeja,520000,49,10612,509600,10400,98.0,Very High,92
Lagos,Somolu,650000,12,54167,643500,6500,99.0,Very High,87
Lagos,Amuwo-Odofin,450000,179,2514,427500,22500,95.0,High,80
Lagos,Lagos Island,420000,9,46667,418000,2000,99.5,Very High,95
Lagos,Badagry,380000,442,860,190000,190000,50.0,Medium,55
Lagos,Apapa,350000,27,12963,346500,3500,99.0,Very High,93
Lagos,Lagos Mainland,340000,19,17895,337000,3000,99.1,Very High,91
Lagos,Epe,320000,1218,263,128000,192000,40.0,Low,45
Lagos,Eti-Osa,480000,192,2500,460800,19200,96.0,Very High,88
Lagos,Ibeju-Lekki,180000,646,279,72000,108000,40.0,Medium,42
Kano,Kano Municipal,1200000,17,70588,1188000,12000,99.0,Very High,75
Kano,Fagge,850000,11,77273,841500,8500,99.0,Very High,73
Kano,Dala,680000,15,45333,673200,6800,99.0,High,70
Kano,Gwale,720000,18,40000,712800,7200,99.0,High,72
Kano,Tarauni,580000,24,24167,573200,6800,98.8,High,68
Kano,Nassarawa,550000,35,15714,533500,16500,97.0,High,65
Kano,Ungogo,520000,28,18571,499200,20800,96.0,High,62
Kano,Kumbotso,480000,158,3038,288000,192000,60.0,Medium,55
Kano,Dawakin Kudu,320000,324,988,96000,224000,30.0,Low,35
Kano,Gwarzo,280000,425,659,84000,196000,30.0,Low,32
Rivers,Port Harcourt,1800000,109,16514,1746000,54000,97.0,Very High,82
Rivers,Obio-Akpor,1650000,260,6346,1568000,82000,95.0,Very High,80
Rivers,Ikwerre,420000,655,641,168000,252000,40.0,Medium,52
Rivers,Eleme,380000,138,2754,228000,152000,60.0,High,65
Rivers,Okrika,320000,222,1441,192000,128000,60.0,Medium,58
Rivers,Oyigbo,280000,248,1129,168000,112000,60.0,Medium,55
Rivers,Bonny,240000,643,373,144000,96000,60.0,Medium,60
Rivers,Degema,210000,1011,208,63000,147000,30.0,Low,38
Rivers,Ogba-Egbema-Ndoni,280000,968,289,84000,196000,30.0,Low,42
Rivers,Abua-Odual,180000,704,256,54000,126000,30.0,Low,35
Kaduna,Kaduna North,680000,72,9444,673200,6800,99.0,Very High,78
Kaduna,Kaduna South,620000,82,7561,607600,12400,98.0,Very High,76
Kaduna,Chikun,540000,5028,107,216000,324000,40.0,Medium,48
Kaduna,Zaria,480000,563,853,336000,144000,70.0,High,62
Kaduna,Sabon Gari,450000,28,16071,445500,4500,99.0,Very High,72
Kaduna,Igabi,420000,2456,171,126000,294000,30.0,Low,40
Kaduna,Giwa,380000,2537,150,114000,266000,30.0,Low,35
Kaduna,Kajuru,320000,2464,130,96000,224000,30.0,Low,32
Ogun,Ado-Odo-Ota,680000,878,774,476000,204000,70.0,Very High,68
Ogun,Ifo,580000,524,1107,406000,174000,70.0,High,65
Ogun,Abeokuta South,380000,72,5278,342000,38000,90.0,High,72
Ogun,Abeokuta North,340000,83,4096,306000,34000,90.0,High,70
Ogun,Obafemi-Owode,320000,1410,227,128000,192000,40.0,Medium,52
Ogun,Ijebu Ode,280000,88,3182,224000,56000,80.0,High,65
Ogun,Sagamu,260000,64,4063,208000,52000,80.0,High,68
Ogun,Remo North,180000,199,905,72000,108000,40.0,Medium,48
Anambra,Onitsha North,420000,22,19091,415800,4200,99.0,Very High,75
Anambra,Onitsha South,280000,29,9655,274400,5600,98.0,Very High,73
Anambra,Nnewi North,320000,68,4706,256000,64000,80.0,Very High,70
Anambra,Awka North,180000,344,523,72000,108000,40.0,Medium,52
Anambra,Awka South,280000,216,1296,196000,84000,70.0,High,65
Anambra,Idemili North,260000,101,2574,182000,78000,70.0,High,62
Anambra,Idemili South,220000,90,2444,154000,66000,70.0,Medium,58
Anambra,Aguata,240000,374,642,96000,144000,40.0,Medium,48
FCT,Abuja Municipal,1850000,1769,1046,1794500,55500,97.0,Very High,88
FCT,Gwagwalada,580000,1043,556,290000,290000,50.0,Medium,62
FCT,Kuje,420000,1644,255,168000,252000,40.0,Medium,52
FCT,Bwari,680000,2492,273,272000,408000,40.0,Medium,55
FCT,Abaji,280000,877,319,84000,196000,30.0,Low,38
FCT,Kwali,290000,1206,240,87000,203000,30.0,Low,40
Enugu,Enugu North,380000,42,9048,376200,3800,99.0,Very High,78
Enugu,Enugu South,340000,32,10625,336600,3400,99.0,Very High,80
Enugu,Enugu East,280000,84,3333,268800,11200,96.0,High,75
Enugu,Nsukka,420000,1810,232,210000,210000,50.0,High,58
Enugu,Udi,280000,904,310,112000,168000,40.0,Medium,48
Enugu,Nkanu West,240000,676,355,96000,144000,40.0,Medium,45
Enugu,Oji River,180000,638,282,72000,108000,40.0,Medium,42
Akwa Ibom,Uyo,520000,423,1229,416000,104000,80.0,Very High,72
Akwa Ibom,Eket,380000,218,1743,266000,114000,70.0,High,65
Akwa Ibom,Ikot Ekpene,320000,234,1368,192000,128000,60.0,High,58
Akwa Ibom,Ikot Abasi,280000,426,657,112000,168000,40.0,Medium,48
Akwa Ibom,Oron,240000,304,789,96000,144000,40.0,Medium,45
Oyo,Ibadan North,580000,27,21481,574200,5800,99.0,Very High,75
Oyo,Ibadan North-East,520000,35,14857,514800,5200,99.0,Very High,73
Oyo,Ibadan North-West,480000,22,21818,475200,4800,99.0,Very High,72
Oyo,Ibadan South-East,420000,29,14483,415800,4200,99.0,High,70
Oyo,Ibadan South-West,380000,31,12258,376200,3800,99.0,High,68
Oyo,Ogbomosho North,280000,71,3944,224000,56000,80.0,High,62
Oyo,Ogbomosho South,240000,69,3478,192000,48000,80.0,High,60
Oyo,Akinyele,320000,464,690,128000,192000,40.0,Medium,48
Oyo,Lagelu,260000,395,658,104000,156000,40.0,Medium,45
Imo,Owerri Municipal,280000,58,4828,274400,5600,98.0,Very High,75
Imo,Owerri North,260000,198,1313,182000,78000,70.0,High,68
Imo,Owerri West,240000,295,814,144000,96000,60.0,High,62
Imo,Orlu,320000,394,812,192000,128000,60.0,High,58
Imo,Okigwe,280000,407,688,140000,140000,50.0,Medium,55
Plateau,Jos North,520000,291,1787,478400,41600,92.0,Very High,72
Plateau,Jos South,480000,510,941,336000,144000,70.0,High,65
Plateau,Jos East,380000,1020,373,152000,228000,40.0,Medium,52
Plateau,Barkin Ladi,320000,1032,310,128000,192000,40.0,Medium,48
Delta,Warri South,420000,301,1395,357000,63000,85.0,Very High,70
Delta,Uvwie,380000,96,3958,323000,57000,85.0,Very High,72
Delta,Ughelli North,340000,489,695,204000,136000,60.0,High,58
Delta,Sapele,280000,361,776,224000,56000,80.0,High,62
Delta,Okpe,240000,206,1165,168000,72000,70.0,High,60
Edo,Oredo,420000,249,1687,386400,33600,92.0,Very High,75
Edo,Ikpoba-Okha,380000,762,499,266000,114000,70.0,High,68
Edo,Egor,340000,93,3656,323000,17000,95.0,Very High,72
Edo,Ovia North-East,280000,1020,275,112000,168000,40.0,Medium,52
Edo,Uhunmwonde,180000,859,210,54000,126000,30.0,Low,38
