State,Population_2023,Land_Area_km2,Population_Density_per_km2,Urban_Population,Rural_Population,Urban_Percentage,Rural_Percentage,Annual_Growth_Rate_Percent,Capital_City,Major_Cities
Abia,3980000,6320,630,2388000,1592000,60.0,40.0,2.8,Umuahia,"Aba, Umuahia"
Adamawa,4875000,36917,132,1462500,3412500,30.0,70.0,3.1,Yola,"Yola, Mubi, Jimeta"
Akwa Ibom,5780000,7081,816,2890000,2890000,50.0,50.0,2.4,Uyo,"Uyo, Eket, Ikot Ekpene"
Anambra,5930000,4844,1224,3558000,2372000,60.0,40.0,2.5,Awka,"Onitsha, Nnewi, Awka"
Bauchi,7380000,49119,150,2214000,5166000,30.0,70.0,3.4,Bauchi,"Bauchi, Azare"
Bayelsa,2510000,10773,233,1004000,1506000,40.0,60.0,2.9,Yenagoa,"Yenagoa, Brass"
Benue,6350000,34059,186,1905000,4445000,30.0,70.0,2.7,Makurdi,"Makurdi, Gboko, Otukpo"
Borno,6950000,70898,98,2085000,4865000,30.0,70.0,2.1,Maiduguri,"Maiduguri, Biu"
Cross River,3800000,20156,189,1900000,1900000,50.0,50.0,2.3,Calabar,"Calabar, Ogoja, Ikom"
Delta,5960000,17698,337,2980000,2980000,50.0,50.0,2.6,Asaba,"Warri, Asaba, Sapele, Ughelli"
Ebonyi,3210000,5670,566,963000,2247000,30.0,70.0,2.8,Abakaliki,"Abakaliki, Afikpo"
Edo,4560000,17802,256,2736000,1824000,60.0,40.0,2.4,Benin City,"Benin City, Auchi"
Ekiti,3450000,6353,543,1380000,2070000,40.0,60.0,2.2,Ado-Ekiti,"Ado-Ekiti, Ikere, Ijero"
Enugu,4620000,7161,645,2772000,1848000,60.0,40.0,2.5,Enugu,"Enugu, Nsukka, Oji River"
FCT,4100000,7315,561,3690000,410000,90.0,10.0,4.8,Abuja,"Abuja, Gwagwalada, Kuje"
Gombe,3650000,18768,194,1095000,2555000,30.0,70.0,3.2,Gombe,"Gombe, Dukku"
Imo,5500000,5530,995,3300000,2200000,60.0,40.0,2.6,Owerri,"Owerri, Orlu, Okigwe"
Jigawa,6120000,23154,264,1836000,4284000,30.0,70.0,3.5,Dutse,"Dutse, Hadejia, Gumel"
Kaduna,9400000,46053,204,4700000,4700000,50.0,50.0,3.0,Kaduna,"Kaduna, Zaria, Kafanchan"
Kano,15800000,20131,785,9480000,6320000,60.0,40.0,3.3,Kano,"Kano, Wudil"
Katsina,9350000,24192,387,2805000,6545000,30.0,70.0,3.4,Katsina,"Katsina, Daura, Funtua"
Kebbi,4850000,36800,132,1455000,3395000,30.0,70.0,3.1,Birnin Kebbi,"Birnin Kebbi, Argungu"
Kogi,4750000,29833,159,2375000,2375000,50.0,50.0,2.7,Lokoja,"Lokoja, Okene, Kabba"
Kwara,3440000,36825,93,1720000,1720000,50.0,50.0,2.5,Ilorin,"Ilorin, Offa, Jebba"
Lagos,16500000,3577,4614,15675000,825000,95.0,5.0,3.8,Ikeja,"Lagos Island, Ikeja, Lekki, Ikorodu, Epe"
Nasarawa,2950000,27117,109,1180000,1770000,40.0,60.0,2.9,Lafia,"Lafia, Keffi, Akwanga"
Niger,6120000,76363,80,1836000,4284000,30.0,70.0,3.2,Minna,"Minna, Suleja, Kontagora, Bida"
Ogun,5750000,16762,343,3450000,2300000,60.0,40.0,2.8,Abeokuta,"Abeokuta, Ijebu-Ode, Sagamu, Ota"
Ondo,5020000,14606,344,2008000,3012000,40.0,60.0,2.4,Akure,"Akure, Ondo, Owo"
Osun,4780000,9251,517,1912000,2868000,40.0,60.0,2.3,Osogbo,"Osogbo, Ile-Ife, Ilesha, Ede"
Oyo,8200000,28454,288,4920000,3280000,60.0,40.0,2.6,Ibadan,"Ibadan, Ogbomosho, Oyo"
Plateau,4500000,30913,146,2250000,2250000,50.0,50.0,2.5,Jos,"Jos, Bukuru, Shendam"
Rivers,8150000,11077,736,5720000,2430000,70.2,29.8,3.1,Port Harcourt,"Port Harcourt, Obio-Akpor, Bonny, Okrika"
Sokoto,5650000,25973,218,1695000,3955000,30.0,70.0,3.3,Sokoto,"Sokoto, Tambuwal"
Taraba,3680000,54473,68,1104000,2576000,30.0,70.0,2.9,Jalingo,"Jalingo, Wukari"
Yobe,3680000,45502,81,1104000,2576000,30.0,70.0,3.0,Damaturu,"Damaturu, Potiskum, Gashua"
Zamfara,4850000,39762,122,1455000,3395000,30.0,70.0,3.4,Gusau,"Gusau, Kaura Namoda"
