state,year,population_estimate,area_km2,population_density_per_km2,urban_population_share,rural_population_share,urban_growth_rate_pct,rural_growth_rate_pct,source,is_fabricated
Abia,2025,4376784,6320,692.53,0.62,0.38,3.35,0.99,NBS/NPCom (fabricated synthesis),True
Adamawa,2025,4376784,36917,118.56,0.571,0.429,3.19,2.28,NBS/NPCom (fabricated synthesis),True
Akwa Ibom,2025,6565176,7081,927.15,0.527,0.473,1.58,0.69,NBS/NPCom (fabricated synthesis),True
Anambra,2025,6565176,4865,1349.47,0.63,0.37,1.57,0.9,NBS/NPCom (fabricated synthesis),True
Bauchi,2025,7221693,49119,147.02,0.56,0.44,2.55,1.4,NBS/NPCom (fabricated synthesis),True
Bayelsa,2025,2188392,10773,203.14,0.593,0.407,1.52,2.11,NBS/NPCom (fabricated synthesis),True
Benue,2025,6565176,34059,192.76,0.477,0.523,2.19,0.93,NBS/NPCom (fabricated synthesis),True
Borno,2025,7002854,70898,98.77,0.451,0.549,1.73,0.69,NBS/NPCom (fabricated synthesis),True
Cross River,2025,3720266,20156,184.57,0.531,0.469,3.52,1.96,NBS/NPCom (fabricated synthesis),True
Delta,2025,7002854,17698,395.69,0.6,0.4,3.81,0.66,NBS/NPCom (fabricated synthesis),True
Ebonyi,2025,2844909,6353,447.81,0.599,0.401,3.05,2.22,NBS/NPCom (fabricated synthesis),True
Edo,2025,4376784,17802,245.86,0.62,0.38,1.67,1.82,NBS/NPCom (fabricated synthesis),True
Ekiti,2025,0,6353,0.0,0.437,0.563,1.7,0.97,NBS/NPCom (fabricated synthesis),True
Enugu,2025,3939105,7161,550.08,0.464,0.536,2.63,2.17,NBS/NPCom (fabricated synthesis),True
Gombe,2025,3063748,18768,163.24,0.461,0.539,2.02,1.03,NBS/NPCom (fabricated synthesis),True
Imo,2025,5470980,5530,989.33,0.61,0.39,3.02,0.84,NBS/NPCom (fabricated synthesis),True
Jigawa,2025,5252140,23154,226.84,0.423,0.577,2.66,1.04,NBS/NPCom (fabricated synthesis),True
Kaduna,2025,10941960,46053,237.59,0.56,0.44,2.05,1.15,NBS/NPCom (fabricated synthesis),True
Kano,2025,20789724,20131,1032.72,0.56,0.44,2.07,0.56,NBS/NPCom (fabricated synthesis),True
Katsina,2025,8315889,24192,343.75,0.47,0.53,1.67,2.33,NBS/NPCom (fabricated synthesis),True
Kebbi,2025,3720266,36800,101.09,0.613,0.387,2.29,1.81,NBS/NPCom (fabricated synthesis),True
Kogi,2025,4376784,29833,146.71,0.615,0.385,3.11,0.79,NBS/NPCom (fabricated synthesis),True
Kwara,2025,3720266,36825,101.03,0.424,0.576,2.9,1.03,NBS/NPCom (fabricated synthesis),True
Lagos,2025,27354900,3577,7647.44,0.88,0.12,2.96,1.22,NBS/NPCom (fabricated synthesis),True
Nasarawa,2025,3501427,27117,129.12,0.503,0.497,1.73,0.59,NBS/NPCom (fabricated synthesis),True
Niger,2025,5470980,76363,71.64,0.396,0.604,1.9,1.86,NBS/NPCom (fabricated synthesis),True
Ogun,2025,6127497,16762,365.56,0.58,0.42,2.45,2.49,NBS/NPCom (fabricated synthesis),True
Ondo,2025,4814462,15500,310.61,0.425,0.575,2.88,2.38,NBS/NPCom (fabricated synthesis),True
Osun,2025,4376784,9251,473.11,0.566,0.434,3.2,1.57,NBS/NPCom (fabricated synthesis),True
Oyo,2025,10941960,28454,384.55,0.62,0.38,2.35,1.09,NBS/NPCom (fabricated synthesis),True
Plateau,2025,3939105,30913,127.43,0.486,0.514,3.88,2.25,NBS/NPCom (fabricated synthesis),True
Rivers,2025,9847764,11077,889.03,0.62,0.38,3.4,1.52,NBS/NPCom (fabricated synthesis),True
Sokoto,2025,4376784,25973,168.51,0.611,0.389,2.25,1.78,NBS/NPCom (fabricated synthesis),True
Taraba,2025,3720266,54473,68.3,0.41,0.59,2.43,0.82,NBS/NPCom (fabricated synthesis),True
Yobe,2025,3501427,45502,76.95,0.627,0.373,3.8,1.7,NBS/NPCom (fabricated synthesis),True
Zamfara,2025,3720266,39762,93.56,0.356,0.644,3.82,2.26,NBS/NPCom (fabricated synthesis),True
FCT,2025,5908658,7315,807.75,0.8,0.2,1.64,2.26,NBS/NPCom (fabricated synthesis),True
