state,sector,registered_smes_estimate,micro_enterprises_estimate,small_enterprises_estimate,medium_enterprises_estimate,year,source,is_fabricated
Abia,Manufacturing,16217,13946,1946,325,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Abia,Trade,19658,16905,2358,395,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Abia,Services,21079,18127,2529,423,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Abia,Agriculture,5985,5147,718,120,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Abia,ICT,6232,5359,747,126,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Abia,Energy,2043,1756,245,42,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Adamawa,Manufacturing,8891,7646,1066,179,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Adamawa,Trade,13666,11752,1639,275,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Adamawa,Services,13508,11616,1620,272,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Adamawa,Agriculture,16570,14250,1988,332,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Adamawa,ICT,3298,2836,395,67,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Adamawa,Energy,1311,1127,157,27,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Akwa Ibom,Manufacturing,17131,14732,2055,344,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Akwa Ibom,Trade,24805,21332,2976,497,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Akwa Ibom,Services,26473,22766,3176,531,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Akwa Ibom,Agriculture,24913,21425,2989,499,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Akwa Ibom,ICT,4760,4093,571,96,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
Akwa Ibom,Energy,2175,1870,261,44,2025,CAC/NASSI/State Bureaus (fabricated synthesis),True
