respondent_id,stakeholder_type,state,lga,industry_type,awareness_score_1_5,acceptance_score_1_5,perceived_benefits,perceived_risks,capex_concern_1_5,opex_concern_1_5,reliability_concern_1_5,regulatory_barrier_score_1_5,familiar_with_gas_price_volatility,prefer_grid_integration,prefer_isolated_minigrid,purchase_intent_0_1,comment,source,is_fabricated
R00001,Community Leader,Zamfara,Zamfara LGA 2,FMCG,4,2,Scalable,Technical Complexity,3,2,4,3,False,True,False,0,,Primary (synthetic),True
R00002,Investor,Enugu,Enugu LGA 8,Automotive,4,3,Lower Emissions,Capex,3,4,1,3,True,True,False,1,,Primary (synthetic),True
R00003,Policymaker,Taraba,Taraba LGA 11,Oil & Gas Services,5,4,Reliability,Maintenance,3,3,4,4,False,False,True,0,,Primary (synthetic),True
R00004,Industrial Manager,Kebbi,Kebbi LGA 6,FMCG,3,3,Lower OPEX,Gas Price Volatility,4,4,3,5,True,False,True,0,,Primary (synthetic),True
R00005,Investor,Rivers,Rivers LGA 17,Retail,4,3,Reliability,Gas Price Volatility,3,4,3,3,True,False,False,1,,Primary (synthetic),True
R00006,Engineer,Imo,Imo LGA 25,Textile,3,4,Lower Emissions,Regulatory Risk,4,3,4,5,False,False,True,0,,Primary (synthetic),True
R00007,Policymaker,Ondo,Ondo LGA 18,FMCG,4,2,Long Life,Maintenance,4,2,3,3,True,False,True,0,,Primary (synthetic),True
R00008,Engineer,Kwara,Kwara LGA 7,Oil & Gas Services,4,3,Reliability,Regulatory Risk,3,3,3,3,False,False,True,1,,Primary (synthetic),True
R00009,Academic,Sokoto,Sokoto LGA 11,Hospitality,2,1,Reliability,Capex,3,2,3,2,False,True,False,0,,Primary (synthetic),True
R00010,Engineer,Cross River,Cross River LGA 1,Automotive,3,3,Long Life,Regulatory Risk,4,4,3,2,True,False,False,0,,Primary (synthetic),True
R00011,Investor,Yobe,Yobe LGA 1,Automotive,3,2,Lower OPEX,Gas Price Volatility,4,1,3,3,True,False,True,0,,Primary (synthetic),True
R00012,Investor,Gombe,Gombe LGA 1,Oil & Gas Services,2,1,Reliability,Technical Complexity,4,4,2,2,False,False,True,0,,Primary (synthetic),True
R00013,Academic,Rivers,Rivers LGA 23,Food Processing,5,3,Reliability,Regulatory Risk,3,3,3,4,True,False,False,0,,Primary (synthetic),True
R00014,Industrial Manager,FCT,Abuja Municipal,Textile,4,3,Lower Emissions,Technical Complexity,5,2,4,2,False,True,False,0,,Primary (synthetic),True
R00015,Academic,Yobe,Yobe LGA 9,Automotive,4,3,Long Life,Maintenance,3,2,4,2,True,True,False,1,,Primary (synthetic),True
R00016,Engineer,Rivers,Rivers LGA 12,FMCG,4,2,Reliability,Maintenance,3,4,3,3,True,False,True,0,,Primary (synthetic),True
