model,stack_temp_c,fuel,load_fraction,elec_efficiency_lhv_pct,chp_total_efficiency_lhv_pct,notes
Bloom-ES5x,800,Pipeline NG,0.3,54.9,76.9,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,Pipeline NG,0.5,56.3,78.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,Pipeline NG,0.75,58.0,80.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,Pipeline NG,1.0,56.3,78.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,Bio-methane,0.3,53.0,75.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,Bio-methane,0.5,54.3,76.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,Bio-methane,0.75,56.0,78.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,Bio-methane,1.0,54.3,76.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,LPG,0.3,52.0,74.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,LPG,0.5,53.3,75.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,LPG,0.75,55.0,77.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Bloom-ES5x,800,LPG,1.0,53.3,75.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,Pipeline NG,0.3,54.9,76.9,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,Pipeline NG,0.5,56.3,78.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,Pipeline NG,0.75,58.0,80.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,Pipeline NG,1.0,56.3,78.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,Bio-methane,0.3,53.0,75.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,Bio-methane,0.5,54.3,76.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,Bio-methane,0.75,56.0,78.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,Bio-methane,1.0,54.3,76.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,LPG,0.3,52.0,74.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,LPG,0.5,53.3,75.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,LPG,0.75,55.0,77.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Research-SOFC-100kW,750,LPG,1.0,53.3,75.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,Pipeline NG,0.3,54.9,76.9,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,Pipeline NG,0.5,56.3,78.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,Pipeline NG,0.75,58.0,80.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,Pipeline NG,1.0,56.3,78.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,Bio-methane,0.3,53.0,75.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,Bio-methane,0.5,54.3,76.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,Bio-methane,0.75,56.0,78.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,Bio-methane,1.0,54.3,76.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,LPG,0.3,52.0,74.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,LPG,0.5,53.3,75.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,LPG,0.75,55.0,77.0,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
Siemens-SOE-LabRef,800,LPG,1.0,53.3,75.3,"Nominal fabricated from literature ranges; Nigeria ambient 25-35C, derate minimal for SOFC."
