anode_material,cathode_material,tab_thickness_um,surface_finish,welding_technique,power,amplitude_um,force_n,pressure_mpa,time_s,speed_mm_s,pulse_frequency_hz,preheat_c
SS304,Ni,57.0377787692242,Ni,RSW,3087.708998198734,0.0,5983.01472482008,25.273079745750497,0.23951496062768737,0.0,0.0,105.87885024211121
Ni,Cu,237.33936199819973,bare,Laser,8.166861838090412,0.0,496.7037701725629,6.215358387585621,0.4857882895081517,88.73385449199041,2548.552638827043,89.94341633751256
SS304,Cu,227.36842951756267,Ni,RSW,8974.57287476721,0.0,1560.1312507332627,30.551263290193063,0.26513309646758826,0.0,0.0,31.130646639646493
Al,Ni,434.8769122631487,bare,USW,2666.311938836863,42.27097324174127,2194.7810964469836,28.470024723298955,0.17638417322838607,0.0,0.0,40.6276938747685
Al,Cu,97.90247009577513,bare,USW,2233.0910798161676,35.29618780310284,2866.204685490915,5.8210554870496924,0.5943351236489224,0.0,0.0,59.91873294423232
Al,Cu,75.83273060109585,Ni,USW,2723.951682264892,8.369231484130943,2185.716535577756,14.3734089220863,0.530710419970474,0.0,0.0,91.74535408142195
Cu,Al,360.9575776385961,Ni,RSW,9619.03683377579,0.0,4905.920547569378,13.521249276908403,0.1601845338508678,0.0,0.0,47.8570644350488
Al,Cu,359.63893757462404,Ni,RSW,6612.043304958094,0.0,4729.704874968402,29.434672977044887,0.1914824874496592,0.0,0.0,81.76506498841195
SS304,Al,360.9157556554265,bare,USW,702.4916811502937,46.04628953253874,489.29658330373394,4.481905403098809,0.6997581001456327,0.0,0.0,89.40426708985183
Ni,SS304,347.6736693442496,Sn,USW,1189.8014785271757,39.009535006025125,2831.2182703998783,11.773071290145632,0.34463197341954244,0.0,0.0,36.86208047124974
Al,Ni,181.0875266702869,Ni,RSW,2875.1921476124116,0.0,3888.0720683975715,9.018347680447032,0.23965065084597026,0.0,0.0,20.930554754843715
Cu,Al,236.41835432087362,Ni,USW,1105.4972199104368,33.74922280751221,1892.1050394298409,23.839043560781395,0.6897057986042946,0.0,0.0,73.79560392377972
SS304,Ni,329.97985681425024,Ni,USW,2555.095585013697,11.874354308801392,1329.0590497568976,18.997982398246016,0.8936426612975202,0.0,0.0,80.15826730251202
Ni,Al,63.66803562185473,Sn,Laser,3.1227483244968877,0.0,271.77945151391225,2.6318815391753376,0.3392010151178161,251.1505789807653,3378.2208483548675,74.73325866652782
Ni,SS304,60.60430718015029,bare,Laser,1.6118472573521965,0.0,220.98526767487382,5.698483507390955,0.6729230774661058,220.61697023861888,2481.4196493444415,78.17397952961642
Al,SS304,51.396454110858016,bare,USW,2032.5542538690936,35.277599144472745,501.92973085173526,19.297168216366615,0.5914625973173732,0.0,0.0,58.828923737221835
Ni,Al,464.5264245671304,bare,USW,3398.8080432716397,45.13947722154213,380.2022969184768,3.7690303066307256,0.47317075748199494,0.0,0.0,26.8763266401083
Ni,Cu,339.25955161110596,Ni,USW,1615.4428440917634,11.200694905030364,2630.387537462575,17.31556670147581,0.43744744537176566,0.0,0.0,114.67261263875088
Al,Ni,147.55481818678527,Sn,USW,1351.5753278930079,47.2926235600609,246.33010143648477,26.817847156453507,0.9769162545670009,0.0,0.0,35.476891057680405
Cu,Ni,55.01786010409419,Ni,Laser,2.946727527872111,0.0,182.21449383324045,7.941141078030351,0.6022917576345749,269.6814791536819,2850.8007176879296,34.20665756317899
Ni,Al,148.0998172691923,Ni,USW,1428.509689963353,41.424682549723954,2210.475038734672,3.4088589429125142,0.6216011661076524,0.0,0.0,38.7427468165138
Ni,Al,321.73143552429195,Ni,USW,209.70919832107128,17.57011463461712,1145.711721416565,15.017709433245113,0.4448157746357928,0.0,0.0,75.41159448629932
SS304,Al,181.94788070039766,Sn,RSW,2981.6997512043404,0.0,2774.6067150028803,37.09011405032555,0.1819323016261123,0.0,0.0,115.16498487422005
SS304,Ni,88.30057114142772,Ni,Laser,8.47848785592245,0.0,345.46729859296534,2.846998682845789,0.5764476794975275,64.93966800606665,3944.376390697036,117.39310006745785
SS304,Al,86.91392109028676,Sn,Laser,7.657457806837969,0.0,91.91645918079502,1.762888613890068,0.3573018781489115,158.7621391077846,1891.56017564732,35.9821448851337
Cu,Al,89.79526764886589,Ni,Laser,8.810634972872336,0.0,73.5295905200926,4.855703714679366,0.999615228601771,27.97211378868843,703.2943643661272,107.38454723119943
Ni,Al,262.0062167689408,Ni,USW,3724.192144111154,6.624869833123687,1915.8915180604176,9.833369650296921,0.9666206839801116,0.0,0.0,44.92796748156394
Al,Cu,294.91183356701276,Sn,USW,3793.364636469048,41.87975335994567,2829.453096687606,8.466820259400576,0.584054342156242,0.0,0.0,57.24111360206742
