respondent_id,ATT1,ATT2,ATT3,SN1,SN2,PBC1,PBC2,PBC3,INT1,INT2,SEV1,SEV2,VULN1,VULN2,SE1,SE2,SE3,RE1,RE2,RE3,PB1,PB2
1,1,1,1,1,2,1,1,2,1,1,1,4,1,1,1,2,1,2,2,1,2,3
2,7,7,7,3,4,5,3,5,7,6,7,6,6,3,6,6,7,2,1,3,5,3
3,4,3,2,6,7,2,2,1,6,7,6,6,1,1,4,2,2,3,2,1,2,2
4,7,7,7,2,1,7,6,6,6,6,4,2,6,3,6,3,7,6,3,7,5,7
5,4,2,3,7,6,6,6,7,4,5,7,4,5,4,4,5,7,2,4,3,3,3
6,4,3,5,5,1,7,3,6,2,2,1,1,3,4,1,1,3,3,2,3,4,2
7,7,4,7,4,3,7,7,7,7,7,6,4,7,3,7,7,6,7,7,6,4,3
8,2,1,2,3,1,1,2,1,1,1,4,4,5,3,2,1,3,2,1,2,5,2
9,1,1,1,6,2,5,6,6,2,6,1,3,4,7,4,2,1,1,1,1,3,3
10,5,1,6,2,7,7,7,3,4,7,2,1,7,7,4,7,7,6,5,6,7,4
11,7,6,7,5,7,5,5,7,5,6,4,1,2,2,7,7,3,7,7,7,6,6
12,5,6,3,6,7,3,2,5,1,1,4,3,4,1,4,6,5,1,1,5,1,1
13,6,3,4,1,3,5,4,2,1,1,1,1,2,2,5,3,4,7,4,6,3,2
14,6,6,6,2,3,7,6,6,6,6,6,2,7,7,6,6,2,4,5,6,1,2
15,2,1,3,6,6,2,2,1,1,3,2,7,1,3,3,5,5,5,2,6,6,2
16,1,3,1,7,7,7,7,4,7,7,3,6,7,7,6,7,7,4,6,5,5,4
17,6,7,7,6,4,3,5,3,3,2,2,4,1,1,6,6,5,2,5,4,3,6
18,4,1,2,1,1,1,2,1,1,1,6,5,6,5,3,1,2,1,1,1,3,3
19,2,2,2,1,1,5,4,3,4,2,1,2,3,2,5,1,2,5,3,5,3,6
20,5,3,3,6,2,7,5,7,5,4,1,1,2,1,1,1,3,4,6,3,3,5
21,3,5,5,5,2,3,1,1,2,3,7,6,4,1,4,2,1,3,2,1,1,1
22,1,3,2,2,1,3,1,5,3,2,2,3,4,1,2,1,3,4,6,7,2,1
23,5,3,6,2,5,3,3,4,2,2,6,6,6,1,2,4,6,3,4,6,1,3
24,7,7,3,7,3,2,6,2,7,7,2,7,3,3,7,7,7,6,7,5,6,6
25,3,1,2,2,3,6,1,7,5,1,5,5,3,2,7,6,7,5,6,7,5,7
26,3,3,7,4,5,7,7,7,6,4,7,7,5,5,1,5,6,5,7,3,1,7
27,2,2,2,2,1,4,4,6,4,2,1,5,2,1,1,3,4,4,1,1,3,1
28,1,4,6,6,6,4,5,5,2,3,1,3,7,6,5,1,6,1,3,4,3,1
29,5,3,4,2,7,3,2,2,2,1,4,2,7,4,2,1,2,3,4,2,2,1
30,3,4,2,2,1,3,2,2,4,1,4,6,4,3,6,5,1,6,7,6,5,3
31,6,7,7,7,4,7,7,4,7,7,4,1,1,3,2,5,4,5,3,5,5,5
32,5,7,4,3,5,3,2,3,4,2,3,7,7,5,1,1,1,5,4,4,1,1
33,3,1,4,3,4,4,4,1,3,5,3,7,5,7,6,7,4,7,2,7,7,4
34,1,2,1,2,1,3,3,6,1,3,7,5,7,2,2,3,5,4,3,3,3,3
35,6,4,7,5,7,5,4,3,4,4,2,1,1,1,7,7,6,6,6,5,6,7
36,7,5,4,5,3,2,4,3,7,7,7,5,2,4,1,4,6,5,7,6,7,3
37,4,4,2,4,7,4,3,5,4,4,4,3,3,1,5,1,1,4,2,2,1,1
38,5,7,7,5,4,4,2,3,3,3,1,6,1,4,4,3,5,5,5,6,5,4
39,7,6,5,7,6,6,6,6,5,5,6,7,4,5,6,2,4,5,6,6,4,6
40,3,2,1,3,1,1,1,1,1,1,2,4,4,6,1,1,1,1,1,1,1,2
41,4,5,3,3,6,2,2,5,3,2,4,2,3,7,3,1,2,2,3,3,6,7
42,7,7,7,6,7,4,6,4,3,3,7,7,4,7,5,6,7,3,1,2,1,3
43,3,6,6,1,2,6,3,1,3,6,3,4,5,7,3,5,6,1,2,3,5,3
44,1,1,1,5,5,3,3,2,3,2,7,4,3,3,3,3,6,5,4,4,3,2
45,5,7,7,7,5,6,5,2,7,7,5,6,6,2,7,7,6,7,7,6,6,7
46,5,6,7,6,4,4,5,4,7,7,2,4,2,1,4,4,2,5,2,7,3,1
47,6,6,5,6,6,6,5,3,5,5,2,6,1,1,6,5,3,6,3,6,7,7
48,2,4,3,5,5,1,1,1,3,4,2,1,3,2,7,6,2,1,1,2,6,7
49,7,7,5,7,5,3,6,4,2,5,3,6,4,4,3,2,2,3,4,5,5,6
50,5,5,6,4,6,3,3,1,4,1,5,4,7,3,1,4,1,5,4,6,5,6
51,2,5,5,4,6,4,4,2,1,2,6,2,1,3,5,5,4,5,6,4,4,4
52,7,5,7,1,4,6,7,6,6,2,4,3,2,4,6,7,7,7,7,6,7,5
53,4,5,3,7,6,2,5,2,6,4,3,1,6,7,7,7,5,2,3,4,2,1
54,7,6,7,2,5,3,2,7,7,3,3,2,1,2,1,6,3,4,7,5,2,3
55,3,3,5,1,1,2,4,3,4,2,7,7,5,2,4,5,4,2,6,5,4,4
56,6,6,7,2,2,6,4,6,4,6,1,5,2,2,4,4,3,2,3,5,6,5
57,1,5,1,3,6,1,1,3,3,3,3,1,3,4,2,1,1,1,3,4,2,1
58,5,5,3,1,2,7,3,6,4,2,7,1,4,1,1,3,4,7,6,5,4,5
59,2,2,1,6,3,1,1,2,2,1,1,2,4,3,2,3,3,3,3,2,2,2
60,4,4,7,3,3,4,2,1,6,5,6,6,7,7,3,1,2,7,4,5,4,1
61,2,1,2,6,6,6,2,5,4,4,5,5,3,6,6,6,6,3,6,5,2,6
