participant_id,T1_Intention,SRB1,SRB2,SRB3,SRB4,SRB5,SRB_Mean,S1_Response,S1_Score,S2_Response,S2_Score,S3_Response,S3_Score,S4_Response,S4_Score,S5_Response,S5_Score,Objective_Score_Total,Objective_Score,Intention_Behavior_Gap
P00001,4,4,4,5,5,5,4.6,c,1,c,1,c,1,a,0,b,2,5,5,0.009964514459980478
P00002,3,5,6,5,5,4,5.0,b,2,b,2,a,0,c,1,a,0,5,5,0.6711290011706916
P00003,5,4,5,6,5,6,5.2,b,2,b,2,b,2,b,2,b,2,10,10,0.3488000277492711
P00004,3,4,4,4,4,3,3.8,b,2,a,0,c,1,b,2,a,0,5,5,-0.5288709988293085
P00005,4,5,5,6,7,5,5.6,b,2,b,2,b,2,b,2,b,2,10,10,1.0099645144599805
P00006,5,5,5,4,6,5,5.0,c,1,b,2,b,2,b,2,b,2,9,9,0.14880002774927092
P00007,6,3,4,2,5,3,3.4,a,0,a,0,c,1,c,1,a,0,2,2,-1.712364458961439
P00008,6,6,5,5,6,5,5.4,b,2,c,1,b,2,b,2,b,2,9,9,0.28763554103856137
P00009,4,5,6,7,5,6,5.8,c,1,b,2,b,2,b,2,c,1,8,8,1.2099645144599807
P00010,6,5,5,4,5,5,4.8,b,2,b,2,b,2,b,2,b,2,10,10,-0.31236445896143916
P00011,3,3,4,4,4,3,3.6,c,1,a,0,a,0,a,0,b,2,3,3,-0.7288709988293083
P00012,6,5,4,4,4,4,4.2,c,1,b,2,a,0,a,0,c,1,4,4,-0.9123644589614388
P00013,6,5,5,5,7,6,5.6,b,2,b,2,b,2,b,2,c,1,9,9,0.48763554103856066
P00014,6,5,5,6,6,5,5.4,b,2,c,1,b,2,b,2,b,2,9,9,0.28763554103856137
P00015,6,5,4,7,5,5,5.2,b,2,b,2,b,2,b,2,a,0,8,8,0.0876355410385612
P00016,5,6,7,6,7,6,6.4,b,2,b,2,b,2,b,2,b,2,10,10,1.5488000277492713
P00017,5,3,4,4,3,4,3.6,b,2,b,2,c,1,c,1,a,0,6,6,-1.251199972250729
P00018,4,2,3,4,4,4,3.4,a,0,a,0,a,0,a,0,a,0,0,0,-1.1900354855400193
P00019,5,4,4,3,4,3,3.6,a,0,c,1,b,2,b,2,c,1,6,6,-1.251199972250729
P00020,6,6,6,6,6,5,5.8,b,2,b,2,c,1,b,2,b,2,9,9,0.6876355410385608
P00021,4,5,5,5,5,4,4.8,b,2,c,1,b,2,a,0,b,2,7,7,0.20996451445998066
P00022,5,4,6,4,6,4,4.8,b,2,b,2,b,2,c,1,b,2,9,9,-0.05119997225072925
P00023,7,6,5,6,5,5,5.4,b,2,b,2,b,2,b,2,b,2,10,10,0.026471054327851462
