Country,Country_Name,Age,Age_Group,Gender,Education,Education_Level,Income_Level,Urban_Rural,Marital_Status,Employment_Status,Household_Size,Bank_Type,Bank_Type_Name,Years_with_Account,Frequency_of_Use,Past_Victim,Fraud_Awareness,Fraud_Concern,Security_Knowledge,Tech_Adoption,Smartphone_Usage,Internet_Usage,Trust_Traditional_Banking,Trust_Digital_Banking,Financial_Literacy,Risk_Tolerance
1,Nigeria,26,25-34,1,1,No formal,4,2,3,1,1,2,Digital-Only Bank,4,2,0,4.1,3.0,3.0,2.7,2.9,2.9,4.0,4.9,1.2,4.2
2,Ghana,18,18-24,2,5,Bachelor,1,2,1,4,4,2,Digital-Only Bank,0,4,0,2.9,5.0,3.1,4.9,5.0,5.0,3.7,4.1,3.2,3.9
2,Ghana,37,35-44,2,4,Diploma,3,1,2,1,5,2,Digital-Only Bank,0,2,0,4.1,4.3,1.6,3.9,3.7,2.7,3.4,4.4,4.1,2.1
1,Nigeria,36,35-44,3,5,Bachelor,1,1,2,1,6,1,Traditional Commercial,7,3,1,4.3,3.8,4.6,4.4,3.0,3.3,3.3,3.5,3.6,2.9
1,Nigeria,37,35-44,1,3,Secondary,2,1,4,2,1,1,Traditional Commercial,11,4,1,2.8,3.3,2.5,3.5,3.8,2.6,3.7,3.0,2.3,2.0
1,Nigeria,24,18-24,2,3,Secondary,3,1,1,4,4,3,Microfinance,1,2,0,2.6,2.7,4.5,3.5,3.1,3.0,3.0,3.6,1.0,4.2
1,Nigeria,26,25-34,1,4,Diploma,4,2,1,1,2,1,Traditional Commercial,8,2,0,3.4,2.5,2.3,2.9,2.5,4.1,3.2,3.3,3.9,2.9
2,Ghana,25,18-24,2,5,Bachelor,1,1,2,3,7,1,Traditional Commercial,0,4,0,3.6,3.2,2.7,3.8,2.7,3.1,3.2,3.8,2.6,2.9
2,Ghana,46,45-54,1,2,Primary,3,1,3,2,4,2,Digital-Only Bank,0,1,0,1.9,3.3,2.7,2.6,3.0,4.0,3.8,3.0,2.9,4.3
2,Ghana,33,25-34,1,5,Bachelor,3,1,3,1,5,1,Traditional Commercial,9,4,0,2.8,3.9,3.7,3.5,3.9,5.0,3.6,4.5,3.9,2.8
1,Nigeria,31,25-34,2,5,Bachelor,1,1,3,1,2,2,Digital-Only Bank,4,2,1,4.1,3.5,5.0,4.6,3.4,4.0,2.3,4.6,4.0,2.3
2,Ghana,40,35-44,1,3,Secondary,3,1,1,1,6,1,Traditional Commercial,13,3,0,2.1,2.7,2.1,3.1,4.2,1.7,2.9,3.3,3.0,3.5
2,Ghana,25,18-24,1,3,Secondary,4,1,1,2,3,3,Microfinance,5,2,1,3.7,4.3,1.5,4.5,2.3,4.3,1.8,3.5,2.7,3.4
1,Nigeria,35,25-34,1,1,No formal,1,1,3,2,8,2,Digital-Only Bank,8,3,0,2.7,3.3,2.2,3.3,5.0,3.6,3.1,2.3,3.2,2.4
1,Nigeria,64,55-65,1,1,No formal,4,1,2,2,6,1,Traditional Commercial,21,4,0,2.7,3.4,1.6,3.3,2.3,4.5,3.2,4.2,2.0,2.9
1,Nigeria,49,45-54,2,3,Secondary,3,1,2,2,7,1,Traditional Commercial,30,3,1,3.7,4.5,2.5,5.0,4.4,2.3,3.0,2.8,3.6,3.2
1,Nigeria,35,25-34,2,2,Primary,4,2,2,1,5,1,Traditional Commercial,4,3,1,4.6,4.3,2.5,2.6,2.7,2.3,3.0,3.4,2.5,3.4
1,Nigeria,32,25-34,2,2,Primary,2,2,1,1,4,2,Digital-Only Bank,5,1,1,3.4,5.0,2.4,4.0,4.4,3.8,3.6,3.4,4.1,3.0
1,Nigeria,37,35-44,1,5,Bachelor,4,2,3,1,5,1,Traditional Commercial,5,4,0,3.1,2.7,3.4,1.8,3.5,3.6,3.6,3.3,3.4,3.8
1,Nigeria,52,45-54,2,4,Diploma,1,2,3,1,1,2,Digital-Only Bank,8,3,1,5.0,4.3,2.5,4.2,3.7,3.6,3.1,3.1,3.5,3.1
2,Ghana,50,45-54,1,4,Diploma,3,2,2,1,6,1,Traditional Commercial,30,2,1,4.0,3.2,2.3,2.7,3.2,5.0,3.9,2.9,3.2,2.7
1,Nigeria,56,55-65,2,2,Primary,2,1,2,3,1,1,Traditional Commercial,20,4,0,4.4,3.8,3.6,3.8,3.3,3.7,2.8,1.0,1.1,3.7
1,Nigeria,34,25-34,1,5,Bachelor,4,1,2,2,7,1,Traditional Commercial,3,4,1,4.6,3.3,4.9,4.1,3.5,4.9,3.3,2.8,4.0,3.7
1,Nigeria,19,18-24,2,5,Bachelor,4,1,1,2,1,1,Traditional Commercial,0,1,1,2.4,4.0,1.3,3.5,3.4,3.0,2.6,3.4,2.8,4.4
1,Nigeria,62,55-65,2,4,Diploma,1,1,4,1,4,2,Digital-Only Bank,5,3,1,2.6,4.8,2.2,4.3,4.1,4.0,4.5,4.1,3.0,2.4
2,Ghana,24,18-24,1,5,Bachelor,1,2,1,2,3,2,Digital-Only Bank,6,3,1,5.0,2.3,3.4,4.0,3.9,3.9,2.8,4.1,3.1,4.2
1,Nigeria,40,35-44,1,5,Bachelor,2,1,2,3,8,1,Traditional Commercial,22,5,0,2.3,2.8,4.4,4.4,3.7,2.4,2.8,3.5,2.5,3.4
1,Nigeria,19,18-24,2,4,Diploma,1,2,1,2,5,2,Digital-Only Bank,0,1,1,5.0,4.2,1.6,3.5,4.2,2.7,2.2,3.7,2.6,3.9
1,Nigeria,31,25-34,1,4,Diploma,3,1,2,3,3,2,Digital-Only Bank,0,2,0,2.5,3.1,2.3,5.0,3.7,4.7,3.3,3.2,4.3,2.7
1,Nigeria,28,25-34,1,2,Primary,3,2,2,2,4,2,Digital-Only Bank,5,4,0,3.7,4.2,2.1,3.8,3.8,2.5,2.8,2.4,1.6,3.0
2,Ghana,56,55-65,1,3,Secondary,5,2,4,1,3,1,Traditional Commercial,34,1,0,2.3,2.5,2.3,2.1,2.9,2.7,3.5,3.8,3.3,3.9
1,Nigeria,35,25-34,1,1,No formal,5,2,4,1,2,1,Traditional Commercial,16,3,1,3.5,3.8,3.3,3.4,3.1,2.8,3.9,3.7,2.7,3.5
1,Nigeria,31,25-34,2,1,No formal,3,2,3,1,4,2,Digital-Only Bank,6,2,1,4.0,3.8,3.0,5.0,4.5,3.5,2.5,3.6,3.5,3.5
2,Ghana,36,35-44,1,2,Primary,1,1,3,1,4,1,Traditional Commercial,4,4,0,3.1,3.0,1.9,1.9,2.5,3.6,3.4,2.9,3.3,2.0
2,Ghana,18,18-24,1,5,Bachelor,3,2,1,2,3,3,Microfinance,0,2,0,2.3,3.1,2.8,4.3,2.1,4.4,4.0,3.0,2.5,3.0
2,Ghana,25,18-24,2,3,Secondary,3,1,3,2,8,2,Digital-Only Bank,1,4,1,4.1,3.9,3.0,3.7,3.6,4.4,3.8,3.7,3.2,2.8
1,Nigeria,26,25-34,2,6,Postgraduate,3,2,3,1,2,2,Digital-Only Bank,6,1,1,4.8,2.8,5.0,4.8,3.8,4.4,2.0,3.5,2.8,4.3
1,Nigeria,39,35-44,1,4,Diploma,3,1,2,1,10,3,Microfinance,16,4,0,1.6,4.0,2.7,3.2,2.9,4.5,3.5,3.7,4.7,3.9
