participant_id,age,gender,education,income,banking_years,prev_incident,tech_comfort,t1_attitude,t1_subjective_norm,t1_pbc,t1_intention,t1_knowledge,t1_risk_perception,t1_trust_banking,t2_srb1_check_statements,t2_srb2_strong_passwords,t2_srb3_two_factor_auth,t2_srb4_logout_after_use,t2_srb5_verify_alerts,t2_srb_composite,t2_objective_scenario1_phishing_sms,t2_objective_scenario2_suspicious_email,t2_objective_scenario3_public_wifi,t2_objective_scenario4_password_sharing,t2_objective_scenario5_suspicious_app,t2_objective_score,t2_intention_behavior_gap,t2_gap_category,t2_gap_pbc_moderated,t2_gap_age_moderated,t2_gap_incident_moderated,time_gap_weeks,t2_dropout,completion_status
P0001,37,Male,Bachelor's,29388.63,8,0,4.85,6.44,1.83,4.4,4.71,5.26,5.37,4.84,,,,,,,,,,,,,,Missing,,,,3.91,1,Incomplete
P0002,29,Male,High School,48659.77,4,1,6.44,4.14,3.08,1.0,2.48,3.57,6.83,2.93,1.0,1.0,,1.4106962950082602,2.539553858209803,1.39,2.0,1.0,0.0,2.0,1.0,5.57,-0.4,Slight Underperformer,-0.7667125957046941,-0.4585329451077336,0.09646705489226637,4.86,0,Complete
P0003,29,Male,Bachelor's,20000.0,4,0,3.34,4.88,6.48,2.98,3.86,3.7,7.0,2.02,2.734444350654092,3.3841282342719685,2.074783065687712,,2.504895583050592,2.34,2.0,2.0,1.0,0.0,0.0,5.2,-0.15,Slight Underperformer,-0.1911294710736425,-0.20133599984751865,-0.14633599984751866,3.12,0,Complete
P0004,29,Other,Some College,20000.0,7,0,4.69,5.25,4.51,3.36,2.7,5.09,4.77,5.19,,1.0,2.367458360797844,1.3051595743027073,1.0,1.33,1.0,2.0,2.0,2.0,1.0,7.71,-0.57,Slight Underperformer,-0.6797567702397804,-0.6254037123673483,-0.5704037123673482,4.13,0,Complete
P0005,55,Female,Bachelor's,47901.11,10,0,3.33,6.0,2.38,5.83,5.8,3.7,5.39,3.72,3.628145833560647,3.981320628268504,4.152258758622461,2.216465519561,2.4914989723043552,3.29,2.0,1.0,1.0,1.0,2.0,6.82,-0.16,Slight Underperformer,-0.07446981692828537,-0.08984613814126714,-0.16484613814126714,2.61,0,Complete
P0006,40,Female,High School,53831.36,2,0,4.03,4.11,3.89,3.51,2.89,1.1,5.11,5.36,3.7695637325306386,3.985390747770257,1.8023483689510007,3.3578490168581787,3.108799903068498,3.2,2.0,1.0,0.0,1.0,1.0,5.03,1.21,Overperformer,1.3848941740546419,1.207537991063872,1.207537991063872,4.44,0,Complete
P0007,27,Male,High School,189354.48,5,0,4.43,3.62,3.6,3.35,3.94,4.73,6.31,3.79,1.0,1.0,1.0,1.0,1.033128665861476,1.01,2.0,0.0,1.0,1.0,1.0,4.62,-1.52,Underperformer,-1.8110367018953797,-1.5822981383697574,-1.5172981383697575,5.82,0,Complete
P0008,37,Male,Bachelor's,41211.64,4,0,3.33,6.01,4.58,5.64,5.12,2.78,6.84,4.97,,,,,,,,,,,,,,Missing,,,,2.04,1,Incomplete
P0009,33,Male,Bachelor's,69967.9,6,0,3.06,3.38,4.32,2.23,1.74,3.42,7.0,4.31,2.5432790972833463,1.6805955156600156,1.0,1.0038243264924005,2.8555634984157128,1.82,2.0,2.0,1.0,2.0,1.0,8.13,0.4,Slight Overperformer,0.6048220284508209,0.3604319337091654,0.3954319337091654,3.27,0,Complete
P0010,19,Female,Some College,31058.32,9,0,4.93,6.74,5.03,1.6,4.67,6.19,6.34,7.0,1.0,1.0,1.0,1.0,3.9762467072588725,1.6,2.0,2.0,1.0,1.0,2.0,8.02,-1.3,Underperformer,-2.22915009521923,-1.4010758897146312,-1.2960758897146312,4.84,0,Complete
