,count,unique,top,freq,mean,min,25%,50%,75%,max,std
sample_id,5000,5000,WS_000001,1,,,,,,,
timestamp,5000,,,,2023-01-27 00:52:29.999999744,2023-01-01 00:00:00,2023-01-14 00:26:15,2023-01-27 00:52:30,2023-02-09 01:18:45,2023-02-22 01:45:00,
batch_id,5000.0,,,,25.5632,1.0,13.0,26.0,38.0,50.0,14.536349846277458
anode_material,5000,4,Cu-101,1295,,,,,,,
cathode_material,5000,4,Al-3003,1268,,,,,,,
anode_thickness_um,5000.0,,,,296.59484975127054,100.02113077291872,198.85836336836928,294.3886296184588,393.34863935311864,499.8020758834066,114.24660372391861
cathode_thickness_um,5000.0,,,,300.55002140319846,100.06309783122269,198.86693038138463,298.4788533439703,404.2476018315871,499.9220576535206,116.30792709173032
surface_finish,5000,4,nickel_plated,1301,,,,,,,
surface_roughness_ra_um,5000.0,,,,2.607921647232328,0.10023580708212756,1.4085546363673909,2.629290925931226,3.8247326201224285,4.999514787345235,1.4192539823197465
welding_technique,5000,4,RSW,1276,,,,,,,
power_w,5000.0,,,,1073.4010004308204,0.0,2.6914861565860133,61.66365388077465,2088.7552021705906,3998.231763569911,1235.51616388579
amplitude_um,5000.0,,,,10.123038581209778,0.0,0.0,0.0,20.34187182116175,59.98782437419042,18.332958560405032
force_n,5000.0,,,,3939.9113683892697,0.0,1061.0274496252955,2840.694193165,4962.548829553858,14988.163452552417,4010.7744728042826
time_ms,5000.0,,,,351.00588180152346,5.0104720211731335,106.98552866757393,322.984310412893,505.96802833385544,999.3096609732079,257.3052804794836
speed_mm_s,5000.0,,,,15.678684734381456,0.0,0.0,0.0,17.5049202250634,99.72656615901157,25.629781509473453
pulse_frequency_hz,5000.0,,,,5198.069012109978,0.0,0.0,0.0,20000.0,20000.0,8632.406501599435
pulse_energy_j,5000.0,,,,6.144122994321186,0.0,0.0,0.0,0.0,49.92386510206969,12.866900839227505
current_ka,5000.0,,,,3.778021064020277,0.0,0.0,0.0,5.2598400887959365,24.96303776110003,7.0956778967609155
preheat_temp_c,5000.0,,,,49.72486800251979,20.00561563149634,34.35699112197503,49.44277754601261,65.10450199503956,79.99741726212622,17.439475350960254
ambient_temp_c,5000.0,,,,23.037644821738567,18.000084322113043,20.586025195086094,23.05951220438847,25.565578227725688,27.999396960457183,2.877098268551984
ambient_humidity_percent,5000.0,,,,50.01855092727368,30.00418843192574,40.174443405557966,50.27620787775733,59.639253439576116,69.99365201991688,11.458876085913369
energy_density_j_mm2,5000.0,,,,49.37336418943505,0.024730237280569806,0.7264854989746845,7.664334456936899,87.10956469292987,610.6262538060141,67.6234401029242
weld_width_mm,5000.0,,,,2.2392594958690255,1.020871062157712,1.9322116787804602,2.189152543674301,2.4951759565583034,5.4227137155931535,0.4514225637341628
weld_length_mm,5000.0,,,,3.407500833821586,2.0,2.8901718422470672,3.3412245222645067,3.8355689644391364,8.602369273237734,0.7467132172095358
penetration_depth_um,5000.0,,,,67.33434521974078,30.0,45.95587748745594,63.63225062768852,83.59551428907803,277.48296341876437,28.701046394487314
imc_thickness_um,5000.0,,,,0.8791841969594998,0.2,0.3756913460061844,0.7896837375775834,1.2244737577939417,4.895689796807451,0.5994627933246834
contact_resistance_microohm,5000.0,,,,84.89013539919016,20.650105426733873,72.43114637966569,86.1006399143758,98.2278864917829,148.48244225812587,17.933554187097215
shear_strength_mpa,5000.0,,,,37.214230613566436,15.0,28.45431010083374,36.15193184162936,44.68933836352899,98.03363269999412,11.887618470998078
peel_strength_n_mm,5000.0,,,,6.915366742703292,3.0,4.665070641773461,6.578152865699414,8.723215776497405,20.466377435063617,2.9406543470829676
porosity_percent,5000.0,,,,0.008488595718568758,0.0,0.0,0.0,0.0,10.461196875166864,0.2239750546452487
crack_density_per_mm2,5000.0,,,,0.0024,0.0,0.0,0.0,0.0,3.0,0.06924737568895996
void_fraction_percent,5000.0,,,,3.952012583739363,0.0,1.0898737536102183,2.874052029105631,5.866355613035328,12.0,3.5284519041348066
surface_roughness_post_weld_um,5000.0,,,,2.719434773187145,0.1,1.426020263216278,2.7347423652182714,3.9734746978704893,7.385341633728175,1.553861079344347
peak_temperature_c,5000.0,,,,199.04834089903773,100.0,147.79185629771465,181.46383732018893,239.01406641162944,756.3413411500444,72.70529198927383
cooling_rate_c_per_s,5000.0,,,,19.34977437777568,5.0,8.132529016717145,16.97185568909522,27.015809651847274,118.8847838023981,13.432197838819178
grain_size_um,5000.0,,,,47.5594400335743,17.54599945432235,43.775076839191314,47.86915816339048,51.605404908465076,60.0,5.940876735413507
thermal_cycles_tested,5000.0,,,,1045.9702,100.0,585.0,1039.0,1523.25,1999.0,546.8389301019588
resistance_increase_percent,5000.0,,,,28.711510619611584,0.0,20.18162942281662,29.42519526727392,37.61174165286112,106.84696745463157,11.768614438152085
strength_retention_percent,5000.0,,,,64.63199872369576,20.0,55.979176781483844,63.57194860966989,72.47124453867158,100.0,11.92642002343854
fatigue_life_cycles,5000.0,,,,603.086,100.0,458.0,567.0,721.0,1271.0,196.47570420911816
delamination_area_percent,5000.0,,,,7.573312269091949,0.0,2.925135467527122,6.752884662285336,11.371212118764374,45.26785336924707,5.7919803951652895
imc_growth_rate_nm_per_cycle,5000.0,,,,0.24558259702656582,0.0,0.0,0.08763156657542519,0.4147175618659414,3.3953865422803338,0.3242130260955828
corrosion_mass_loss_mg_cm2,5000.0,,,,1.6654893008962384,0.0,1.1887550317327422,1.645686425620075,2.1240381280247753,6.243711973656918,0.6660919165892075
quality_score,5000.0,,,,0.6944619130704841,0.2917776779162686,0.6487414523597527,0.6903700423153328,0.7380898459303464,0.8755721221198872,0.06277683981380104
quality_class,5000,4,Good,4434,,,,,,,
pass_fail,5000.0,,,,0.118,0.0,0.0,0.0,0.0,1.0,0.3226403870625511
