year,state,broadband_penetration_rate
2015,Abia,8.24
2015,Adamawa,12.24
2015,Akwa Ibom,9.88
2015,Anambra,13.26
2015,Bauchi,21.98
2015,Bayelsa,20.7
2015,Benue,18.88
2015,Borno,21.43
2015,Cross River,15.05
2015,Delta,22.28
2015,Ebonyi,7.41
2015,Edo,21.57
2015,Ekiti,5.57
2015,Enugu,14.57
2015,FCT,21.03
2015,Gombe,11.54
2015,Imo,17.69
2015,Jigawa,9.45
2015,Kaduna,18.08
2015,Kano,24.46
2015,Katsina,6.45
2015,Kebbi,18.1
2015,Kogi,10.55
2015,Kwara,18.25
2015,Lagos,42.57
2015,Nasarawa,15.08
2015,Niger,10.73
2015,Ogun,26.04
2015,Ondo,15.64
2015,Osun,17.14
2015,Oyo,22.58
2015,Plateau,19.47
2015,Rivers,23.63
2015,Sokoto,9.39
2015,Taraba,5.56
2015,Yobe,13.56
2015,Zamfara,15.24
2016,Abia,11.23
2016,Adamawa,13.84
2016,Akwa Ibom,13.55
2016,Anambra,13.95
2016,Bauchi,19.85
2016,Bayelsa,16.93
2016,Benue,18.21
2016,Borno,19.41
2016,Cross River,16.3
2016,Delta,31.81
2016,Ebonyi,7.36
2016,Edo,19.09
2016,Ekiti,5.91
2016,Enugu,4.91
2016,FCT,31.12
2016,Gombe,9.98
2016,Imo,26.22
2016,Jigawa,10.6
2016,Kaduna,20.14
2016,Kano,32.76
2016,Katsina,4.18
2016,Kebbi,21.82
2016,Kogi,8.86
2016,Kwara,23.76
2016,Lagos,45.87
2016,Nasarawa,22.12
2016,Niger,4.41
2016,Ogun,28.82
2016,Ondo,25.18
2016,Osun,13.88
2016,Oyo,22.37
2016,Plateau,18.19
2016,Rivers,26.29
2016,Sokoto,6.56
2016,Taraba,7.48
2016,Yobe,16.2
2016,Zamfara,16.92
2017,Abia,8.47
2017,Adamawa,19.5
2017,Akwa Ibom,12.96
2017,Anambra,18.58
2017,Bauchi,25.11
2017,Bayelsa,15.59
2017,Benue,22.83
2017,Borno,25.29
2017,Cross River,11.38
2017,Delta,28.65
2017,Ebonyi,8.12
2017,Edo,22.02
2017,Ekiti,2.88
2017,Enugu,7.5
2017,FCT,35.07
2017,Gombe,11.41
2017,Imo,20.97
2017,Jigawa,13.05
2017,Kaduna,18.62
2017,Kano,35.99
2017,Katsina,9.13
2017,Kebbi,17.62
2017,Kogi,12.69
2017,Kwara,24.39
2017,Lagos,48.63
2017,Nasarawa,21.21
2017,Niger,6.33
2017,Ogun,31.43
2017,Ondo,23.46
2017,Osun,15.64
2017,Oyo,28.75
2017,Plateau,20.46
2017,Rivers,32.33
2017,Sokoto,17.73
2017,Taraba,7.08
2017,Yobe,18.56
2017,Zamfara,13.98
2018,Abia,9.55
2018,Adamawa,15.64
2018,Akwa Ibom,17.39
2018,Anambra,21.72
2018,Bauchi,26.72
2018,Bayelsa,20.66
2018,Benue,28.04
2018,Borno,22.05
2018,Cross River,25.48
2018,Delta,31.91
2018,Ebonyi,5.27
2018,Edo,17.82
2018,Ekiti,8.49
2018,Enugu,11.58
2018,FCT,37.96
2018,Gombe,12.67
2018,Imo,21.4
2018,Jigawa,10.3
2018,Kaduna,17.54
2018,Kano,36.39
2018,Katsina,11.39
2018,Kebbi,21.76
2018,Kogi,3.85
2018,Kwara,25.08
2018,Lagos,56.96
2018,Nasarawa,17.91
2018,Niger,10.36
2018,Ogun,31.24
2018,Ondo,17.94
2018,Osun,20.42
2018,Oyo,29.32
2018,Plateau,23.79
2018,Rivers,35.08
2018,Sokoto,8.73
2018,Taraba,5.54
2018,Yobe,23.8
2018,Zamfara,19.33
2019,Abia,14.32
2019,Adamawa,28.46
2019,Akwa Ibom,19.14
2019,Anambra,25.65
2019,Bauchi,28.66
2019,Bayelsa,23.9
2019,Benue,24.26
2019,Borno,26.59
2019,Cross River,16.12
2019,Delta,31.26
2019,Ebonyi,6.9
2019,Edo,22.63
2019,Ekiti,14.44
2019,Enugu,7.44
2019,FCT,40.19
2019,Gombe,7.13
2019,Imo,21.59
2019,Jigawa,16.93
2019,Kaduna,23.7
2019,Kano,36.93
2019,Katsina,7.24
2019,Kebbi,24.52
2019,Kogi,5.89
2019,Kwara,26.79
2019,Lagos,59.54
2019,Nasarawa,19.94
2019,Niger,16.97
2019,Ogun,34.97
2019,Ondo,16.67
2019,Osun,21.16
2019,Oyo,27.44
2019,Plateau,24.43
2019,Rivers,31.6
2019,Sokoto,13.35
2019,Taraba,10.41
2019,Yobe,26.29
2019,Zamfara,15.34
2020,Abia,12.54
2020,Adamawa,16.5
2020,Akwa Ibom,16.52
2020,Anambra,28.88
2020,Bauchi,28.58
2020,Bayelsa,19.5
2020,Benue,29.48
2020,Borno,32.16
2020,Cross River,22.65
2020,Delta,29.35
2020,Ebonyi,7.41
2020,Edo,27.54
2020,Ekiti,5.83
2020,Enugu,15.16
2020,FCT,42.77
2020,Gombe,9.92
2020,Imo,24.22
2020,Jigawa,4.77
2020,Kaduna,21.86
2020,Kano,41.84
2020,Katsina,6.22
2020,Kebbi,28.74
2020,Kogi,4.28
2020,Kwara,26.4
2020,Lagos,63.39
2020,Nasarawa,27.54
2020,Niger,6.87
2020,Ogun,38.57
2020,Ondo,24.16
2020,Osun,18.9
2020,Oyo,32.59
2020,Plateau,23.79
2020,Rivers,34.24
2020,Sokoto,14.74
2020,Taraba,8.28
2020,Yobe,25.47
2020,Zamfara,22.08
2021,Abia,19.08
2021,Adamawa,15.23
2021,Akwa Ibom,25.94
2021,Anambra,19.08
2021,Bauchi,28.47
2021,Bayelsa,26.37
2021,Benue,29.1
2021,Borno,25.4
2021,Cross River,20.05
2021,Delta,34.36
2021,Ebonyi,7.6
2021,Edo,27.65
2021,Ekiti,9.48
2021,Enugu,12.54
2021,FCT,45.45
2021,Gombe,14.35
2021,Imo,28.24
2021,Jigawa,17.21
2021,Kaduna,23.87
2021,Kano,43.35
2021,Katsina,12.77
2021,Kebbi,27.04
2021,Kogi,8.99
2021,Kwara,29.66
2021,Lagos,70.43
2021,Nasarawa,22.77
2021,Niger,13.45
2021,Ogun,36.48
2021,Ondo,24.85
2021,Osun,26.39
2021,Oyo,35.47
2021,Plateau,26.96
2021,Rivers,42.01
2021,Sokoto,15.42
2021,Taraba,12.02
2021,Yobe,25.63
2021,Zamfara,22.21
2022,Abia,14.7
2022,Adamawa,20.26
2022,Akwa Ibom,22.38
2022,Anambra,23.83
2022,Bauchi,36.77
2022,Bayelsa,22.92
2022,Benue,26.14
2022,Borno,32.21
2022,Cross River,24.17
2022,Delta,39.65
2022,Ebonyi,11.76
2022,Edo,26.42
2022,Ekiti,6.17
2022,Enugu,15.64
2022,FCT,43.03
2022,Gombe,17.07
2022,Imo,26.75
2022,Jigawa,13.67
2022,Kaduna,26.82
2022,Kano,48.7
