material,T_C,CTE_1e6_perK,E_GPa,nu,mu_sinter_Pa_s,density_kg_m3
NiO-YSZ,20.0,12.0,200.0,0.3,0.0,6400.0
NiO-YSZ,40.0,12.08,199.4,0.3004,0.0,6395.365
NiO-YSZ,60.0,12.16,198.8,0.3008,0.0,6390.675
NiO-YSZ,80.0,12.24,198.2,0.3012,0.0,6385.931
NiO-YSZ,100.0,12.32,197.6,0.3016,0.0,6381.132
NiO-YSZ,120.0,12.4,197.0,0.302,0.0,6376.28
NiO-YSZ,140.0,12.48,196.4,0.3024,0.0,6371.375
NiO-YSZ,160.0,12.56,195.8,0.3028,0.0,6366.416
NiO-YSZ,180.0,12.64,195.2,0.3032,0.0,6361.404
NiO-YSZ,200.0,12.72,194.6,0.3036,0.0,6356.34
NiO-YSZ,220.0,12.8,194.0,0.304,0.0,6351.223
NiO-YSZ,240.0,12.88,193.4,0.3044,0.0,6346.053
NiO-YSZ,260.0,12.96,192.8,0.3048,0.0,6340.832
NiO-YSZ,280.0,13.04,192.2,0.3052,0.0,6335.56
NiO-YSZ,300.0,13.12,191.6,0.3056,0.0,6330.236
NiO-YSZ,320.0,13.2,191.0,0.306,0.0,6324.861
NiO-YSZ,340.0,13.28,190.4,0.3064,0.0,6319.435
NiO-YSZ,360.0,13.36,189.8,0.3068,0.0,6313.958
NiO-YSZ,380.0,13.44,189.2,0.3072,0.0,6308.432
NiO-YSZ,400.0,13.52,188.6,0.3076,0.0,6302.855
NiO-YSZ,420.0,13.6,188.0,0.308,0.0,6297.229
NiO-YSZ,440.0,13.68,187.4,0.3084,0.0,6291.554
NiO-YSZ,460.0,13.76,186.8,0.3088,0.0,6285.829
NiO-YSZ,480.0,13.84,186.2,0.3092,0.0,6280.056
NiO-YSZ,500.0,13.92,185.6,0.3096,0.0,6274.234
NiO-YSZ,520.0,14.0,185.0,0.31,0.0,6268.364
NiO-YSZ,540.0,14.08,184.4,0.3104,0.0,6262.447
NiO-YSZ,560.0,14.16,183.8,0.3108,0.0,6256.481
NiO-YSZ,580.0,14.24,183.2,0.3112,0.0,6250.469
NiO-YSZ,600.0,14.32,182.6,0.3116,0.0,6244.409
NiO-YSZ,620.0,14.4,182.0,0.312,0.0,6238.303
NiO-YSZ,640.0,14.48,181.4,0.3124,0.0,6232.151
NiO-YSZ,660.0,14.56,180.8,0.3128,0.0,6225.952
NiO-YSZ,680.0,14.64,180.2,0.3132,0.0,6219.708
NiO-YSZ,700.0,14.72,179.6,0.3136,0.0,6213.418
NiO-YSZ,720.0,14.8,179.0,0.314,0.0,6207.084
NiO-YSZ,740.0,14.88,178.4,0.3144,0.0,6200.704
NiO-YSZ,760.0,14.96,177.8,0.3148,0.0,6194.281
NiO-YSZ,780.0,15.04,177.2,0.3152,0.0,6187.812
NiO-YSZ,800.0,15.12,176.6,0.3156,0.0,6181.301
NiO-YSZ,820.0,15.2,176.0,0.316,0.0,6174.745
NiO-YSZ,840.0,15.28,175.4,0.3164,0.0,6168.147
NiO-YSZ,860.0,15.36,174.8,0.3168,0.0,6161.505
NiO-YSZ,880.0,15.44,174.2,0.3172,0.0,6154.821
NiO-YSZ,900.0,15.52,173.6,0.3176,0.0,6148.095
NiO-YSZ,920.0,15.6,173.0,0.318,0.0,6141.327
NiO-YSZ,940.0,15.68,172.4,0.3184,0.0,6134.518
NiO-YSZ,960.0,15.76,171.8,0.3188,0.0,6127.667
NiO-YSZ,980.0,15.84,171.2,0.3192,0.0,6120.775
NiO-YSZ,1000.0,15.92,170.6,0.3196,0.0,6113.843
NiO-YSZ,1020.0,16.0,170.0,0.32,0.0,6106.87
NiO-YSZ,1040.0,16.08,169.4,0.3204,1e-06,6099.858
NiO-YSZ,1060.0,16.16,168.8,0.3208,1e-06,6092.806
NiO-YSZ,1080.0,16.24,168.2,0.3212,2e-06,6085.714
