material,heating_rate_C_per_min,T_peak_C,hold_time_h,T_C,rho,sigma_s_MPa,mu_bulk_Pa_s,mu_shear_Pa_s
NiO-YSZ,2.0,1100.0,0.0,1100.0,0.95,0.000226,3.6e-05,1.2e-05
NiO-YSZ,2.0,1100.0,0.5,1100.0,0.95,0.000226,3.6e-05,1.2e-05
NiO-YSZ,2.0,1100.0,1.0,1100.0,0.95,0.000226,3.6e-05,1.2e-05
NiO-YSZ,2.0,1100.0,2.0,1100.0,0.95,0.000226,3.6e-05,1.2e-05
NiO-YSZ,2.0,1100.0,3.0,1100.0,0.95,0.000226,3.6e-05,1.2e-05
NiO-YSZ,2.0,1100.0,4.0,1100.0,0.95,0.000226,3.6e-05,1.2e-05
NiO-YSZ,2.0,1200.0,0.0,1200.0,0.95,0.000461,0.000345,0.000115
NiO-YSZ,2.0,1200.0,0.5,1200.0,0.95,0.000461,0.000345,0.000115
NiO-YSZ,2.0,1200.0,1.0,1200.0,0.95,0.000461,0.000345,0.000115
NiO-YSZ,2.0,1200.0,2.0,1200.0,0.95,0.000461,0.000345,0.000115
NiO-YSZ,2.0,1200.0,3.0,1200.0,0.95,0.000461,0.000345,0.000115
NiO-YSZ,2.0,1200.0,4.0,1200.0,0.95,0.000461,0.000345,0.000115
NiO-YSZ,2.0,1300.0,0.0,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,2.0,1300.0,0.5,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,2.0,1300.0,1.0,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,2.0,1300.0,2.0,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,2.0,1300.0,3.0,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,2.0,1300.0,4.0,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,2.0,1400.0,0.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,2.0,1400.0,0.5,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,2.0,1400.0,1.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,2.0,1400.0,2.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,2.0,1400.0,3.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,2.0,1400.0,4.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,5.0,1100.0,0.0,1100.0,0.728545,0.000623,3e-06,1e-06
NiO-YSZ,5.0,1100.0,0.5,1100.0,0.728545,0.000623,3e-06,1e-06
NiO-YSZ,5.0,1100.0,1.0,1100.0,0.728545,0.000623,3e-06,1e-06
NiO-YSZ,5.0,1100.0,2.0,1100.0,0.728545,0.000623,3e-06,1e-06
NiO-YSZ,5.0,1100.0,3.0,1100.0,0.728545,0.000623,3e-06,1e-06
NiO-YSZ,5.0,1100.0,4.0,1100.0,0.728545,0.000623,3e-06,1e-06
NiO-YSZ,5.0,1200.0,0.0,1200.0,0.885667,0.000757,0.000118,3.9e-05
NiO-YSZ,5.0,1200.0,0.5,1200.0,0.885667,0.000757,0.000118,3.9e-05
NiO-YSZ,5.0,1200.0,1.0,1200.0,0.885667,0.000757,0.000118,3.9e-05
NiO-YSZ,5.0,1200.0,2.0,1200.0,0.885667,0.000757,0.000118,3.9e-05
NiO-YSZ,5.0,1200.0,3.0,1200.0,0.885667,0.000757,0.000118,3.9e-05
NiO-YSZ,5.0,1200.0,4.0,1200.0,0.885667,0.000757,0.000118,3.9e-05
NiO-YSZ,5.0,1300.0,0.0,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,5.0,1300.0,0.5,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,5.0,1300.0,1.0,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,5.0,1300.0,2.0,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,5.0,1300.0,3.0,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,5.0,1300.0,4.0,1300.0,0.95,0.000859,0.00248,0.000827
NiO-YSZ,5.0,1400.0,0.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,5.0,1400.0,0.5,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,5.0,1400.0,1.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,5.0,1400.0,2.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,5.0,1400.0,3.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,5.0,1400.0,4.0,1400.0,0.95,0.001486,0.014077,0.004692
NiO-YSZ,10.0,1100.0,0.0,1100.0,0.636909,0.000742,2e-06,1e-06
NiO-YSZ,10.0,1100.0,0.5,1100.0,0.636909,0.000742,2e-06,1e-06
NiO-YSZ,10.0,1100.0,1.0,1100.0,0.636909,0.000742,2e-06,1e-06
NiO-YSZ,10.0,1100.0,2.0,1100.0,0.636909,0.000742,2e-06,1e-06
NiO-YSZ,10.0,1100.0,3.0,1100.0,0.636909,0.000742,2e-06,1e-06
NiO-YSZ,10.0,1100.0,4.0,1100.0,0.636909,0.000742,2e-06,1e-06
NiO-YSZ,10.0,1200.0,0.0,1200.0,0.723,0.001287,3.2e-05,1.1e-05
NiO-YSZ,10.0,1200.0,0.5,1200.0,0.723,0.001287,3.2e-05,1.1e-05
NiO-YSZ,10.0,1200.0,1.0,1200.0,0.723,0.001287,3.2e-05,1.1e-05
NiO-YSZ,10.0,1200.0,2.0,1200.0,0.723,0.001287,3.2e-05,1.1e-05
NiO-YSZ,10.0,1200.0,3.0,1200.0,0.723,0.001287,3.2e-05,1.1e-05
NiO-YSZ,10.0,1200.0,4.0,1200.0,0.723,0.001287,3.2e-05,1.1e-05
NiO-YSZ,10.0,1300.0,0.0,1300.0,0.829231,0.001795,0.000482,0.000161
NiO-YSZ,10.0,1300.0,0.5,1300.0,0.829231,0.001795,0.000482,0.000161
NiO-YSZ,10.0,1300.0,1.0,1300.0,0.829231,0.001795,0.000482,0.000161
NiO-YSZ,10.0,1300.0,2.0,1300.0,0.829231,0.001795,0.000482,0.000161
NiO-YSZ,10.0,1300.0,3.0,1300.0,0.829231,0.001795,0.000482,0.000161
NiO-YSZ,10.0,1300.0,4.0,1300.0,0.829231,0.001795,0.000482,0.000161
NiO-YSZ,10.0,1400.0,0.0,1400.0,0.95,0.001486,0.014077,0.004692
