participant_id,age,gender,education,income_level,employment_status,banking_experience_years,previous_fraud_experience,technology_comfort,financial_literacy,risk_tolerance,trust_in_banks,privacy_concerns,ATT1,ATT2,ATT3,ATT4,ATT5,SN1,SN2,SN3,SN4,PBC1,PBC2,PBC3,PBC4,PBC5,INT1,INT2,INT3,INT4,Perceived_Severity,Perceived_Vulnerability,Threat_Probability,Threat_Consequences,Self_Efficacy,Response_Efficacy,Response_Cost,Coping_Confidence,Past_Behavior,Behavior_Frequency,Behavior_Consistency
1,52,Male,Bachelor's Degree,$25k-$50k,Full-time,6,0,4.625018026462638,2.6989719664498537,2.7914562976793396,4.756428643188531,5.10127708539296,5,5,4,6,5,4,4,5,4,3,4,5,4,5,5,6,5,5,6,6,7,5,3,3,4,3,6,5,5
2,42,Male,Master's Degree,$50k-$75k,Full-time,10,0,3.9999299165885014,3.055211602283856,3.0224394407807256,4.701865889832,5.860875624968786,6,6,5,6,5,6,5,5,5,4,4,5,4,4,3,3,4,2,6,5,6,7,3,5,4,2,3,2,2
3,54,Male,Master's Degree,$50k-$75k,Retired,0,1,4.0027509175507285,5.193443900976233,2.8061132138671097,5.053142087704111,6.589080823974163,6,4,5,6,6,3,4,4,4,4,3,3,4,3,3,3,4,3,5,6,6,6,4,4,5,5,4,4,4
4,67,Male,High School,$50k-$75k,Full-time,1,0,4.620543488944545,6.764282204960977,5.328877576014322,5.132410872265739,6.72216338388025,5,4,5,5,6,4,4,3,4,5,5,5,5,6,5,7,5,6,6,5,6,5,5,7,5,6,6,6,7
5,41,Female,Some College,$75k-$100k,Part-time,33,0,4.560784413475515,5.997163343177062,3.1105782426228963,5.006313319739035,4.775759518351913,6,5,5,5,6,6,4,4,5,4,4,5,4,4,3,3,3,3,5,4,5,4,5,5,5,4,4,2,2
6,41,Female,Master's Degree,Under $25k,Full-time,31,1,5.641761058577458,2.4523501937202825,4.444063547236978,4.832386379957791,4.014025844764564,5,5,4,5,4,6,6,5,7,7,5,6,5,6,4,4,4,5,4,3,4,4,5,4,4,4,5,5,3
7,68,Male,Bachelor's Degree,$100k-$150k,Full-time,15,0,4.319035448805248,5.311015503715914,6.565987141722104,4.666887727991641,4.749387210464772,7,6,6,6,5,6,7,6,6,6,6,7,7,6,5,4,4,3,6,7,5,6,5,7,6,5,5,4,4
8,56,Female,Bachelor's Degree,$75k-$100k,Part-time,31,0,3.975171976315495,3.337888911447923,3.69525421150918,5.397715707669235,3.8003161713368288,6,6,6,6,6,3,4,4,4,3,3,3,3,3,4,5,4,6,5,6,5,5,3,4,3,2,3,5,4
9,37,Female,Bachelor's Degree,$50k-$75k,Full-time,13,1,4.228788832369161,3.44305281873859,5.35688495204642,1.9128128001229294,4.860875180641844,4,4,5,4,4,5,5,5,6,4,3,4,3,3,5,5,4,4,5,5,5,5,3,3,3,2,6,5,5
10,53,Male,Bachelor's Degree,Under $25k,Full-time,12,0,3.428003824738511,3.599431722637331,6.139895717730379,6.453200184365481,4.7241681880182655,5,5,5,6,6,7,7,7,6,3,4,3,2,5,5,4,5,4,3,3,5,4,4,4,4,3,4,5,5
11,38,Male,Master's Degree,$100k-$150k,Self-employed,15,1,3.960133359649993,5.1178870348120595,5.238068184056579,1.954621538943611,5.9002392245724415,4,3,4,4,5,6,5,6,5,3,5,5,4,5,7,5,4,6,5,4,5,5,5,5,5,6,5,5,5
12,38,Female,Other,Over $150k,Self-employed,13,0,7.0,5.44702938938375,3.7764781576311632,3.3050058197146095,2.673471302094183,5,5,6,5,5,2,2,2,1,6,6,6,5,5,5,7,5,5,3,5,4,3,5,5,4,4,6,6,6
13,48,Female,Bachelor's Degree,$25k-$50k,Full-time,12,1,3.1309818589561993,4.0725596073362755,4.698950862598059,4.327887044019826,4.293031259304696,3,3,4,4,3,3,3,4,4,3,4,4,4,3,5,4,5,4,4,4,4,5,4,4,3,3,5,4,5
14,18,Female,Some College,$50k-$75k,Unemployed,26,1,4.082015499181036,4.094608036689568,1.9976699696105165,5.407135469307811,4.301929865113893,6,5,5,4,5,5,4,5,4,4,3,3,3,3,4,4,4,4,5,4,5,4,4,5,4,4,3,4,4
15,19,Male,Master's Degree,$25k-$50k,Part-time,16,0,3.9187670050954644,4.803542866206531,2.707939578590067,1.0056797310404604,6.405839977648828,2,3,3,2,2,7,7,7,6,5,5,5,6,5,4,5,3,3,4,6,5,5,5,6,5,6,3,3,2
16,36,Male,High School,$75k-$100k,Unemployed,22,0,4.129242581633401,4.938392901381515,2.9534547457153133,4.566250811269798,3.874771184858881,5,5,5,4,4,5,7,6,5,5,5,5,5,6,5,5,5,6,5,6,5,5,5,5,4,6,4,5,5
17,29,Male,Some College,$25k-$50k,Full-time,25,0,4.003141036682408,5.729093418786088,6.936856968243994,5.550874047298881,5.349323095613893,6,5,5,4,5,3,3,5,3,4,5,5,5,4,4,5,5,6,6,5,4,6,5,5,6,5,5,6,6
18,49,Male,Master's Degree,$50k-$75k,Full-time,18,0,4.9188601518315,2.530316431838042,2.662381680042626,5.793421739234172,4.9590587441382405,6,5,4,4,5,3,4,3,5,2,3,2,3,3,2,2,3,3,5,5,5,4,3,1,3,1,2,2,1
19,31,Male,Some College,$75k-$100k,Retired,5,0,1.9347373479123084,4.226035541745239,2.6415325482334384,3.7632044098030493,6.2473467795200195,4,4,4,4,4,5,4,4,5,4,5,5,4,4,6,5,6,5,4,5,5,6,5,5,5,5,5,5,4
20,23,Male,Some College,$75k-$100k,Unemployed,1,0,6.055757208798006,2.8115683113414693,2.3385106276514227,4.238997655653961,5.755415050961601,5,5,3,6,6,5,6,5,5,5,5,6,5,6,3,4,3,3,6,6,7,5,3,4,4,3,3,2,2
21,66,Female,High School,$50k-$75k,Full-time,16,0,5.448874199463296,4.1337750372175766,4.583736466703065,3.8606222453288463,5.233368105002417,5,4,4,4,4,4,4,3,3,6,5,5,5,5,4,3,3,3,5,4,5,6,4,4,6,4,1,2,3
22,41,Female,Master's Degree,$50k-$75k,Full-time,13,1,2.635692620905298,3.905972126015011,3.9996699497364356,4.128790415768698,4.489866437953125,5,4,5,4,5,4,4,4,4,3,4,4,3,3,5,4,4,5,4,5,5,6,4,5,4,4,4,5,4
23,46,Male,Bachelor's Degree,$75k-$100k,Full-time,15,0,1.096384090571398,4.139225709926487,5.321462567837191,3.361808139125878,3.0624232465791357,4,5,5,5,5,3,2,3,2,2,3,2,2,1,3,2,3,2,4,4,4,4,3,5,3,4,1,2,1
24,23,Female,Bachelor's Degree,Under $25k,Full-time,14,0,3.034391780787898,3.160334245456309,4.739763532508296,3.5328974050348982,5.371794221256145,5,5,4,5,2,6,7,7,7,4,3,3,3,3,6,6,6,7,5,5,6,5,3,4,3,3,6,5,7
25,36,Male,Some College,Under $25k,Full-time,40,0,4.136000307859316,2.2665232688303427,1.8674542145863056,5.121252306434041,5.68353877838286,5,5,5,5,4,3,1,3,3,3,3,3,2,3,4,4,5,5,4,4,4,5,3,2,2,3,6,5,5
26,46,Male,Master's Degree,$100k-$150k,Full-time,1,0,7.0,1.4772312152706264,2.669811121985481,4.75793844792729,3.367645626277881,5,5,5,5,5,1,3,3,2,5,5,6,5,5,3,4,4,3,4,5,4,4,2,4,2,3,2,2,2
27,27,Male,Master's Degree,Under $25k,Unemployed,0,0,5.3148854474614105,4.029465799455708,5.71146024758615,5.189903809108568,3.742936419238595,6,6,6,6,6,5,5,5,5,3,2,4,4,4,4,5,5,3,5,6,6,5,2,2,2,3,3,4,4
28,50,Female,Some College,$75k-$100k,Full-time,18,0,1.7886155262278134,3.6396985624171796,3.515382457592473,4.856817267641004,5.377562970708843,5,5,5,5,3,3,3,3,4,3,3,3,3,5,4,4,2,4,4,4,4,3,4,4,3,4,5,4,5
29,35,Other,Bachelor's Degree,Over $150k,Part-time,11,1,3.465516742648584,3.3212810357550246,5.4626285452252175,5.445206321377114,5.473055854828656,6,6,6,6,6,4,5,5,4,3,3,3,1,3,4,3,4,4,6,6,7,6,2,3,3,3,4,4,4
30,40,Female,Some College,$25k-$50k,Full-time,18,1,4.4201813455905254,5.919313001681159,3.590446672918556,5.653856797785993,4.010287958898735,6,5,5,6,5,4,4,6,5,6,5,5,5,5,4,4,5,4,3,5,4,4,6,6,5,5,4,3,4
31,35,Male,Doctorate,$50k-$75k,Full-time,20,0,4.880525331447146,3.082730357166096,2.44528100039607,2.509940056160675,4.468528815075158,5,4,5,3,4,7,5,5,6,4,3,4,3,4,4,4,4,3,5,5,6,4,4,2,3,3,5,4,4
32,72,Female,Bachelor's Degree,$75k-$100k,Full-time,27,0,2.5278767095343655,6.041884306780444,3.3754349112666113,3.5748284195027646,3.07986227757253,5,5,5,5,4,4,6,6,5,5,4,5,4,5,4,4,4,4,5,4,4,4,6,6,6,6,3,3,4
33,44,Male,Master's Degree,$100k-$150k,Full-time,0,0,4.297514658034408,6.310996867550035,2.4447302862304254,4.322348851011953,6.614990294194557,5,6,5,7,6,7,7,7,6,5,6,5,4,6,3,4,4,3,7,6,6,6,6,5,6,6,4,4,5
34,29,Female,Some College,Over $150k,Self-employed,9,0,3.423541293584189,1.6638293931738048,3.0082261326366067,4.572786969415191,3.670138151894702,4,5,5,5,5,4,4,5,5,4,2,5,4,3,5,5,4,4,4,4,4,4,4,3,3,2,5,4,4
35,57,Female,Master's Degree,$75k-$100k,Unemployed,19,0,2.8443621560965253,4.3200958966986605,4.081295989191344,3.7958913114183597,5.696485330373405,5,5,5,6,4,5,6,6,6,4,5,4,4,4,5,4,6,5,5,6,6,6,4,4,4,4,5,5,5
36,26,Male,Master's Degree,Under $25k,Full-time,22,0,4.8893934700484305,3.680394561913212,4.516247126516628,5.694428405185967,5.061543234231281,6,5,6,6,6,5,6,5,4,3,3,2,3,4,3,4,3,4,5,6,5,5,3,3,4,3,5,5,4
37,48,Female,Bachelor's Degree,$75k-$100k,Full-time,36,0,5.660815760164233,1.0,1.5737321474439825,6.975938041948718,6.518552981587234,7,7,7,6,5,7,6,7,7,4,6,5,5,5,5,4,5,6,6,6,6,6,5,4,4,4,5,4,5
38,18,Female,Doctorate,$50k-$75k,Full-time,24,1,5.761561915442429,2.3219663710110616,3.7756847894872623,4.82339434669808,4.228520497947768,5,5,5,5,7,7,5,6,6,6,5,5,5,7,6,6,6,6,5,4,5,4,5,4,5,5,7,6,6
39,25,Male,Some College,$50k-$75k,Unemployed,14,0,5.361579526700814,5.207416939241017,2.9787379702163466,4.701209238637853,5.167377981374425,5,4,4,6,5,5,5,6,5,6,6,6,7,5,4,5,4,5,4,4,5,4,4,6,5,6,5,4,5
40,47,Female,High School,Under $25k,Self-employed,6,0,3.7539457002896057,6.824959028524644,2.8922192674576626,5.619347506125197,3.2317303998389146,4,5,6,5,6,6,6,5,6,3,4,2,4,3,6,7,7,6,3,4,3,5,5,5,6,4,7,6,6
41,56,Male,Bachelor's Degree,$25k-$50k,Full-time,9,0,5.571824642195258,5.373481585509023,3.9857584667863075,2.3609922937558765,2.9676204793662704,3,4,4,4,4,5,5,4,5,4,5,4,6,5,4,3,2,3,2,3,4,4,5,6,5,6,2,1,2
42,47,Female,Bachelor's Degree,$100k-$150k,Part-time,9,1,4.963581657156432,4.620722214266871,3.029367378235103,4.634162728526092,5.755966942252021,6,6,6,6,6,4,6,5,4,5,5,6,6,6,4,4,4,3,7,6,6,6,5,4,5,5,3,3,3
43,43,Female,Bachelor's Degree,$50k-$75k,Self-employed,21,1,4.70091282442802,4.172267903879586,5.7349931927853435,5.7748429905610195,3.136471577023327,5,5,6,5,4,2,4,3,4,6,4,5,5,4,4,4,4,5,4,3,2,2,4,6,5,4,5,5,4
44,40,Female,Some College,$50k-$75k,Full-time,17,0,3.5824603174473024,6.387461789042549,5.463286626751484,3.8282152033586656,4.8489607121220155,4,4,4,4,5,4,3,5,3,5,4,5,5,4,4,3,4,4,4,3,3,4,6,6,6,6,4,5,4
45,22,Female,Bachelor's Degree,$50k-$75k,Full-time,1,0,3.7546858089877078,6.992710962544933,5.454559611518855,3.1281273041176414,6.212424992770211,5,5,6,5,6,7,7,7,6,5,4,4,5,5,3,3,3,4,5,6,6,6,6,6,6,5,4,2,5
46,34,Female,Some College,$100k-$150k,Retired,10,0,4.610830404186831,3.4371045166185583,3.107125726313577,4.3770332678802655,5.9213533417041475,4,4,5,3,3,2,3,3,3,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4
47,38,Male,Bachelor's Degree,$75k-$100k,Part-time,23,0,7.0,1.6000174715966216,2.4525016311129484,4.527177480157695,4.368955963256546,5,5,5,5,5,4,5,5,5,6,6,6,6,6,3,4,5,5,4,5,5,5,5,3,4,3,4,4,5
48,60,Female,Bachelor's Degree,$25k-$50k,Full-time,18,0,4.951863720137085,1.4723562977474378,3.9148419011433617,3.5096172617014494,3.3526465499510096,4,6,4,4,4,4,4,5,5,4,4,3,5,4,6,5,5,5,5,4,4,5,2,2,2,2,5,6,6
49,50,Male,Bachelor's Degree,$25k-$50k,Full-time,20,0,3.583217246624571,5.918445289807742,3.5895122871992258,7.0,5.660444347821081,5,6,6,6,6,6,6,5,4,5,5,3,4,3,3,3,4,4,5,4,5,6,5,5,4,5,2,2,3
50,18,Female,Some College,$25k-$50k,Full-time,18,0,3.2514158325458355,4.138823896993298,2.947647572607289,4.025564342790465,6.576482461146199,5,4,5,5,5,4,6,5,5,3,2,3,3,3,4,3,5,5,6,6,5,6,3,3,3,3,5,5,5
51,49,Male,Bachelor's Degree,Over $150k,Full-time,31,0,3.762350081015696,4.438214483596334,2.153971774666254,3.215608778288117,4.371538113467814,3,4,3,3,4,4,4,4,4,4,3,4,4,4,5,3,3,5,4,3,4,4,4,4,5,5,5,4,4
52,39,Male,Some College,$75k-$100k,Part-time,17,0,7.0,1.8721537091562732,3.7418748430246995,4.487654417115266,4.216355855752171,6,6,6,6,6,6,6,5,6,6,6,6,6,5,5,6,5,5,5,5,5,5,4,4,3,4,6,6,5
53,34,Female,Some College,$50k-$75k,Full-time,11,1,3.9011150310810567,3.220854413374994,3.234302769646537,5.689432765245389,4.522607840844101,6,6,6,7,6,7,7,7,6,4,4,3,4,4,5,6,4,5,5,5,5,5,4,5,3,4,5,5,5
54,54,Male,Master's Degree,$75k-$100k,Part-time,5,0,5.860305801915428,3.8158749419289832,4.763685851853228,4.620897098797877,5.728769581887827,7,6,6,6,6,6,5,6,7,6,5,5,4,6,5,4,5,3,7,6,6,7,4,4,4,4,4,5,3
55,60,Female,Master's Degree,$50k-$75k,Unemployed,17,0,3.9361076317929653,4.470189898373292,4.731148472130071,5.182712704052802,6.451369367056404,6,6,6,6,6,5,4,5,5,5,5,5,5,4,5,6,5,6,7,7,7,6,5,5,5,5,6,5,5
56,58,Male,Some College,$100k-$150k,Full-time,0,0,4.891776811919443,3.6818303494121136,5.341119727591804,3.554187286800211,3.736432507481425,4,5,4,4,5,6,6,5,6,4,4,3,4,4,3,4,4,4,4,3,3,3,4,3,5,4,3,3,5
57,32,Male,Master's Degree,$50k-$75k,Full-time,13,0,5.687617911013083,2.8514759422082547,2.0369862273679464,6.385226135684216,3.451890009742881,6,7,6,7,5,4,3,3,4,6,4,5,5,5,3,3,3,2,5,5,5,5,5,4,4,4,2,1,2
58,40,Female,Master's Degree,$25k-$50k,Full-time,12,0,3.642145725285114,3.18006290961672,4.3614816307710855,5.274053233502132,7.0,4,5,6,4,5,4,4,4,5,5,5,4,5,5,5,4,4,4,5,6,5,5,5,5,4,5,4,5,3
59,49,Male,Master's Degree,$25k-$50k,Part-time,1,0,3.5383325187708454,5.770820271731403,2.781548011272859,5.857241882653131,4.904944933320957,6,5,5,7,5,4,3,3,4,6,5,4,5,4,6,6,5,7,6,5,6,6,5,5,6,5,7,7,6
60,59,Male,Some College,$50k-$75k,Full-time,5,0,6.988304541682995,4.51822000548455,2.0914201048644814,5.038192758970203,5.37818207525934,5,4,6,5,5,5,5,5,4,6,5,6,6,5,5,4,4,4,6,7,6,7,4,4,6,4,3,4,3
61,37,Female,Doctorate,Over $150k,Part-time,23,0,5.9768893423436955,4.995803849042217,3.199956868271806,5.589860845274541,4.338876075320597,6,6,6,5,6,3,4,4,4,6,6,5,6,6,5,5,5,5,5,6,6,7,5,5,5,5,4,5,4
