feature,importance
welding_technique_encoded,0.29231552519417475
material_compatibility,0.25672997984315854
power_w,0.12345994020303042
force_n,0.06508970332645216
tab_thickness_um,0.04957302777918442
time_ms,0.048152256223066174
preheat_temperature_c,0.04791362835426203
speed_mm_s,0.023252254941870748
pulse_frequency_hz,0.02217410250237226
surface_finish_encoded,0.016180575133857178
thermal_mismatch,0.01504879989423835
electrical_mismatch,0.014814709221104826
amplitude_um,0.01105115822868895
anode_material_encoded,0.0074487977690417895
cathode_material_encoded,0.006795541385497354
