Year,Region,High_Cost_Barrier_Percent,Lack_Technical_Skills_Percent,Poor_Infrastructure_Percent,Limited_Awareness_Percent,Regulatory_Constraints_Percent,Cultural_Resistance_Percent,Lack_Finance_Access_Percent,Cybersecurity_Concerns_Percent,Unreliable_Power_Supply_Percent,Poor_Internet_Connectivity_Percent,Lack_Government_Support_Percent,High_Tax_Burden_Percent,Limited_Market_Access_Percent,Competition_MNCs_Percent,Corruption_Bureaucracy_Percent
2015,South West,67.8,72.4,58.9,64.3,52.1,48.7,78.9,34.2,65.4,61.3,59.7,68.2,55.4,62.1,71.3
2015,South East,71.3,75.8,62.4,68.9,56.7,52.3,81.4,38.7,69.2,65.8,63.4,72.1,59.8,64.7,74.2
2015,South South,69.2,74.1,60.7,66.5,54.3,50.1,79.8,36.4,67.3,63.5,61.2,70.3,57.6,63.4,72.8
2015,North Central,73.6,77.9,66.8,71.2,60.1,56.8,83.2,42.1,73.8,69.7,67.8,74.9,63.4,67.9,76.5
2015,North West,78.4,82.3,72.9,76.8,66.7,63.4,87.6,47.9,79.4,75.3,73.2,79.8,69.1,72.6,81.2
2015,North East,81.7,85.6,76.3,80.2,71.2,68.9,90.3,52.4,83.1,79.6,77.9,83.4,73.8,76.3,84.7
2016,South West,66.2,70.8,56.7,62.1,50.3,46.9,77.2,32.8,63.7,59.4,57.9,66.5,53.7,60.3,69.7
2016,South East,69.8,74.1,60.3,66.7,54.9,50.5,79.7,37.2,67.5,63.9,61.6,70.4,57.9,62.9,72.6
2016,South South,67.6,72.4,58.5,64.3,52.5,48.3,78.1,34.9,65.6,61.6,59.4,68.6,55.8,61.6,71.2
2016,North Central,72.1,76.2,64.9,69.4,58.3,55.1,81.5,40.6,72.1,67.9,66.1,73.2,61.6,66.2,74.9
2016,North West,76.9,80.6,70.8,74.9,64.8,61.6,85.9,46.3,77.8,73.5,71.5,78.1,67.3,70.9,79.6
2016,North East,80.1,83.9,74.2,78.3,69.3,67.1,88.6,50.8,81.4,77.8,76.2,81.7,72.1,74.6,83.1
2017,South West,64.5,69.1,54.3,59.8,48.4,45.1,75.4,31.3,61.9,57.3,56.1,64.7,51.9,58.4,67.9
2017,South East,68.2,72.4,58.1,64.5,52.9,48.6,77.9,35.6,65.7,61.9,59.7,68.6,56.1,61.1,70.8
2017,South South,65.9,70.6,56.2,62.1,50.6,46.5,76.3,33.3,63.8,59.6,57.5,66.8,53.9,59.7,69.4
2017,North Central,70.4,74.5,62.8,67.5,56.4,53.3,79.7,38.9,70.3,66.1,64.3,71.4,59.7,64.4,73.2
2017,North West,75.3,78.9,68.6,73.1,62.8,59.7,84.1,44.6,76.1,71.6,69.7,76.3,65.4,69.1,77.9
2017,North East,78.5,82.1,72.1,76.4,67.3,65.2,86.8,49.1,79.6,76.1,74.4,79.9,70.3,72.8,81.4
2018,South West,62.7,67.3,51.8,57.4,46.3,43.2,73.5,29.7,59.9,55.1,54.2,62.8,49.9,56.5,66.1
2018,South East,66.5,70.6,55.8,62.2,50.9,46.7,75.9,33.9,63.8,59.8,57.8,66.7,54.2,59.2,68.9
2018,South South,64.1,68.8,53.9,59.8,48.6,44.6,74.4,31.7,61.9,57.5,55.6,64.9,51.9,57.8,67.5
2018,North Central,68.6,72.7,60.6,65.5,54.4,51.4,77.8,37.2,68.4,64.2,62.4,69.5,57.8,62.5,71.4
2018,North West,73.6,77.1,66.3,71.2,60.8,57.8,82.3,42.8,74.3,69.7,67.8,74.5,63.4,67.2,76.1
2018,North East,76.8,80.3,69.9,74.4,65.3,63.3,85.1,47.3,77.8,74.3,72.5,78.1,68.4,70.9,79.6
2019,South West,60.8,65.4,49.2,55.1,44.2,41.3,71.5,27.9,57.9,52.9,52.3,60.9,47.9,54.6,64.2
2019,South East,64.7,68.8,53.5,60.0,48.9,44.8,73.9,32.1,61.9,57.8,55.9,64.8,52.3,57.3,67.1
2019,South South,62.3,66.9,51.5,57.5,46.6,42.7,72.4,29.9,59.9,55.4,53.7,63.0,49.9,55.9,65.6
2019,North Central,66.8,70.9,58.3,63.5,52.4,49.5,75.9,35.4,66.5,62.3,60.5,67.6,55.9,60.6,69.6
2019,North West,71.8,75.3,64.1,69.3,58.8,55.9,80.4,41.0,72.4,67.8,65.9,72.6,61.4,65.3,74.3
2019,North East,75.1,78.5,67.6,72.5,63.3,61.4,83.3,45.5,76.0,72.4,70.6,76.3,66.4,69.0,77.8
2020,South West,59.1,63.6,47.3,53.2,42.4,39.5,69.7,26.3,56.1,51.1,50.5,59.1,46.1,52.8,62.4
2020,South East,63.0,67.0,51.3,58.1,47.0,43.0,72.0,30.4,60.0,56.0,54.1,63.0,50.5,55.5,65.3
2020,South South,60.5,64.9,49.3,55.4,44.7,40.9,70.5,28.2,58.0,53.4,51.9,61.2,48.0,54.1,63.8
2020,North Central,65.0,68.9,56.1,61.6,50.5,47.7,74.0,33.6,64.6,60.4,58.6,65.7,54.0,58.7,67.8
2020,North West,70.0,73.4,61.8,67.4,56.9,54.1,78.5,39.2,70.5,65.9,64.0,70.7,59.5,63.5,72.5
2020,North East,73.3,76.7,65.3,70.5,61.3,59.5,81.5,43.7,74.1,70.5,68.7,74.4,64.5,67.1,76.0
2021,South West,57.3,61.7,45.2,51.2,40.5,37.7,67.8,24.6,54.2,49.2,48.6,57.2,44.2,50.9,60.5
2021,South East,61.2,65.1,49.0,56.1,45.0,41.1,70.0,28.6,58.0,54.0,52.2,61.1,48.6,53.6,63.4
2021,South South,58.7,63.0,47.0,53.3,42.7,39.0,68.5,26.4,56.0,51.4,49.9,59.3,46.0,52.2,62.0
2021,North Central,63.1,66.9,53.8,59.6,48.5,45.8,72.0,31.7,62.6,58.4,56.7,63.8,52.0,56.8,65.9
2021,North West,68.1,71.5,59.5,65.4,54.9,52.2,76.6,37.3,68.5,63.9,62.1,68.8,57.5,61.6,70.6
2021,North East,71.4,74.8,63.0,68.5,59.3,57.6,79.6,41.8,72.2,68.5,66.8,72.5,62.5,65.2,74.1
2022,South West,55.4,59.8,43.0,49.1,38.5,35.8,65.8,22.8,52.3,47.2,46.7,55.3,42.2,48.9,58.6
2022,South East,59.3,63.2,46.7,54.1,42.9,39.2,68.0,26.7,56.0,52.0,50.3,59.2,46.6,51.7,61.5
2022,South South,56.8,61.0,44.7,51.2,40.7,37.1,66.5,24.5,54.0,49.4,47.9,57.4,44.0,50.3,60.1
