Year,GDP_Growth_Rate_Percent,Inflation_Rate_Percent,Lending_Interest_Rate_Percent,Ease_of_Doing_Business_Score,Ease_of_Doing_Business_Rank,Real_GDP_Billion_USD,GDP_Per_Capita_USD,Unemployment_Rate_Percent,Exchange_Rate_NGN_USD,Foreign_Direct_Investment_Million_USD
2015,2.65,9.02,16.85,52.68,170,481.07,2688.13,9.0,193.28,3064
2016,-1.62,15.68,16.87,51.92,169,404.65,2175.98,13.9,253.49,4449
2017,0.81,16.52,17.58,51.31,145,375.77,1968.56,16.2,305.79,3503
2018,1.91,12.09,16.89,52.89,146,397.27,2028.18,23.1,306.92,2009
2019,2.21,11.40,16.09,54.12,131,448.12,2229.86,23.1,306.92,3277
2020,-1.79,13.25,11.72,56.88,131,432.29,2097.09,33.3,358.81,700
2021,3.65,16.98,11.61,59.23,131,440.78,2085.31,33.3,381.58,4818
2022,3.25,18.76,14.28,60.45,131,477.39,2184.07,33.3,435.08,5330
2023,2.92,24.53,18.84,61.27,131,362.82,1621.12,37.7,751.42,1872
2024,3.19,22.41,21.89,62.15,127,395.48,1739.29,40.6,845.23,2450
