anode_material,cathode_material,bond_quality_index_mean,bond_quality_index_std,performance_score_mean,performance_score_std,fatigue_life_cycles_mean,fatigue_life_cycles_std,reliability_95_percent_mean,reliability_95_percent_std
Aluminum,Copper,79.8,3.64,88.86,7.59,3781.54,5050.24,0.86,0.18
Aluminum,Nickel,79.72,3.6,88.34,7.55,3711.12,4908.11,0.86,0.18
Aluminum,Steel,79.94,3.47,89.11,7.2,3903.76,4768.0,0.87,0.17
Aluminum,Titanium,79.56,3.52,88.36,7.88,3653.33,4644.69,0.86,0.18
Copper,Aluminum,79.76,3.45,88.71,7.55,3883.65,5321.48,0.87,0.18
Copper,Nickel,79.76,3.48,88.72,7.51,3460.37,4348.94,0.87,0.17
Copper,Steel,79.77,3.38,88.31,7.77,3623.98,4915.41,0.86,0.18
Copper,Titanium,79.95,3.61,88.44,7.61,3861.44,4687.99,0.86,0.18
Nickel,Aluminum,79.82,3.39,88.09,7.67,3781.95,4778.26,0.85,0.19
Nickel,Copper,79.51,3.64,88.9,7.4,3568.07,4338.41,0.87,0.17
Nickel,Steel,79.4,3.59,88.0,7.72,3867.44,5011.16,0.85,0.19
Nickel,Titanium,79.59,3.45,88.23,7.82,3613.55,4470.13,0.86,0.18
Steel,Aluminum,79.52,3.58,88.19,7.72,3633.82,4745.71,0.85,0.19
Steel,Copper,79.74,3.57,88.01,8.0,3884.18,5042.28,0.86,0.18
Steel,Nickel,79.36,3.6,88.7,7.54,4079.09,4986.86,0.86,0.18
Steel,Titanium,79.72,3.45,89.29,6.98,3982.03,5054.47,0.88,0.16
Titanium,Aluminum,79.53,3.41,88.33,7.8,3705.72,4829.44,0.86,0.18
Titanium,Copper,79.65,3.39,88.9,7.28,3650.88,4714.67,0.87,0.17
Titanium,Nickel,79.47,3.66,88.12,7.72,3146.75,3665.5,0.85,0.18
Titanium,Steel,79.52,3.35,88.61,7.39,3876.26,5087.6,0.86,0.18
