Location,State,Climate_Zone,Average_Temperature_C,Humidity_%,Dust_Level_mg_m3,Altitude_m,Grid_Frequency_Hz,Grid_Voltage_V,Grid_Stability_Rating,Power_Outage_Hours_per_Month,Fuel_Availability,Infrastructure_Quality,Maintenance_Access,Corrosion_Risk,Ambient_Air_Quality,Cooling_Requirements,SOFC_Suitability_Score,Recommended_SOFC_Type,Special_Requirements
Lagos,Lagos,Tropical_Coastal,28.5,85,0.15,10,50,240,Poor,120,High,Good,Good,Very_High,Poor,High,6.5,Micro_Tubular,Marine_Grade_Materials_Enhanced_Cooling
Abuja,FCT,Guinea_Savanna,26.8,70,0.08,840,50,240,Fair,80,Medium,Good,Good,Medium,Fair,Medium,7.2,Planar_Anode_Supported,Dust_Filtration_System
Kano,Kano,Sudan_Savanna,28.2,45,0.25,472,50,240,Poor,150,Medium,Fair,Fair,Low,Poor,High,5.8,Tubular_Cathode_Supported,Heavy_Dust_Protection_Enhanced_Filtration
Port_Harcourt,Rivers,Tropical_Rainforest,27.9,88,0.12,20,50,240,Poor,140,High,Good,Good,Very_High,Poor,High,6.2,Metal_Supported,Corrosion_Resistant_Coatings
Kaduna,Kaduna,Guinea_Savanna,25.4,65,0.18,645,50,240,Fair,100,Medium,Fair,Fair,Medium,Fair,Medium,6.8,Planar_Anode_Supported,Moderate_Dust_Protection
Ibadan,Oyo,Forest_Savanna,26.7,78,0.10,200,50,240,Fair,90,Medium,Good,Good,High,Fair,Medium,7.0,Planar_Anode_Supported,Humidity_Control_Systems
Benin_City,Edo,Tropical_Rainforest,27.2,82,0.11,78,50,240,Poor,110,High,Good,Good,High,Fair,Medium,6.8,Planar_Metal_Supported,Humidity_Resistant_Design
Jos,Plateau,Highland_Savanna,22.1,58,0.06,1217,50,240,Fair,70,Low,Fair,Fair,Low,Good,Low,7.8,Planar_Anode_Supported,High_Altitude_Optimization
Maiduguri,Borno,Sahel_Savanna,29.8,35,0.45,354,50,240,Very_Poor,180,Low,Poor,Poor,Low,Very_Poor,Very_High,4.2,Tubular_Cathode_Supported,Extreme_Dust_Protection_Sand_Filtration
Enugu,Enugu,Forest_Savanna,25.9,75,0.09,142,50,240,Fair,85,Medium,Good,Good,Medium,Fair,Medium,7.1,Planar_Anode_Supported,Standard_Protection
Warri,Delta,Tropical_Coastal,28.1,86,0.13,8,50,240,Poor,130,Very_High,Good,Good,Very_High,Poor,High,6.4,Micro_Tubular,Marine_Environment_Protection
Calabar,Cross_River,Tropical_Coastal,27.6,84,0.11,62,50,240,Poor,125,Medium,Good,Good,Very_High,Fair,High,6.6,Planar_Metal_Supported,Coastal_Corrosion_Protection
Sokoto,Sokoto,Sudan_Savanna,30.2,40,0.35,350,50,240,Poor,160,Low,Poor,Poor,Low,Poor,Very_High,4.8,Tubular_Cathode_Supported,Extreme_Heat_Dust_Protection
Yola,Adamawa,Sudan_Savanna,29.5,50,0.28,185,50,240,Poor,145,Low,Poor,Fair,Low,Poor,High,5.2,Tubular_Cathode_Supported,High_Temperature_Operation
Bauchi,Bauchi,Sudan_Savanna,27.8,48,0.22,609,50,240,Fair,120,Low,Fair,Fair,Low,Fair,High,6.0,Planar_Anode_Supported,Dust_Heat_Protection
Ilorin,Kwara,Guinea_Savanna,26.5,68,0.14,307,50,240,Fair,95,Medium,Good,Good,Medium,Fair,Medium,6.9,Planar_Anode_Supported,Standard_Savanna_Protection
Akure,Ondo,Forest_Savanna,26.8,79,0.10,370,50,240,Fair,88,Medium,Good,Good,High,Fair,Medium,7.0,Planar_Anode_Supported,Forest_Humidity_Control
Owerri,Imo,Tropical_Rainforest,26.9,81,0.09,91,50,240,Poor,105,Medium,Good,Good,High,Fair,Medium,6.9,Planar_Metal_Supported,Rainforest_Adaptation
