Date,Peak_Generation_MW,Off_Peak_Generation_MW,Average_Daily_Generation_MW,Total_Generation_MWh,Peak_Demand_MW,Energy_Sent_Out_MWh,Grid_Frequency_Hz,System_Collapse_Events,Gas_Constraint_MW,Water_Management_MW,Grid_Constraint_MW,Distribution_Constraint_MW
2024-01-01,4523,3245,3884,93216,7850,89234,49.95,0,1245,320,450,1320
2024-01-02,4678,3412,4045,97080,8120,92865,50.02,0,1189,285,380,1245
2024-01-03,4521,3398,3959,95016,8045,90890,49.98,0,1298,310,420,1380
2024-01-04,4712,3567,4139,99336,8235,95124,50.01,0,1156,295,365,1210
2024-01-05,4598,3445,4021,96504,8165,92340,49.97,0,1234,330,410,1285
2024-01-06,4234,3123,3678,88272,7920,84456,49.92,0,1567,425,520,1645
2024-01-07,4156,3056,3606,86544,7845,82780,49.89,0,1623,445,565,1720
2024-01-08,4789,3623,4206,100944,8350,96703,50.03,0,1087,265,340,1145
2024-01-09,4823,3698,4260,102240,8425,97988,50.04,0,1045,245,315,1098
2024-01-10,4756,3612,4184,100416,8298,96140,50.01,0,1112,275,355,1167
2024-01-11,4634,3498,4066,97584,8178,93425,49.99,0,1201,310,395,1254
2024-01-12,4512,3387,3949,94776,8056,90678,49.96,0,1289,340,435,1367
2024-01-13,4298,3178,3738,89712,7965,85834,49.93,0,1498,410,495,1589
2024-01-14,4189,3089,3639,87336,7892,83590,49.90,0,1587,440,545,1678
2024-01-15,4867,3712,4289,102936,8475,98653,50.05,0,998,235,305,1045
2024-02-01,4745,3589,4167,100008,8312,95767,50.02,0,1134,280,360,1189
2024-02-02,4689,3534,4111,98664,8245,94456,50.00,0,1178,295,385,1234
2024-02-03,4612,3476,4044,97056,8189,92900,49.98,0,1223,315,410,1287
2024-02-04,4534,3412,3973,95352,8123,91278,49.95,0,1276,335,440,1345
2024-02-05,4723,3598,4160,99840,8289,95634,50.01,0,1145,285,370,1198
2024-03-01,4801,3645,4223,101352,8367,97129,50.03,0,1078,260,335,1123
2024-03-02,4756,3601,4178,100272,8323,96010,50.02,0,1112,275,355,1167
2024-03-03,4689,3545,4117,98808,8256,94590,50.00,0,1165,290,380,1223
2024-03-04,4623,3489,4056,97344,8198,93156,49.98,0,1212,310,405,1278
2024-03-05,4845,3689,4267,102408,8445,98170,50.04,0,1023,245,315,1067
2024-04-01,4678,3534,4106,98544,8234,94389,50.00,0,1189,295,385,1245
2024-04-02,4723,3576,4149,99576,8278,95378,50.01,0,1156,285,370,1210
2024-04-03,4598,3445,4021,96504,8165,92340,49.97,0,1234,330,410,1285
2024-04-04,4512,3398,3955,94920,8067,90812,49.96,0,1278,340,430,1356
2024-04-05,4789,3612,4200,100800,8345,96552,50.03,0,1098,270,345,1156
2024-05-01,4823,3667,4245,101880,8412,97601,50.04,0,1067,255,330,1112
2024-05-02,4756,3598,4177,100248,8323,96000,50.02,0,1123,280,360,1178
2024-05-03,4689,3534,4111,98664,8245,94456,50.00,0,1178,295,385,1234
2024-05-04,4612,3467,4039,96936,8178,92790,49.98,0,1234,315,410,1298
2024-05-05,4845,3689,4267,102408,8445,98170,50.04,0,1023,245,315,1067
2024-06-01,4712,3556,4134,99216,8267,95036,50.01,0,1167,290,375,1223
2024-06-02,4678,3523,4100,98400,8234,94224,50.00,0,1189,295,385,1245
2024-06-03,4598,3456,4027,96648,8156,92539,49.97,0,1245,325,415,1298
2024-06-04,4523,3389,3956,94944,8078,90880,49.96,0,1289,340,435,1367
2024-06-05,4789,3623,4206,100944,8350,96703,50.03,0,1087,265,340,1145
2024-07-01,4823,3678,4250,102000,8423,97740,50.04,0,1056,250,325,1098
2024-07-02,4756,3612,4184,100416,8298,96140,50.01,0,1112,275,355,1167
2024-07-03,4689,3545,4117,98808,8256,94590,50.00,0,1165,290,380,1223
2024-07-04,4612,3478,4045,97080,8189,92865,49.98,0,1223,315,410,1287
2024-07-05,4867,3712,4289,102936,8475,98653,50.05,0,998,235,305,1045
2024-08-01,4801,3656,4228,101472,8378,97253,50.03,0,1089,265,340,1134
2024-08-02,4745,3598,4171,100104,8323,95878,50.02,0,1123,280,360,1178
2024-08-03,4678,3534,4106,98544,8234,94389,50.00,0,1178,295,385,1234
2024-08-04,4612,3467,4039,96936,8178,92790,49.98,0,1234,315,410,1298
2024-08-05,4845,3701,4273,102552,8456,98348,50.04,0,1012,240,310,1056
2024-09-01,4789,3623,4206,100944,8350,96703,50.03,0,1087,265,340,1145
2024-09-02,4723,3576,4149,99576,8278,95378,50.01,0,1156,285,370,1210
2024-09-03,4656,3512,4084,98016,8212,93855,49.99,0,1201,300,390,1256
2024-09-04,4589,3445,4017,96408,8145,92310,49.97,0,1256,325,420,1323
2024-09-05,4812,3667,4239,101736,8401,97465,50.04,0,1078,255,330,1123
2024-10-01,4845,3689,4267,102408,8445,98170,50.04,0,1023,245,315,1067
2024-10-02,4778,3612,4195,100680,8334,96451,50.02,0,1098,270,350,1145
2024-10-03,4712,3556,4134,99216,8267,95036,50.01,0,1167,290,375,1223
