Distribution_Company,Customer_Class,Tariff_Class,Fixed_Charge_NGN,Energy_Charge_NGN_per_kWh,Monthly_Service_Charge_NGN,Minimum_Monthly_Charge_NGN,Peak_Rate_NGN_per_kWh,Off_Peak_Rate_NGN_per_kWh,VAT_Percent,Effective_Date,Subsidy_Percent
Ikeja_Electric,Residential,R1_Single_Phase,750,68.00,1200,2500,0,0,7.5,2024-01-01,0
Ikeja_Electric,Residential,R2_Single_Phase,1000,82.50,1500,3500,0,0,7.5,2024-01-01,0
Ikeja_Electric,Residential,R3_Three_Phase,1500,95.00,2000,5000,0,0,7.5,2024-01-01,0
Ikeja_Electric,Commercial,C1_Single_Phase,2000,105.00,3000,8000,0,0,7.5,2024-01-01,0
Ikeja_Electric,Commercial,C2_Three_Phase,3500,120.00,5000,15000,0,0,7.5,2024-01-01,0
Ikeja_Electric,Commercial,C3_Maximum_Demand,5000,135.00,8000,25000,155.00,115.00,7.5,2024-01-01,0
Ikeja_Electric,Industrial,D1_LV_Maximum_Demand,8000,95.00,12000,40000,110.00,80.00,7.5,2024-01-01,0
Ikeja_Electric,Industrial,D2_HV_Maximum_Demand,15000,78.00,25000,75000,92.00,64.00,7.5,2024-01-01,0
Ikeja_Electric,Industrial,D3_EHV_Maximum_Demand,25000,65.00,40000,125000,78.00,52.00,7.5,2024-01-01,0
Ikeja_Electric,Special,A1_Street_Lighting,500,85.00,1000,3000,0,0,7.5,2024-01-01,50
Eko_Electric,Residential,R1_Single_Phase,750,70.00,1200,2500,0,0,7.5,2024-01-01,0
Eko_Electric,Residential,R2_Single_Phase,1000,85.00,1500,3500,0,0,7.5,2024-01-01,0
Eko_Electric,Residential,R3_Three_Phase,1500,98.00,2000,5000,0,0,7.5,2024-01-01,0
Eko_Electric,Commercial,C1_Single_Phase,2000,108.00,3000,8000,0,0,7.5,2024-01-01,0
Eko_Electric,Commercial,C2_Three_Phase,3500,123.00,5000,15000,0,0,7.5,2024-01-01,0
Eko_Electric,Commercial,C3_Maximum_Demand,5000,138.00,8000,25000,158.00,118.00,7.5,2024-01-01,0
Eko_Electric,Industrial,D1_LV_Maximum_Demand,8000,98.00,12000,40000,113.00,83.00,7.5,2024-01-01,0
Eko_Electric,Industrial,D2_HV_Maximum_Demand,15000,80.00,25000,75000,95.00,65.00,7.5,2024-01-01,0
Eko_Electric,Industrial,D3_EHV_Maximum_Demand,25000,68.00,40000,125000,82.00,54.00,7.5,2024-01-01,0
Eko_Electric,Special,A1_Street_Lighting,500,88.00,1000,3000,0,0,7.5,2024-01-01,50
Ibadan_Electric,Residential,R1_Single_Phase,750,65.00,1200,2500,0,0,7.5,2024-01-01,0
Ibadan_Electric,Residential,R2_Single_Phase,1000,78.00,1500,3500,0,0,7.5,2024-01-01,0
Ibadan_Electric,Residential,R3_Three_Phase,1500,90.00,2000,5000,0,0,7.5,2024-01-01,0
Ibadan_Electric,Commercial,C1_Single_Phase,2000,98.00,3000,8000,0,0,7.5,2024-01-01,0
Ibadan_Electric,Commercial,C2_Three_Phase,3500,112.00,5000,15000,0,0,7.5,2024-01-01,0
Ibadan_Electric,Commercial,C3_Maximum_Demand,5000,125.00,8000,25000,142.00,108.00,7.5,2024-01-01,0
Ibadan_Electric,Industrial,D1_LV_Maximum_Demand,8000,88.00,12000,40000,102.00,74.00,7.5,2024-01-01,0
Ibadan_Electric,Industrial,D2_HV_Maximum_Demand,15000,72.00,25000,75000,85.00,59.00,7.5,2024-01-01,0
Ibadan_Electric,Industrial,D3_EHV_Maximum_Demand,25000,60.00,40000,125000,72.00,48.00,7.5,2024-01-01,0
Abuja_Electric,Residential,R1_Single_Phase,750,72.00,1200,2500,0,0,7.5,2024-01-01,0
Abuja_Electric,Residential,R2_Single_Phase,1000,88.00,1500,3500,0,0,7.5,2024-01-01,0
Abuja_Electric,Residential,R3_Three_Phase,1500,102.00,2000,5000,0,0,7.5,2024-01-01,0
Abuja_Electric,Commercial,C1_Single_Phase,2000,112.00,3000,8000,0,0,7.5,2024-01-01,0
Abuja_Electric,Commercial,C2_Three_Phase,3500,128.00,5000,15000,0,0,7.5,2024-01-01,0
Abuja_Electric,Commercial,C3_Maximum_Demand,5000,145.00,8000,25000,165.00,125.00,7.5,2024-01-01,0
Abuja_Electric,Industrial,D1_LV_Maximum_Demand,8000,102.00,12000,40000,118.00,86.00,7.5,2024-01-01,0
Abuja_Electric,Industrial,D2_HV_Maximum_Demand,15000,85.00,25000,75000,100.00,70.00,7.5,2024-01-01,0
Abuja_Electric,Industrial,D3_EHV_Maximum_Demand,25000,72.00,40000,125000,88.00,56.00,7.5,2024-01-01,0
Enugu_Electric,Residential,R1_Single_Phase,750,63.00,1200,2500,0,0,7.5,2024-01-01,0
Enugu_Electric,Residential,R2_Single_Phase,1000,75.00,1500,3500,0,0,7.5,2024-01-01,0
Enugu_Electric,Residential,R3_Three_Phase,1500,88.00,2000,5000,0,0,7.5,2024-01-01,0
Enugu_Electric,Commercial,C1_Single_Phase,2000,95.00,3000,8000,0,0,7.5,2024-01-01,0
Enugu_Electric,Commercial,C2_Three_Phase,3500,108.00,5000,15000,0,0,7.5,2024-01-01,0
Enugu_Electric,Commercial,C3_Maximum_Demand,5000,122.00,8000,25000,138.00,106.00,7.5,2024-01-01,0
Enugu_Electric,Industrial,D1_LV_Maximum_Demand,8000,85.00,12000,40000,98.00,72.00,7.5,2024-01-01,0
Enugu_Electric,Industrial,D2_HV_Maximum_Demand,15000,70.00,25000,75000,82.00,58.00,7.5,2024-01-01,0
Enugu_Electric,Industrial,D3_EHV_Maximum_Demand,25000,58.00,40000,125000,70.00,46.00,7.5,2024-01-01,0
Port_Harcourt_Electric,Residential,R1_Single_Phase,750,68.00,1200,2500,0,0,7.5,2024-01-01,0
Port_Harcourt_Electric,Residential,R2_Single_Phase,1000,82.00,1500,3500,0,0,7.5,2024-01-01,0
Port_Harcourt_Electric,Residential,R3_Three_Phase,1500,96.00,2000,5000,0,0,7.5,2024-01-01,0
Port_Harcourt_Electric,Commercial,C1_Single_Phase,2000,105.00,3000,8000,0,0,7.5,2024-01-01,0
Port_Harcourt_Electric,Commercial,C2_Three_Phase,3500,118.00,5000,15000,0,0,7.5,2024-01-01,0
Port_Harcourt_Electric,Commercial,C3_Maximum_Demand,5000,132.00,8000,25000,150.00,114.00,7.5,2024-01-01,0
Port_Harcourt_Electric,Industrial,D1_LV_Maximum_Demand,8000,92.00,12000,40000,106.00,78.00,7.5,2024-01-01,0
Port_Harcourt_Electric,Industrial,D2_HV_Maximum_Demand,15000,76.00,25000,75000,90.00,62.00,7.5,2024-01-01,0
Port_Harcourt_Electric,Industrial,D3_EHV_Maximum_Demand,25000,63.00,40000,125000,76.00,50.00,7.5,2024-01-01,0
Kano_Electric,Residential,R1_Single_Phase,750,60.00,1200,2500,0,0,7.5,2024-01-01,0
Kano_Electric,Residential,R2_Single_Phase,1000,72.00,1500,3500,0,0,7.5,2024-01-01,0
Kano_Electric,Residential,R3_Three_Phase,1500,85.00,2000,5000,0,0,7.5,2024-01-01,0
Kano_Electric,Commercial,C1_Single_Phase,2000,92.00,3000,8000,0,0,7.5,2024-01-01,0
Kano_Electric,Commercial,C2_Three_Phase,3500,105.00,5000,15000,0,0,7.5,2024-01-01,0
Kano_Electric,Commercial,C3_Maximum_Demand,5000,118.00,8000,25000,135.00,101.00,7.5,2024-01-01,0
Kano_Electric,Industrial,D1_LV_Maximum_Demand,8000,82.00,12000,40000,95.00,69.00,7.5,2024-01-01,0
