State,Region,Year,SAIDI_Hours,SAIFI_Events,Average_Outage_Duration_Hours,Total_Customers,Grid_Coverage_Percent,Off_Grid_Population_Percent,Backup_Generator_Penetration_Percent,Estimated_Outage_Cost_Million_USD
Lagos,South West,2024,2840,156,18.2,3245000,78.5,21.5,68.4,1245.6
Kano,North West,2024,4235,198,21.4,1567000,52.3,47.7,45.2,567.8
Rivers,South South,2024,3120,178,17.5,1890000,65.8,34.2,72.3,892.4
Abuja FCT,North Central,2024,2340,142,16.5,1234000,85.6,14.4,75.8,456.7
Oyo,South West,2024,3456,186,18.6,1456000,61.2,38.8,52.6,678.9
Kaduna,North West,2024,3890,192,20.3,1345000,58.4,41.6,48.7,623.4
Anambra,South East,2024,3678,189,19.5,1123000,59.7,40.3,55.3,534.2
Delta,South South,2024,3245,182,17.8,1078000,63.4,36.6,68.9,512.3
Ogun,South West,2024,2980,168,17.7,1234000,68.9,31.1,61.2,589.6
Enugu,South East,2024,3512,185,19.0,987000,60.5,39.5,53.8,467.8
Edo,South South,2024,3156,176,17.9,1045000,64.2,35.8,66.7,498.7
Katsina,North West,2024,4678,215,21.8,1189000,48.9,51.1,38.6,445.6
Ondo,South West,2024,3789,194,19.5,876000,57.3,42.7,49.8,412.3
Kwara,North Central,2024,3567,188,19.0,798000,59.8,40.2,51.2,378.9
Akwa Ibom,South South,2024,2890,165,17.5,945000,67.8,32.2,70.4,456.3
Imo,South East,2024,3678,190,19.4,823000,58.6,41.4,54.2,389.7
Abia,South East,2024,3456,187,18.5,756000,60.1,39.9,56.1,356.8
Benue,North Central,2024,4012,201,20.0,823000,54.7,45.3,44.5,367.4
Niger,North Central,2024,3867,196,19.7,689000,56.2,43.8,46.8,325.6
Bauchi,North East,2024,4567,212,21.5,756000,49.8,50.2,39.7,334.5
Plateau,North Central,2024,3789,193,19.6,645000,57.5,42.5,48.3,298.7
Cross River,South South,2024,3234,179,18.1,712000,63.8,36.2,64.5,337.8
Osun,South West,2024,3456,186,18.6,689000,60.8,39.2,50.9,325.4
Bayelsa,South South,2024,2978,171,17.4,456000,66.5,33.5,69.8,215.6
Kogi,North Central,2024,3812,194,19.7,598000,56.9,43.1,47.6,283.4
Sokoto,North West,2024,4456,209,21.3,634000,50.4,49.6,40.2,287.9
Adamawa,North East,2024,4389,207,21.2,567000,51.2,48.8,41.3,256.7
Gombe,North East,2024,4523,211,21.4,489000,50.1,49.9,39.8,221.4
Taraba,North East,2024,4678,216,21.7,423000,48.5,51.5,37.9,189.3
Zamfara,North West,2024,4789,219,21.9,398000,47.2,52.8,36.4,176.8
Borno,North East,2024,5234,238,22.0,512000,43.6,56.4,32.1,218.9
Yobe,North East,2024,5012,232,21.6,378000,45.3,54.7,33.8,167.4
Jigawa,North West,2024,4567,214,21.3,456000,49.5,50.5,38.9,201.2
Kebbi,North West,2024,4456,210,21.2,398000,50.2,49.8,39.4,175.6
Nasarawa,North Central,2024,3678,191,19.3,423000,58.9,41.1,49.6,198.7
Ekiti,South West,2024,3567,188,19.0,398000,59.4,40.6,50.3,186.4
Ebonyi,South East,2024,3789,194,19.5,356000,57.8,42.2,48.9,167.2
