State,Region,Diesel_Retail_Price_NGN_per_Litre,Petrol_Retail_Price_NGN_per_Litre,Kerosene_Price_NGN_per_Litre,LPG_Price_NGN_per_kg,CNG_Price_NGN_per_scm,Distance_from_Depot_km,Transport_Premium_Percent,Black_Market_Diesel_Premium_Percent,Scarcity_Frequency_Days_per_Month,Price_Updated_Date
Lagos,South West,1250,617,950,1180,230,0,0.0,15,2,2024-10-15
Ogun,South West,1280,625,970,1200,238,45,2.4,18,3,2024-10-15
Oyo,South West,1295,632,985,1215,245,128,3.6,20,4,2024-10-15
Osun,South West,1310,638,995,1225,252,165,4.8,22,5,2024-10-15
Ondo,South West,1305,635,990,1220,248,142,4.4,21,4,2024-10-15
Ekiti,South West,1325,645,1005,1235,258,198,6.0,24,6,2024-10-15
Rivers,South South,1270,622,965,1195,235,48,1.6,17,2,2024-10-15
Delta,South South,1275,623,968,1198,236,52,2.0,17,3,2024-10-15
Bayelsa,South South,1285,628,975,1205,240,85,2.8,19,4,2024-10-15
Edo,South South,1290,630,980,1210,242,112,3.2,20,4,2024-10-15
Cross River,South South,1315,640,1000,1230,250,225,5.2,23,6,2024-10-15
Akwa Ibom,South South,1295,632,985,1215,245,168,4.0,21,4,2024-10-15
Abuja FCT,North Central,1265,620,960,1190,233,12,0.4,16,2,2024-10-15
Niger,North Central,1280,625,970,1200,238,78,2.4,18,3,2024-10-15
Kwara,North Central,1290,630,980,1210,242,156,3.2,20,4,2024-10-15
Kogi,North Central,1285,628,975,1205,240,124,2.8,19,4,2024-10-15
Benue,North Central,1305,635,990,1220,248,285,4.4,21,5,2024-10-15
Plateau,North Central,1320,643,1000,1233,255,412,5.6,23,6,2024-10-15
Nasarawa,North Central,1275,623,968,1198,236,68,2.0,17,3,2024-10-15
Anambra,South East,1300,633,988,1218,246,342,4.0,21,5,2024-10-15
Enugu,South East,1295,632,985,1215,245,298,3.6,20,4,2024-10-15
Ebonyi,South East,1325,645,1005,1235,258,385,6.0,24,6,2024-10-15
Abia,South East,1310,638,995,1225,252,368,4.8,22,5,2024-10-15
Imo,South East,1305,635,990,1220,248,325,4.4,21,5,2024-10-15
Kano,North West,1335,650,1015,1245,265,756,6.8,26,7,2024-10-15
Kaduna,North West,1320,643,1000,1233,255,523,5.6,23,6,2024-10-15
Katsina,North West,1350,658,1025,1258,272,892,8.0,28,8,2024-10-15
Jigawa,North West,1355,660,1030,1263,275,845,8.4,29,8,2024-10-15
Sokoto,North West,1375,670,1045,1278,285,1024,10.0,32,9,2024-10-15
Kebbi,North West,1365,665,1038,1270,280,968,9.2,30,9,2024-10-15
Zamfara,North West,1360,663,1035,1268,278,856,8.8,30,8,2024-10-15
Bauchi,North East,1340,653,1018,1250,268,689,7.2,27,7,2024-10-15
Gombe,North East,1345,655,1020,1253,270,734,7.6,27,7,2024-10-15
Borno,North East,1395,685,1065,1295,298,1245,11.6,35,11,2024-10-15
Yobe,North East,1385,678,1055,1285,292,1156,10.8,34,10,2024-10-15
Adamawa,North East,1355,660,1030,1263,275,878,8.4,29,8,2024-10-15
Taraba,North East,1350,658,1025,1258,272,812,8.0,28,8,2024-10-15
