Year,Proven_Gas_Reserves_Tcf,Probable_Reserves_Tcf,Possible_Reserves_Tcf,Total_Gas_Production_Bcf_per_Year,Marketed_Production_Bcf_per_Year,Gas_Flared_Bcf_per_Year,Gas_Reinjected_Bcf_per_Year,Domestic_Gas_Supply_Bcf_per_Year,Gas_Export_LNG_Bcf_per_Year,Associated_Gas_Percent,Non_Associated_Gas_Percent,Reserves_to_Production_Ratio_Years
2015,192.5,45.8,68.3,1678.2,1234.5,289.7,154.0,456.8,334.0,72.3,27.7,114.7
2016,193.2,46.2,69.1,1723.4,1268.9,302.1,152.4,478.3,336.1,71.8,28.2,112.1
2017,195.8,47.1,70.4,1756.8,1302.4,298.6,155.8,501.2,346.8,71.2,28.8,111.4
2018,198.7,48.5,72.3,1802.3,1345.7,293.4,163.2,532.6,356.5,70.5,29.5,110.2
2019,200.9,49.8,74.1,1834.6,1378.9,287.2,168.5,561.3,362.1,69.8,30.2,109.5
2020,201.2,50.2,74.8,1698.4,1289.5,259.8,149.1,542.8,337.8,69.2,30.8,117.9
2021,203.5,51.4,76.5,1789.6,1356.7,272.1,160.8,578.9,345.1,68.5,31.5,113.7
2022,206.8,53.1,79.2,1876.3,1432.8,281.4,162.1,623.4,365.9,67.8,32.2,110.3
2023,209.4,54.6,81.7,1945.2,1498.6,289.7,156.9,671.2,380.8,67.1,32.9,107.6
2024,210.7,55.3,82.9,2012.8,1567.4,292.3,153.1,735.6,386.4,66.4,33.6,104.7
