state,year,crop,crop_production_tonnes,residue_production_tonnes,dry_residue_tonnes,energy_content_mj_per_kg,moisture_content,energy_potential_gj,biogas_potential_m3,electricity_potential_kwh
Abia,2020,rice,32490.8,48736.2,41425.77,15.5,0.15,642.1,8285154.61,16570309.21
Abia,2020,maize,51985.28,62382.34,54896.46,17.2,0.12,944.22,10979291.94,21958583.88
Abia,2020,sorghum,19494.48,25342.83,21794.83,16.8,0.14,366.15,4358966.05,8717932.09
Abia,2020,millet,12996.32,14295.95,12437.48,16.5,0.13,205.22,2487495.83,4974991.66
Abia,2020,cassava,64981.6,51985.28,41588.23,14.2,0.2,590.55,8317645.41,16635290.82
Abia,2020,yam,38988.96,23393.38,19182.57,13.8,0.18,264.72,3836513.94,7673027.89
Abia,2020,sweet_potato,9747.24,6823.07,5731.38,14.5,0.16,83.1,1146275.51,2292551.02
Abia,2020,cocoa,6498.16,12996.32,11696.69,18.5,0.1,216.39,2339337.77,4678675.54
Abia,2020,groundnut,16245.4,29241.72,26902.38,17.8,0.08,478.86,5380476.87,10760953.75
Abia,2020,soybean,9747.24,15595.59,13880.07,17.0,0.11,235.96,2776014.16,5552028.31
Abia,2020,sugarcane,3249.08,974.72,731.04,19.2,0.25,14.04,146208.61,292417.22
Abia,2020,cotton,5198.53,11436.76,10064.35,16.0,0.12,161.03,2012870.19,4025740.38
Abia,2020,palm_oil,12996.32,12996.32,11046.87,20.5,0.15,226.46,2209374.56,4418749.12
Abia,2021,rice,44894.57,67341.86,57240.58,15.5,0.15,887.23,11448115.82,22896231.64
Abia,2021,maize,71831.31,86197.58,75853.87,17.2,0.12,1304.69,15170773.72,30341547.44
Abia,2021,sorghum,26936.74,35017.77,30115.28,16.8,0.14,505.94,6023055.76,12046111.52
Abia,2021,millet,17957.83,19753.61,17185.64,16.5,0.13,283.56,3437128.42,6874256.84
Abia,2021,cassava,89789.14,71831.31,57465.05,14.2,0.2,816.0,11493010.39,22986020.79
Abia,2021,yam,53873.49,32324.09,26505.76,13.8,0.18,365.78,5301151.04,10602302.09
Abia,2021,sweet_potato,13468.37,9427.86,7919.4,14.5,0.16,114.83,1583880.49,3167760.99
Abia,2021,cocoa,8978.91,17957.83,16162.05,18.5,0.1,299.0,3232409.17,6464818.35
Abia,2021,groundnut,22447.29,40405.11,37172.71,17.8,0.08,661.67,7434541.1,14869082.2
Abia,2021,soybean,13468.37,21549.39,19178.96,17.0,0.11,326.04,3835792.22,7671584.44
Abia,2021,sugarcane,4489.46,1346.84,1010.13,19.2,0.25,19.39,202025.57,404051.15
Abia,2021,cotton,7183.13,15802.89,13906.54,16.0,0.12,222.5,2781308.52,5562617.03
Abia,2021,palm_oil,17957.83,17957.83,15264.15,20.5,0.15,312.92,3052830.89,6105661.77
Abia,2022,rice,41225.47,61838.21,52562.48,15.5,0.15,814.72,10512495.87,21024991.73
Abia,2022,maize,65960.76,79152.91,69654.56,17.2,0.12,1198.06,13930912.17,27861824.34
Abia,2022,sorghum,24735.28,32155.87,27654.05,16.8,0.14,464.59,5530809.59,11061619.18
Abia,2022,millet,16490.19,18139.21,15781.11,16.5,0.13,260.39,3156222.29,6312444.58
Abia,2022,cassava,82450.95,65960.76,52768.61,14.2,0.2,749.31,10553721.34,21107442.68
Abia,2022,yam,49470.57,29682.34,24339.52,13.8,0.18,335.89,4867903.97,9735807.94
Abia,2022,sweet_potato,12367.64,8657.35,7272.17,14.5,0.16,105.45,1454434.72,2908869.44
Abia,2022,cocoa,8245.09,16490.19,14841.17,18.5,0.1,274.56,2968234.13,5936468.25
Abia,2022,groundnut,20612.74,37102.93,34134.69,17.8,0.08,607.6,6826938.49,13653876.99
Abia,2022,soybean,12367.64,19788.23,17611.52,17.0,0.11,299.4,3522304.5,7044609.0
Abia,2022,sugarcane,4122.55,1236.76,927.57,19.2,0.25,17.81,185514.63,371029.27
Abia,2022,cotton,6596.08,14511.37,12770.0,16.0,0.12,204.32,2554000.56,5108001.13
Abia,2022,palm_oil,16490.19,16490.19,14016.66,20.5,0.15,287.34,2803332.23,5606664.46
Abia,2023,rice,39191.56,58787.34,49969.24,15.5,0.15,774.52,9993847.77,19987695.53
Abia,2023,maize,62706.5,75247.79,66218.06,17.2,0.12,1138.95,13243611.91,26487223.82
Abia,2023,sorghum,23514.94,30569.42,26289.7,16.8,0.14,441.67,5257939.67,10515879.34
Abia,2023,millet,15676.62,17244.29,15002.53,16.5,0.13,247.54,3000505.82,6001011.65
Abia,2023,cassava,78383.12,62706.5,50165.2,14.2,0.2,712.35,10033039.33,20066078.65
Abia,2023,yam,47029.87,28217.92,23138.7,13.8,0.18,319.31,4627739.39,9255478.78
Abia,2023,sweet_potato,11757.47,8230.23,6913.39,14.5,0.16,100.24,1382678.23,2765356.46
Abia,2023,cocoa,7838.31,15676.62,14108.96,18.5,0.1,261.02,2821792.31,5643584.62
Abia,2023,groundnut,19595.78,35272.4,32450.61,17.8,0.08,577.62,6490122.31,12980244.63
Abia,2023,soybean,11757.47,18811.95,16742.63,17.0,0.11,284.62,3348526.87,6697053.75
Abia,2023,sugarcane,3919.16,1175.75,881.81,19.2,0.25,16.93,176362.02,352724.04
Abia,2023,cotton,6270.65,13795.43,12139.98,16.0,0.12,194.24,2427995.52,4855991.03
Abia,2023,palm_oil,15676.62,15676.62,13325.13,20.5,0.15,273.17,2665026.07,5330052.14
Abia,2024,rice,30370.0,45555.0,38721.75,15.5,0.15,600.19,7744350.67,15488701.34
Abia,2024,maize,48592.0,58310.41,51313.16,17.2,0.12,882.59,10262631.29,20525262.58
Abia,2024,sorghum,18222.0,23688.6,20372.2,16.8,0.14,342.25,4074439.55,8148879.11
Abia,2024,millet,12148.0,13362.8,11625.64,16.5,0.13,191.82,2325127.4,4650254.8
Abia,2024,cassava,60740.01,48592.0,38873.6,14.2,0.2,552.01,7774720.67,15549441.35
Abia,2024,yam,36444.0,21866.4,17930.45,13.8,0.18,247.44,3586089.91,7172179.82
Abia,2024,sweet_potato,9111.0,6377.7,5357.27,14.5,0.16,77.68,1071453.69,2142907.39
Abia,2024,cocoa,6074.0,12148.0,10933.2,18.5,0.1,202.26,2186640.19,4373280.38
Abia,2024,groundnut,15185.0,27333.0,25146.36,17.8,0.08,447.61,5029272.44,10058544.87
Abia,2024,soybean,9111.0,14577.6,12974.07,17.0,0.11,220.56,2594813.03,5189626.05
Abia,2024,sugarcane,3037.0,911.1,683.33,19.2,0.25,13.12,136665.01,273330.02
Abia,2024,cotton,4859.2,10690.24,9407.41,16.0,0.12,150.52,1881482.4,3762964.81
Abia,2024,palm_oil,12148.0,12148.0,10325.8,20.5,0.15,211.68,2065160.18,4130320.36
Adamawa,2020,rice,18119.89,27179.84,23102.86,15.5,0.15,358.09,4620572.05,9241144.11
Adamawa,2020,maize,28991.82,34790.19,30615.37,17.2,0.12,526.58,6123073.37,12246146.73
Adamawa,2020,sorghum,10871.93,14133.51,12154.82,16.8,0.14,204.2,2430964.5,4861928.99
Adamawa,2020,millet,7247.96,7972.75,6936.29,16.5,0.13,114.45,1387258.81,2774517.62
Adamawa,2020,cassava,36239.78,28991.82,23193.46,14.2,0.2,329.35,4638691.94,9277383.89
Adamawa,2020,yam,21743.87,13046.32,10697.98,13.8,0.18,147.63,2139596.66,4279193.32
Adamawa,2020,sweet_potato,5435.97,3805.18,3196.35,14.5,0.16,46.35,639269.73,1278539.47
Adamawa,2020,cocoa,3623.98,7247.96,6523.16,18.5,0.1,120.68,1304632.11,2609264.22
Adamawa,2020,groundnut,9059.95,16307.9,15003.27,17.8,0.08,267.06,3000653.85,6001307.7
Adamawa,2020,soybean,5435.97,8697.55,7740.82,17.0,0.11,131.59,1548163.44,3096326.87
Adamawa,2020,sugarcane,1811.99,543.6,407.7,19.2,0.25,7.83,81539.51,163079.01
Adamawa,2020,cotton,2899.18,6378.2,5612.82,16.0,0.12,89.81,1122563.45,2245126.9
Adamawa,2020,palm_oil,7247.96,7247.96,6160.76,20.5,0.15,126.3,1232152.55,2464305.1
Adamawa,2021,rice,16484.91,24727.36,21018.25,15.5,0.15,325.78,4203650.95,8407301.9
Adamawa,2021,maize,26375.85,31651.02,27852.9,17.2,0.12,479.07,5570579.33,11141158.66
Adamawa,2021,sorghum,9890.94,12858.23,11058.07,16.8,0.14,185.78,2211614.95,4423229.89
Adamawa,2021,millet,6593.96,7253.36,6310.42,16.5,0.13,104.12,1262084.38,2524168.76
Adamawa,2021,cassava,32969.81,26375.85,21100.68,14.2,0.2,299.63,4220135.86,8440271.71
Adamawa,2021,yam,19781.89,11869.13,9732.69,13.8,0.18,134.31,1946537.66,3893075.33
Adamawa,2021,sweet_potato,4945.47,3461.83,2907.94,14.5,0.16,42.17,581587.47,1163174.95
Adamawa,2021,cocoa,3296.98,6593.96,5934.57,18.5,0.1,109.79,1186913.21,2373826.42
Adamawa,2021,groundnut,8242.45,14836.42,13649.5,17.8,0.08,242.96,2729900.38,5459800.76
Adamawa,2021,soybean,4945.47,7912.75,7042.35,17.0,0.11,119.72,1408470.34,2816940.68
Adamawa,2021,sugarcane,1648.49,494.55,370.91,19.2,0.25,7.12,74182.08,148364.15
Adamawa,2021,cotton,2637.58,5802.69,5106.36,16.0,0.12,81.7,1021272.88,2042545.75
Adamawa,2021,palm_oil,6593.96,6593.96,5604.87,20.5,0.15,114.9,1120973.59,2241947.17
Adamawa,2022,rice,33616.46,50424.7,42860.99,15.5,0.15,664.35,8572198.28,17144396.55
Adamawa,2022,maize,53786.34,64543.61,56798.38,17.2,0.12,976.93,11359675.46,22719350.92
Adamawa,2022,sorghum,20169.88,26220.84,22549.92,16.8,0.14,378.84,4509984.79,9019969.58
Adamawa,2022,millet,13446.59,14791.24,12868.38,16.5,0.13,212.33,2573676.47,5147352.94
Adamawa,2022,cassava,67232.93,53786.34,43029.07,14.2,0.2,611.01,8605814.74,17211629.48
Adamawa,2022,yam,40339.76,24203.85,19847.16,13.8,0.18,273.89,3969432.05,7938864.1
Adamawa,2022,sweet_potato,10084.94,7059.46,5929.94,14.5,0.16,85.98,1185988.84,2371977.69
Adamawa,2022,cocoa,6723.29,13446.59,12101.93,18.5,0.1,223.89,2420385.4,4840770.79
Adamawa,2022,groundnut,16808.23,30254.82,27834.43,17.8,0.08,495.45,5566886.41,11133772.82
Adamawa,2022,soybean,10084.94,16135.9,14360.95,17.0,0.11,244.14,2872190.67,5744381.34
Adamawa,2022,sugarcane,3361.65,1008.49,756.37,19.2,0.25,14.52,151274.09,302548.17
Adamawa,2022,cotton,5378.63,11833.0,10413.04,16.0,0.12,166.61,2082607.17,4165214.33
Adamawa,2022,palm_oil,13446.59,13446.59,11429.6,20.5,0.15,234.31,2285919.54,4571839.08
Adamawa,2023,rice,28643.64,42965.46,36520.64,15.5,0.15,566.07,7304127.75,14608255.51
Adamawa,2023,maize,45829.82,54995.79,48396.29,17.2,0.12,832.42,9679258.24,19358516.47
Adamawa,2023,sorghum,17186.18,22342.04,19214.15,16.8,0.14,322.8,3842830.51,7685661.01
Adamawa,2023,millet,11457.46,12603.2,10964.78,16.5,0.13,180.92,2192956.94,4385913.89
Adamawa,2023,cassava,57287.28,45829.82,36663.86,14.2,0.2,520.63,7332771.39,14665542.78
Adamawa,2023,yam,34372.37,20623.42,16911.2,13.8,0.18,233.37,3382240.8,6764481.61
Adamawa,2023,sweet_potato,8593.09,6015.16,5052.74,14.5,0.16,73.26,1010547.56,2021095.11
Adamawa,2023,cocoa,5728.73,11457.46,10311.71,18.5,0.1,190.77,2062341.95,4124683.91
