state,year,energy_potential_gj,biogas_potential_m3,electricity_potential_kwh,annual_energy_potential_gj,annual_biogas_potential_m3,annual_electricity_potential_kwh,total_energy_potential_gj,total_biogas_potential_m3,total_electricity_potential_kwh,total_energy_potential_twh,total_electricity_potential_mwh
Abia,2020,3682.48,45129276.9,90258553.8,36628.85,1831442.42,3662884.84,40311.33,46960719.32,93921438.64,11.197591666666668,93921.43864000001
Abia,2021,3526.56,43218510.04000001,86437020.08,28914.07,1445703.03,2891406.07,32440.63,44664213.07000001,89328426.14999999,9.011286111111112,89328.42614999998
Abia,2022,3811.8199999999997,46714329.18,93428658.35000001,26214.07,1310702.9000000001,2621405.87,30025.89,48025032.08,96050064.22000001,8.340525,96050.06422000001
Abia,2023,5585.9400000000005,68456333.84,136912667.68,52097.23,2604862.04,5209724.05,57683.170000000006,71061195.88000001,142122391.73000002,16.02310277777778,142122.39173000003
Abia,2024,3889.96,47671957.480000004,95343914.91,48735.88,2436794.08,4873588.13,52625.84,50108751.56,100217503.03999999,14.618288888888888,100217.50304
Adamawa,2020,2914.24,35714304.78,71428609.54,97047.09,4852353.98,9704707.96,99961.33,40566658.760000005,81133317.5,27.76703611111111,81133.3175
Adamawa,2021,4434.9,54350219.54,108700439.09,75863.64,3793181.8,7586363.58,80298.54,58143401.339999996,116286802.67,22.305149999999998,116286.80267
Adamawa,2022,2192.42,26868287.31,53736574.63,74206.07,3710302.85,7420605.720000001,76398.49,30578590.16,61157180.35,21.22180277777778,61157.18035
Adamawa,2023,4520.9400000000005,55404760.18,110809520.38,69981.06,3499052.52,6998105.08,74502.0,58903812.7,117807625.46,20.695,117807.62546
Adamawa,2024,3038.08,37232031.15,74464062.33,89834.49,4491724.27,8983448.53,92872.57,41723755.42,83447510.86,25.797936111111113,83447.51086
Akwa Ibom,2020,3048.33,37357707.99,74715415.95,34610.34,1730516.8,3461033.62,37658.67,39088224.79,78176449.57000001,10.460741666666665,78176.44957000001
Akwa Ibom,2021,4718.15,57821471.57,115642943.12,29183.23,1459160.3,2918320.6,33901.38,59280631.87,118561263.72,9.41705,118561.26372
Akwa Ibom,2022,4618.43,56599628.68,113199257.35,31555.68,1577784.3599999999,3155568.7199999997,36174.11,58177413.04,116354826.07,10.04836388888889,116354.82607
Akwa Ibom,2023,5425.4400000000005,66489601.96,132979203.89,48602.06,2430103.74,4860207.47,54027.5,68919705.7,137839411.36,15.00763888888889,137839.41136000003
Akwa Ibom,2024,5108.55,62605921.63,125211843.28,30168.7,1508435.73,3016871.47,35277.25,64114357.36,128228714.75,9.799236111111112,128228.71475
Anambra,2020,5598.18,68606469.31,137212938.65,40137.99,2006899.3199999998,4013798.62,45736.17,70613368.63,141226737.27,12.704491666666666,141226.73727
Anambra,2021,4260.16,52208730.53,104417461.09,50162.19,2508109.3,5016218.6,54422.350000000006,54716839.83,109433679.69,15.117319444444446,109433.67969
Anambra,2022,4047.13,49598147.85,99196295.67,38592.98,1929648.69,3859297.39,42640.11,51527796.54,103055593.06,11.844475000000001,103055.59306
Anambra,2023,5781.3,70850631.89,141701263.73,47491.979999999996,2374598.42,4749196.82,53273.28,73225230.31,146450460.54999998,14.798133333333332,146450.46055
Anambra,2024,6055.91,74216001.11,148432002.22,57344.67,2867234.1500000004,5734468.28,63400.58,77083235.26,154166470.5,17.611272222222222,154166.4705
Bauchi,2020,8152.7,99912298.3,199824596.63,140493.04,7024652.0600000005,14049304.11,148645.74000000002,106936950.36,213873900.74,41.29048333333334,213873.90074
Bauchi,2021,6708.82,82217273.97,164434547.97,105338.58,5266929.61,10533859.19,112047.4,87484203.58,174968407.16,31.124277777777777,174968.40716
Bauchi,2022,6725.24,82418694.52,164837389.02,147764.73,7388236.31,14776472.61,154489.97,89806930.83,179613861.63,42.91388055555556,179613.86163
Bauchi,2023,8023.17,98325083.57,196650167.12,129389.24,6469462.25,12938924.49,137412.41,104794545.82,209589091.61,38.17011388888889,209589.09161
Bauchi,2024,6892.0,84462341.5,168924682.97,120473.74,6023686.24,12047372.5,127365.74,90486027.74,180972055.47,35.37937222222222,180972.05547
Bayelsa,2020,5263.62,64506293.339999996,129012586.65,30457.36,1522867.79,3045735.59,35720.98,66029161.129999995,132058322.24000001,9.922494444444446,132058.32224
Bayelsa,2021,5167.72,63331058.16,126662116.3,48408.39,2420419.38,4840838.75,53576.11,65751477.54,131502955.05,14.882252777777778,131502.95505
Bayelsa,2022,4051.5499999999997,49652160.29,99304320.56,33411.82,1670591.1500000001,3341182.27,37463.37,51322751.44,102645502.83,10.406491666666668,102645.50283
Bayelsa,2023,5059.61,62006101.580000006,124012203.14,28685.53,1434276.9000000001,2868553.8200000003,33745.14,63440378.480000004,126880756.96000001,9.37365,126880.75696000001
Bayelsa,2024,5165.88,63308516.44,126617032.87,40310.07,2015504.06,4031008.15,45475.95,65324020.5,130648041.02000001,12.632208333333333,130648.04102
Benue,2020,2325.77,28502731.96,57005463.92,23503.34,1175166.2,2350332.41,25829.11,29677898.16,59355796.33,7.174752777777778,59355.79633
Benue,2021,4595.26,56315758.78,112631517.53,18835.14,941756.81,1883513.61,23430.4,57257515.59,114515031.14,6.508444444444445,114515.03114
Benue,2022,3558.94,43615292.15,87230584.32000001,21168.280000000002,1058414.01,2116828.01,24727.22,44673706.16,89347412.33000001,6.868672222222223,89347.41233
Benue,2023,4555.58,55829343.21,111658686.41,21738.53,1086925.97,2173851.93,26294.11,56916269.18,113832538.34,7.303919444444444,113832.53834
Benue,2024,3150.52,38610200.84,77220401.68,23185.31,1159265.53,2318531.02,26335.83,39769466.370000005,79538932.7,7.315508333333334,79538.9327
Borno,2020,4486.01,54976667.79,109953335.55,70122.71,3506134.2600000002,7012268.53,74608.72,58482802.05,116965604.08,20.724644444444444,116965.60408
Borno,2021,3167.81,38821756.74,77643513.48,96857.57,4842878.0200000005,9685756.02,100025.38,43664634.760000005,87329269.5,27.784827777777778,87329.2695
Borno,2022,2157.15,26436242.77,52872485.54,76503.8,3825190.38,7650380.72,78660.95,30261433.15,60522866.26,21.85026388888889,60522.866259999995
Borno,2023,4783.66,58624409.77,117248819.57,87172.73,4358637.31,8717274.65,91956.39,62983047.080000006,125966094.22,25.543441666666666,125966.09422
Borno,2024,2476.9900000000002,30355833.53,60711667.04,118973.42,5948671.34,11897342.67,121450.41,36304504.870000005,72609009.71,33.736225,72609.00971
Cross River,2020,3596.69,44078057.54,88156115.08,30928.16,1546407.6,3092815.19,34524.85,45624465.14,91248930.27,9.59023611111111,91248.93027
Cross River,2021,5422.57,66454283.489999995,132908566.95,38188.07,1909403.49,3818807.0,43610.64,68363686.97999999,136727373.95,12.114066666666666,136727.37394999998
Cross River,2022,5530.4400000000005,67776251.6,135552503.17000002,22630.5,1131524.43,2263048.86,28160.940000000002,68907776.03,137815552.03000003,7.822483333333334,137815.55203000002
Cross River,2023,4546.87,55722406.56,111444813.16,23962.17,1198108.25,2396216.52,28509.039999999997,56920514.81,113841029.67999999,7.919177777777777,113841.02967999999
Cross River,2024,4804.59,58880973.77,117761947.53999999,19236.3,961815.83,1923631.68,24040.89,59842789.6,119685579.22,6.678025,119685.57922
Delta,2020,3948.72,48392333.13,96784666.28,29180.78,1459039.15,2918078.3,33129.5,49851372.28,99702744.58,9.202638888888888,99702.74458
Delta,2021,3596.04,44070084.26,88140168.53,33642.78,1682138.65,3364277.28,37238.82,45752222.91,91504445.81,10.344116666666666,91504.44581
Delta,2022,3767.09,46166088.660000004,92332177.35,31203.45,1560172.57,3120345.09,34970.54,47726261.230000004,95452522.44,9.71403888888889,95452.52244
Delta,2023,4833.1900000000005,59231288.44,118462576.92,29029.96,1451498.44,2902996.8899999997,33863.15,60682786.879999995,121365573.81,9.406430555555556,121365.57381
Delta,2024,5159.5,63230276.86,126460553.74,30964.7,1548234.37,3096468.71,36124.2,64778511.23,129557022.44999999,10.0345,129557.02244999999
Ebonyi,2020,5565.74,68208829.17999999,136417658.42,38448.27,1922413.99,3844827.98,44014.009999999995,70131243.16999999,140262486.39999998,12.226113888888888,140262.48639999997
Ebonyi,2021,5671.6,69506182.13,139012364.27,31279.43,1563971.44,3127942.86,36951.03,71070153.57,142140307.13000003,10.264175,142140.30713000003
Ebonyi,2022,3802.63,46601860.57,93203721.11999999,37506.67,1875332.8900000001,3750665.76,41309.299999999996,48477193.46,96954386.88,11.474805555555553,96954.38687999999
Ebonyi,2023,5040.96,61777651.48,123555302.93,43384.47,2169223.46,4338446.93,48425.43,63946874.94,127893749.86000001,13.451508333333333,127893.74986000001
Ebonyi,2024,3849.83,47180155.269999996,94360310.56,51228.51,2561425.3,5122850.62,55078.340000000004,49741580.56999999,99483161.18,15.29953888888889,99483.16118000001
Edo,2020,3542.7599999999998,43417052.04,86834104.07000001,25064.6,1253230.34,2506460.71,28607.359999999997,44670282.38,89340564.78,7.946488888888888,89340.56478
Edo,2021,3313.31,40605020.27,81210040.53999999,50677.55,2533878.64,5067757.3,53990.86,43138898.910000004,86277797.83999999,14.997461111111111,86277.79783999998
Edo,2022,4643.29,56904052.1,113808104.2,46380.54,2319027.04,4638054.05,51023.83,59223079.14,118446158.25,14.173286111111112,118446.15825
Edo,2023,3181.39,38988278.089999996,77976556.16,28789.63,1439481.68,2878963.39,31971.02,40427759.769999996,80855519.55,8.880838888888889,80855.51955
Edo,2024,2552.87,31286055.91,62572111.82,57743.54,2887177.4,5774354.79,60296.41,34173233.31,68346466.61,16.74900277777778,68346.46661
Ekiti,2020,4479.11,54892089.21,109784178.43,60997.31,3049865.15,6099730.3,65476.42,57941954.36,115883908.73,18.187894444444446,115883.90873000001
Ekiti,2021,6288.61,77067842.53999999,154135685.06,34705.37,1735268.32,3470536.64,40993.98,78803110.85999998,157606221.7,11.387216666666667,157606.2217
Ekiti,2022,6005.64,73600099.65,147200199.29,42980.1,2149004.22,4298008.47,48985.74,75749103.87,151498207.76,13.607149999999999,151498.20776
Ekiti,2023,4626.86,56702847.56,113405695.16,62517.96,3125897.72,6251795.48,67144.81999999999,59828745.28,119657490.64,18.651338888888887,119657.49064
Ekiti,2024,4664.06,57158735.32,114317470.66999999,62177.91,3108895.23,6217790.49,66841.97,60267630.55,120535261.15999998,18.56721388888889,120535.26115999998
Enugu,2020,5318.72,65181566.51,130363133.07,29675.71,1483785.75,2967571.51,34994.43,66665352.26,133330704.58,9.720675,133330.70458
Enugu,2021,3678.25,45077166.39,90154332.83,31378.07,1568903.09,3137806.18,35056.32,46646069.480000004,93292139.01,9.737866666666667,93292.13901
Enugu,2022,5874.21,71989333.61,143978667.22,37715.42,1885771.37,3771542.7199999997,43589.63,73875104.98,147750209.94,12.108230555555554,147750.20994
Enugu,2023,5653.09,69279204.2,138558408.39,42730.48,2136524.13,4273048.24,48383.57000000001,71415728.33,142831456.63,13.439880555555558,142831.45663
Enugu,2024,3919.86,48038561.71,96077123.45,48662.8,2433140.09,4866280.19,52582.66,50471701.8,100943403.64,14.606294444444446,100943.40364
FCT,2020,2275.9300000000003,27891794.459999997,55783588.9,27592.36,1379617.63,2759235.26,29868.29,29271412.089999996,58542824.16,8.296747222222223,58542.82416
FCT,2021,4829.1,59181267.45,118362534.94,31482.25,1574112.42,3148224.86,36311.35,60755379.870000005,121510759.8,10.08648611111111,121510.7598
FCT,2022,3187.56,39064175.7,78128351.4,41990.24,2099512.29,4199024.59,45177.799999999996,41163687.99,82327375.99000001,12.549388888888888,82327.37599000002
FCT,2023,3238.41,39686903.31,79373806.65,18576.18,928809.45,1857618.8900000001,21814.59,40615712.760000005,81231425.54,6.059608333333333,81231.42554000001
FCT,2024,4601.32,56389914.160000004,112779828.36,26760.87,1338043.58,2676087.14,31362.19,57727957.74,115455915.5,8.711719444444444,115455.9155
Gombe,2020,8034.76,98467103.42,196934206.81,129243.62,6462181.21,12924362.42,137278.38,104929284.63,209858569.23,38.13288333333333,209858.56923
Gombe,2021,8303.21,101757054.14,203514108.29,142043.1,7102155.88,14204311.799999999,150346.31,108859210.02,217718420.09,41.76286388888889,217718.42009
Gombe,2022,7806.47,95669521.6,191339043.23,126815.73,6340786.21,12681572.43,134622.19999999998,102010307.80999999,204020615.66,37.39505555555555,204020.61566
Gombe,2023,6866.84,84153879.7,168307759.42000002,131465.88,6573293.81,13146587.62,138332.72,90727173.51,181454347.04000002,38.425755555555554,181454.34704000002
Gombe,2024,6134.43,75178179.62,150356359.28,112414.28,5620712.76,11241425.53,118548.70999999999,80798892.38000001,161597784.81,32.93019722222222,161597.78481
Imo,2020,5526.389999999999,67726654.12,135453308.23,38023.840000000004,1901191.48,3802382.97,43550.23,69627845.60000001,139255691.2,12.097286111111112,139255.6912
Imo,2021,5028.66,61626866.59,123253733.14,41951.4,2097569.82,4195139.67,46980.06,63724436.410000004,127448872.81,13.050016666666666,127448.87281
Imo,2022,4746.81,58172909.03,116345818.05,33406.86,1670342.74,3340685.49,38153.67,59843251.77,119686503.53999999,10.598241666666667,119686.50353999999
Imo,2023,6231.349999999999,76366062.29,152732124.57999998,35279.02,1763950.76,3527901.4899999998,41510.369999999995,78130013.05000001,156260026.07,11.530658333333331,156260.02607
Imo,2024,4007.75,49115581.3,98231162.6,40092.54,2004626.86,4009253.7800000003,44100.29,51120208.16,102240416.38,12.250080555555556,102240.41638
Jigawa,2020,6795.38,83278205.91,166556411.83,96221.03,4811052.08,9622104.12,103016.41,88089257.99,176178515.95000002,28.615669444444446,176178.51595000003
Jigawa,2021,5593.0,68542983.5,137085967.04,113924.64,5696231.45,11392462.9,119517.64,74239214.95,148478429.94,33.19934444444444,148478.42994
Jigawa,2022,6999.24,85776659.36,171553318.67000002,111657.0,5582850.25,11165700.5,118656.24,91359509.61,182719019.17000002,32.96006666666667,182719.01917
Jigawa,2023,5942.2300000000005,72822809.24,145645618.47,120842.33,6042116.22,12084232.41,126784.56,78864925.46,157729850.88,35.217933333333335,157729.85087999998
Jigawa,2024,6238.38,76452516.97,152905033.96,113085.91,5654295.89,11308591.81,119324.29000000001,82106812.86,164213625.77,33.145636111111116,164213.62577
Kaduna,2020,5772.77,70746213.11,141492426.2,105928.05,5296402.0200000005,10592804.07,111700.82,76042615.13,152085230.26999998,31.02800555555556,152085.23026999997
Kaduna,2021,7366.69,90279886.15,180559772.32,94537.81,4726891.07,9453782.14,101904.5,95006777.22,190013554.45999998,28.306805555555556,190013.55445999998
Kaduna,2022,7785.68,95414716.86,190829433.69,101608.76999999999,5080439.07,10160878.16,109394.44999999998,100495155.93,200990311.85,30.387347222222218,200990.31185
Kaduna,2023,7465.31,91488533.32,182977066.66,110199.20999999999,5509960.850000001,11019921.69,117664.51999999999,96998494.16999999,193996988.35,32.68458888888889,193996.98835
Kaduna,2024,8721.49,106882967.78,213765935.53,97722.28,4886114.6899999995,9772229.370000001,106443.77,111769082.47,223538164.9,29.56771388888889,223538.1649
Kano,2020,6474.36,79344046.08,158688092.16,99405.22,4970261.55,9940523.049999999,105879.58,84314307.63,168628615.21,29.410994444444444,168628.61521000002
Kano,2021,6355.94,77892580.6,155785161.18,124474.18,6223709.45,12447418.93,130830.12,84116290.05,168232580.11,36.341699999999996,168232.58011
Kano,2022,8133.17,99673015.43,199346030.82999998,130610.76,6530538.61,13061077.219999999,138743.93,106203554.04,212407108.04999998,38.53998055555555,212407.10804999998
Kano,2023,6425.66,78747380.05,157494760.13,142541.63999999998,7127081.92,14254163.9,148967.3,85874461.97,171748924.03,41.37980555555555,171748.92403
Kano,2024,8724.57,106920854.21000001,213841708.39,129725.15,6486257.31,12972514.59,138449.72,113407111.52000001,226814222.98,38.45825555555555,226814.22298
Katsina,2020,5485.51,67225759.06,134451518.09,101341.96,5067098.42,10134196.870000001,106827.47,72292857.48,144585714.96,29.674297222222222,144585.71496
Katsina,2021,8258.37,101207639.95,202415279.91,112045.40999999999,5602270.73,11204541.44,120303.77999999998,106809910.68,213619821.35,33.417716666666664,213619.82134999998
Katsina,2022,5792.85,70992111.58,141984223.18,119313.09,5965654.42,11931308.86,125105.94,76957766.0,153915532.04000002,34.75165,153915.53204000002
Katsina,2023,8354.72,102388186.57,204776373.15,137374.51,6868725.08,13737450.18,145729.23,109256911.64999999,218513823.33,40.48034166666667,218513.82333
Katsina,2024,7442.27,91206096.78,182412193.61,137146.91,6857345.46,13714690.92,144589.18,98063442.24,196126884.53,40.16366111111111,196126.88453
Kebbi,2020,4751.65,58232174.96,116464349.93,112226.76999999999,5611338.86,11222677.74,116978.41999999998,63843513.82,127687027.67,32.49400555555555,127687.02767
Kebbi,2021,2290.75,28073369.64,56146739.29,146522.85,7326142.17,14652284.33,148813.6,35399511.81,70799023.62,41.33711111111111,70799.02362
Kebbi,2022,3696.75,45304025.56,90608051.09,131566.74,6578337.16,13156674.32,135263.49,51882362.72,103764725.41,37.573191666666666,103764.72541
Kebbi,2023,4968.37,60888119.99,121776239.96000001,116155.54,5807776.41,11615552.870000001,121123.90999999999,66695896.400000006,133391792.83000001,33.64553055555555,133391.79283000002
Kebbi,2024,3748.38,45936714.91,91873429.81,112126.73,5606336.59,11212673.209999999,115875.11,51543051.5,103086103.02,32.187530555555554,103086.10302
Kogi,2020,3760.5,46085487.800000004,92170975.60000001,20731.54,1036577.09,2073154.2,24492.04,47122064.89000001,94244129.80000001,6.803344444444445,94244.12980000001
Kogi,2021,4020.2200000000003,49268277.02,98536554.05,24398.53,1219926.22,2439852.43,28418.75,50488203.24,100976406.48,7.894097222222222,100976.40648
Kogi,2022,3415.15,41853265.22,83706530.42999999,22238.72,1111936.67,2223873.32,25653.870000000003,42965201.89,85930403.74999999,7.126075000000001,85930.40374999998
Kogi,2023,3980.82,48785434.74,97570869.49,23764.100000000002,1188205.51,2376411.0,27744.920000000002,49973640.25,99947280.49,7.7069222222222225,99947.28048999999
Kogi,2024,3928.6,48145565.870000005,96291131.78,27922.39,1396119.03,2792238.0700000003,31850.989999999998,49541684.900000006,99083369.85,8.847497222222222,99083.36984999999
Kwara,2020,6546.0,80222304.94,160444609.9,37260.47,1863023.93,3726047.85,43806.47,82085328.87,164170657.75,12.168463888888889,164170.65775
Kwara,2021,4297.43,52665778.63,105331557.25,62038.73,3101936.9699999997,6203873.97,66336.16,55767715.6,111535431.22,18.42671111111111,111535.43122
Kwara,2022,5049.46,61881763.03,123763526.03999999,36361.0,1818049.59,3636099.19,41410.46,63699812.620000005,127399625.22999999,11.502905555555555,127399.62522999999
Kwara,2023,7081.1,86779926.97,173559853.91,52767.84,2638391.84,5276783.640000001,59848.939999999995,89418318.81,178836637.55,16.624705555555554,178836.63755
Kwara,2024,7037.62,86246997.03,172493994.06,50161.6,2508080.48,5016160.94,57199.22,88755077.51,177510155.0,15.888672222222223,177510.155
Lagos,2020,3286.85,40280799.2,80561598.43,62950.44,3147521.66,6295043.28,66237.29000000001,43428320.86,86856641.71000001,18.399247222222225,86856.64171000001
Lagos,2021,3809.95,46691429.08,93382858.16,36372.19,1818608.96,3637217.92,40182.14,48510038.04,97020076.08,11.161705555555555,97020.07608
Lagos,2022,2912.8599999999997,35697626.59,71395253.17,47052.25,2352611.94,4705223.9,49965.11,38050238.53,76100477.07000001,13.879197222222222,76100.47707000001
Lagos,2023,2710.96,33223026.53,66446053.06,68169.18000000001,3408459.0700000003,6816918.17,70880.14000000001,36631485.6,73262971.23,19.68892777777778,73262.97123000001
Lagos,2024,3573.46,43793427.07,87586854.14,66347.87,3317394.02,6634788.02,69921.33,47110821.09,94221642.16,19.422591666666666,94221.64216
