date,total_demand_mw,available_supply_mw,load_shedding_mw,supply_factor,lagos_demand_mw,abuja_demand_mw,kano_demand_mw,rivers_demand_mw,oyo_demand_mw,kaduna_demand_mw,other_states_demand_mw
2024-01-01,4723.52,3525.63,1197.89,0.746,1180.88,708.53,566.82,472.35,377.88,330.65,1086.41
2024-01-02,4453.06,3205.01,1248.05,0.72,1113.26,667.96,534.37,445.31,356.24,311.71,1024.2
2024-01-03,4424.89,2706.33,1718.55,0.612,1106.22,663.73,530.99,442.49,353.99,309.74,1017.72
2024-01-04,4440.01,3433.17,1006.84,0.773,1110.0,666.0,532.8,444.0,355.2,310.8,1021.2
2024-01-05,5282.35,3191.15,2091.19,0.604,1320.59,792.35,633.88,528.23,422.59,369.76,1214.94
2024-01-06,4435.79,3521.93,913.85,0.794,1108.95,665.37,532.29,443.58,354.86,310.51,1020.23
2024-01-07,3939.45,2506.93,1432.52,0.636,984.86,590.92,472.73,393.95,315.16,275.76,906.07
2024-01-08,4858.21,3093.13,1765.08,0.637,1214.55,728.73,582.99,485.82,388.66,340.07,1117.39
2024-01-09,4735.42,3250.34,1485.08,0.686,1183.86,710.31,568.25,473.54,378.83,331.48,1089.15
2024-01-10,3751.33,2469.3,1282.03,0.658,937.83,562.7,450.16,375.13,300.11,262.59,862.81
2024-01-11,4182.78,2754.06,1428.72,0.658,1045.69,627.42,501.93,418.28,334.62,292.79,962.04
2024-01-12,4816.14,3242.57,1573.57,0.673,1204.03,722.42,577.94,481.61,385.29,337.13,1107.71
2024-01-13,4834.07,3093.49,1740.58,0.64,1208.52,725.11,580.09,483.41,386.73,338.39,1111.84
2024-01-14,4134.26,2905.75,1228.51,0.703,1033.56,620.14,496.11,413.43,330.74,289.4,950.88
2024-01-15,4458.14,3216.59,1241.55,0.722,1114.53,668.72,534.98,445.81,356.65,312.07,1025.37
2024-01-16,4782.28,3032.47,1749.81,0.634,1195.57,717.34,573.87,478.23,382.58,334.76,1099.92
2024-01-17,4459.77,3286.17,1173.6,0.737,1114.94,668.97,535.17,445.98,356.78,312.18,1025.75
