date,source,installed_capacity_mw,available_capacity_mw,availability_factor,efficiency,fuel_cost_naira_per_mwh,capacity_utilization
2020-01-01,Natural Gas,10500,6184.69,0.589,0.45,17704.29,0.739
2020-01-01,Hydro,2040,862.74,0.423,0.85,1724.81,0.394
2020-01-01,Coal,30,10.3,0.343,0.35,28661.76,0.661
2020-01-01,Solar,25,20.32,0.813,0.2,0.0,0.882
2020-01-01,Wind,10,2.92,0.292,0.35,0.0,0.409
2020-02-01,Natural Gas,10500,5989.01,0.57,0.45,13825.45,0.615
2020-02-01,Hydro,2040,839.78,0.412,0.85,1832.98,0.667
2020-02-01,Coal,30,10.45,0.348,0.35,22921.45,0.52
2020-02-01,Solar,25,19.52,0.781,0.2,0.0,0.42
2020-02-01,Wind,10,2.78,0.278,0.35,0.0,0.328
2020-03-01,Natural Gas,10500,6423.22,0.612,0.45,13023.14,0.339
2020-03-01,Hydro,2040,910.96,0.447,0.85,2372.51,0.785
2020-03-01,Coal,30,10.75,0.358,0.35,20976.72,0.711
2020-03-01,Solar,25,19.47,0.779,0.2,0.0,0.597
2020-03-01,Wind,10,2.57,0.257,0.35,0.0,0.455
2020-04-01,Natural Gas,10500,6479.51,0.617,0.45,13870.27,0.612
2020-04-01,Hydro,2040,855.58,0.419,0.85,1747.88,0.882
2020-04-01,Coal,30,11.6,0.387,0.35,29394.99,0.837
2020-04-01,Solar,25,19.97,0.799,0.2,0.0,0.353
2020-04-01,Wind,10,2.64,0.264,0.35,0.0,0.495
2020-05-01,Natural Gas,10500,6199.16,0.59,0.45,13628.09,0.797
2020-05-01,Hydro,2040,1658.85,0.813,0.85,1824.75,0.626
2020-05-01,Coal,30,10.45,0.348,0.35,28021.97,0.345
2020-05-01,Solar,25,21.21,0.848,0.2,0.0,0.419
2020-05-01,Wind,10,2.55,0.255,0.35,0.0,0.724
2020-06-01,Natural Gas,10500,6547.57,0.624,0.45,16627.62,0.344
2020-06-01,Hydro,2040,1659.32,0.813,0.85,1692.7,0.818
2020-06-01,Coal,30,11.32,0.377,0.35,23308.98,0.338
2020-06-01,Solar,25,19.05,0.762,0.2,0.0,0.738
2020-06-01,Wind,10,2.84,0.284,0.35,0.0,0.583
2020-07-01,Natural Gas,10500,5923.68,0.564,0.45,16279.47,0.756
2020-07-01,Hydro,2040,1715.18,0.841,0.85,2216.77,0.596
2020-07-01,Coal,30,11.14,0.371,0.35,24275.41,0.315
2020-07-01,Solar,25,18.41,0.736,0.2,0.0,0.682
2020-07-01,Wind,10,2.69,0.269,0.35,0.0,0.845
2020-08-01,Natural Gas,10500,6056.46,0.577,0.45,14462.3,0.753
2020-08-01,Hydro,2040,1623.61,0.796,0.85,1661.58,0.474
2020-08-01,Coal,30,10.49,0.35,0.35,29296.98,0.785
2020-08-01,Solar,25,20.08,0.803,0.2,0.0,0.782
2020-08-01,Wind,10,2.63,0.263,0.35,0.0,0.624
2020-09-01,Natural Gas,10500,6627.87,0.631,0.45,17376.55,0.491
2020-09-01,Hydro,2040,1590.91,0.78,0.85,1782.35,0.556
2020-09-01,Coal,30,11.67,0.389,0.35,28607.31,0.304
