date,disco,allocated_mw,peak_demand_mw,energy_delivered_mwh,load_rejection_mw,technical_losses_percent,commercial_losses_percent
2023-01-01,Abuja,362.37,474.3,7355.54,82.05,23.18,35.44
2023-01-01,Benin,234.69,318.16,4477.42,65.03,12.56,30.6
2023-01-01,Eko,513.61,786.45,9972.63,96.73,24.12,34.09
2023-01-01,Enugu,313.97,540.37,6192.94,115.66,21.6,25.63
2023-01-01,Ibadan,331.7,451.52,6650.59,96.21,12.38,18.48
2023-01-01,Ikeja,697.21,1248.45,13912.17,105.63,12.63,15.46
2023-01-01,Jos,118.72,150.85,2405.07,21.63,17.42,31.29
2023-01-01,Kaduna,232.07,307.23,3914.15,32.74,23.3,36.85
2023-01-01,Kano,289.81,452.19,6025.13,44.23,23.55,25.47
2023-01-01,Port Harcourt,305.67,461.97,5221.37,45.82,20.55,17.07
2023-01-01,Yola,36.29,48.89,694.37,6.77,14.05,32.98
2023-01-02,Abuja,458.08,680.54,9519.91,174.55,20.45,20.37
2023-01-02,Benin,225.15,305.61,4586.37,25.99,16.44,29.92
2023-01-02,Eko,533.5,886.97,9304.07,65.38,20.38,27.39
2023-01-02,Enugu,395.44,577.69,7227.92,136.71,21.59,32.37
2023-01-02,Ibadan,383.57,596.11,7274.64,48.89,23.59,18.42
2023-01-02,Ikeja,764.7,1122.28,13696.44,200.79,22.84,33.31
2023-01-02,Jos,122.61,195.6,2569.14,43.5,12.24,27.24
2023-01-02,Kaduna,205.79,368.89,4622.85,23.01,19.99,38.13
2023-01-02,Kano,270.73,417.13,6035.39,29.83,19.86,22.43
2023-01-02,Port Harcourt,379.74,676.94,8531.09,92.0,22.65,36.11
2023-01-02,Yola,35.4,60.08,602.53,9.87,11.91,18.01
2023-01-03,Abuja,405.64,569.49,8578.82,48.52,13.36,28.49
2023-01-03,Benin,242.96,338.01,4994.06,88.87,18.47,20.82
2023-01-03,Eko,410.53,706.96,6949.37,148.78,16.99,38.48
2023-01-03,Enugu,347.85,625.7,6575.91,114.85,14.83,27.0
2023-01-03,Ibadan,364.59,628.64,8277.94,120.49,15.1,25.53
2023-01-03,Ikeja,615.59,826.9,10749.87,127.05,12.88,22.41
2023-01-03,Jos,88.12,107.97,1489.83,34.92,15.27,24.61
2023-01-03,Kaduna,201.87,268.67,4541.94,67.81,9.52,25.44
2023-01-03,Kano,284.44,502.56,5576.23,80.79,10.84,39.78
2023-01-03,Port Harcourt,264.19,466.46,5468.09,74.59,16.72,20.77
2023-01-03,Yola,28.83,38.4,516.52,9.62,13.95,16.45
2023-01-04,Abuja,725.65,1274.72,16522.72,110.42,14.74,33.96
2023-01-04,Benin,401.92,519.41,8719.55,67.25,11.8,28.42
2023-01-04,Eko,836.09,1294.32,14505.31,303.7,12.52,18.24
2023-01-04,Enugu,605.52,1073.82,13304.91,207.6,19.14,28.77
2023-01-04,Ibadan,522.59,755.19,9948.17,92.98,20.3,27.4
2023-01-04,Ikeja,853.41,1136.84,17835.98,104.83,22.47,27.38
2023-01-04,Jos,161.74,251.57,3517.43,33.05,19.53,29.14
2023-01-04,Kaduna,302.63,522.69,6532.03,90.04,22.46,36.68
2023-01-04,Kano,460.94,784.61,9672.71,140.14,18.52,33.82
2023-01-04,Port Harcourt,438.06,757.2,9650.99,47.65,22.04,18.22
2023-01-04,Yola,51.55,84.85,915.68,17.8,22.15,27.69
2023-01-05,Abuja,338.79,531.96,7686.25,98.1,12.42,30.85
2023-01-05,Benin,213.65,356.35,3726.46,70.14,17.2,39.07
2023-01-05,Eko,430.93,680.69,9649.54,56.35,23.93,32.2
2023-01-05,Enugu,262.49,362.39,5525.26,31.55,17.9,23.65
2023-01-05,Ibadan,343.79,421.98,7573.44,134.78,24.47,33.74
2023-01-05,Ikeja,482.63,798.73,8179.36,51.47,13.5,27.22
2023-01-05,Jos,97.82,157.49,1905.06,17.81,24.95,25.65
2023-01-05,Kaduna,178.32,231.49,3846.13,54.94,11.75,17.06
2023-01-05,Kano,254.34,405.09,4689.96,97.99,10.57,25.81
2023-01-05,Port Harcourt,307.56,446.53,6345.34,67.44,12.66,39.6
2023-01-05,Yola,29.34,50.95,533.38,4.81,8.53,31.29
2023-01-06,Abuja,521.99,774.6,11801.83,81.25,22.77,34.41
2023-01-06,Benin,296.8,506.6,6341.51,85.44,10.23,15.81
2023-01-06,Eko,662.46,1040.06,14295.37,161.94,9.99,18.13
2023-01-06,Enugu,413.96,603.63,7452.61,102.45,9.09,29.55
2023-01-06,Ibadan,401.45,673.85,7491.96,94.97,8.2,16.81
2023-01-06,Ikeja,683.07,1016.39,13934.76,128.08,19.81,36.5
