date,region,state,saidi_hours,saifi_interruptions,caidi_hours,customers_affected,major_outages,grid_availability_percent
2020-01-01,North Central,FCT,121.07,15.13,8.0,460895,2,83.18
2020-01-01,North Central,Benue,143.17,17.9,8.0,47371,0,80.12
2020-01-01,North Central,Kogi,146.75,18.34,8.0,141216,1,79.62
2020-01-01,North Central,Kwara,192.58,24.07,8.0,189021,1,73.25
2020-01-01,North Central,Nasarawa,249.68,31.21,8.0,262835,1,65.32
2020-01-01,North Central,Niger,207.09,25.89,8.0,190369,5,71.24
2020-01-01,North Central,Plateau,224.38,28.05,8.0,96774,1,68.84
2020-01-01,North East,Adamawa,283.69,35.46,8.0,263294,2,60.6
2020-01-01,North East,Bauchi,408.26,51.03,8.0,185328,3,43.3
2020-01-01,North East,Borno,449.27,56.16,8.0,73076,0,37.6
2020-01-01,North East,Gombe,366.8,45.85,8.0,101259,0,49.06
2020-01-01,North East,Taraba,319.46,39.93,8.0,179882,1,55.63
2020-01-01,North East,Yobe,349.26,43.66,8.0,208012,4,51.49
2020-01-01,North West,Jigawa,296.16,37.02,8.0,331066,3,58.87
2020-01-01,North West,Kaduna,339.17,42.4,8.0,96627,0,52.89
2020-01-01,North West,Kano,243.47,30.43,8.0,131130,3,66.18
2020-01-01,North West,Katsina,238.07,29.76,8.0,158677,2,66.94
2020-01-01,North West,Kebbi,316.69,39.59,8.0,343334,1,56.02
2020-01-01,North West,Sokoto,199.81,24.98,8.0,271075,4,72.25
2020-01-01,North West,Zamfara,256.38,32.05,8.0,287001,2,64.39
2020-01-01,South East,Abia,160.83,20.47,7.86,96280,4,77.66
2020-01-01,South East,Anambra,182.21,23.19,7.86,62363,4,74.69
2020-01-01,South East,Ebonyi,215.88,27.48,7.86,79521,3,70.02
2020-01-01,South East,Enugu,185.84,23.65,7.86,219699,2,74.19
2020-01-01,South East,Imo,222.77,28.35,7.86,432236,2,69.06
2020-01-01,South South,Akwa Ibom,205.56,22.84,9.0,215152,1,71.45
2020-01-01,South South,Bayelsa,194.21,21.58,9.0,193039,3,73.03
2020-01-01,South South,Cross River,193.79,21.53,9.0,61108,3,73.08
2020-01-01,South South,Delta,160.25,17.81,9.0,184583,3,77.74
2020-01-01,South South,Edo,210.99,23.44,9.0,166991,1,70.7
2020-01-01,South South,Rivers,128.57,14.29,9.0,327944,4,82.14
2020-01-01,South West,Ekiti,86.45,10.81,8.0,292308,2,87.99
2020-01-01,South West,Lagos,80.67,10.08,8.0,23502,3,88.8
2020-01-01,South West,Ogun,114.3,14.29,8.0,358083,3,84.12
2020-01-01,South West,Ondo,143.91,17.99,8.0,308808,2,80.01
2020-01-01,South West,Osun,114.9,14.36,8.0,196927,1,84.04
2020-01-01,South West,Oyo,138.66,17.33,8.0,52312,4,80.74
2020-02-01,North Central,FCT,180.98,22.62,8.0,435843,0,74.86
2020-02-01,North Central,Benue,253.68,31.71,8.0,30832,1,64.77
2020-02-01,North Central,Kogi,149.69,18.71,8.0,89246,5,79.21
2020-02-01,North Central,Kwara,253.15,31.64,8.0,182260,8,64.84
2020-02-01,North Central,Nasarawa,217.83,27.23,8.0,82606,1,69.75
2020-02-01,North Central,Niger,258.45,32.31,8.0,206307,2,64.1
