region,year,saidi_hours_per_year,saifi_interruptions_per_year,avg_duration_hours,availability_percent,customer_base_thousands
Lagos,2020,16.21,56.67,0.29,99.81,104
Lagos,2021,12.11,50.46,0.24,99.86,480
Lagos,2022,10.95,44.26,0.25,99.88,485
Lagos,2023,14.54,48.33,0.3,99.83,340
Lagos,2024,12.24,46.09,0.27,99.86,124
Abuja,2020,14.35,71.56,0.2,99.84,177
Abuja,2021,12.61,58.93,0.21,99.86,228
Abuja,2022,12.48,60.67,0.21,99.86,229
Abuja,2023,13.15,67.18,0.2,99.85,226
Abuja,2024,14.8,51.38,0.29,99.83,203
Kano,2020,13.18,126.19,0.1,99.85,226
Kano,2021,15.17,119.47,0.13,99.83,112
Kano,2022,17.41,102.37,0.17,99.8,306
Kano,2023,13.14,96.04,0.14,99.85,484
Kano,2024,12.31,113.62,0.11,99.86,81
Rivers,2020,10.73,75.88,0.14,99.88,68
Rivers,2021,9.13,72.76,0.13,99.9,224
Rivers,2022,10.95,65.08,0.17,99.88,162
Rivers,2023,10.18,64.36,0.16,99.88,368
Rivers,2024,8.73,57.45,0.15,99.9,104
Oyo,2020,22.22,100.4,0.22,99.75,429
Oyo,2021,26.86,110.86,0.24,99.69,337
Oyo,2022,25.51,96.93,0.26,99.71,370
Oyo,2023,23.47,80.45,0.29,99.73,492
Oyo,2024,22.55,90.66,0.25,99.74,298
Kaduna,2020,24.4,78.02,0.31,99.72,467
Kaduna,2021,25.29,102.09,0.25,99.71,337
Kaduna,2022,25.22,94.71,0.27,99.71,214
Kaduna,2023,18.52,78.85,0.23,99.79,360
Kaduna,2024,24.51,64.55,0.38,99.72,312
Enugu,2020,18.99,131.08,0.14,99.78,334
Enugu,2021,21.22,129.18,0.16,99.76,352
Enugu,2022,22.54,102.19,0.22,99.74,435
Enugu,2023,19.87,87.14,0.23,99.77,69
Enugu,2024,21.59,101.01,0.21,99.75,271
Delta,2020,16.54,136.17,0.12,99.81,413
Delta,2021,15.63,128.68,0.12,99.82,169
Delta,2022,21.35,108.59,0.2,99.76,273
Delta,2023,16.99,87.03,0.2,99.81,63
Delta,2024,18.79,113.66,0.17,99.79,330
Ogun,2020,34.2,156.56,0.22,99.61,491
Ogun,2021,34.29,138.36,0.25,99.61,342
Ogun,2022,23.37,146.77,0.16,99.73,390
Ogun,2023,31.92,123.19,0.26,99.64,83
Ogun,2024,28.35,127.96,0.22,99.68,427
Anambra,2020,33.73,116.38,0.29,99.61,336
Anambra,2021,44.39,130.86,0.34,99.49,317
Anambra,2022,39.84,123.1,0.32,99.55,443
Anambra,2023,43.18,116.89,0.37,99.51,239
Anambra,2024,36.53,96.82,0.38,99.58,359
Imo,2020,41.4,113.73,0.36,99.53,198
Imo,2021,44.22,120.97,0.37,99.5,213
Imo,2022,41.51,111.69,0.37,99.53,276
Imo,2023,44.09,114.11,0.39,99.5,201
Imo,2024,42.97,127.33,0.34,99.51,338
Cross River,2020,26.29,185.48,0.14,99.7,386
Cross River,2021,29.75,166.12,0.18,99.66,250
Cross River,2022,32.34,132.01,0.25,99.63,250
Cross River,2023,26.88,148.05,0.18,99.69,110
Cross River,2024,30.07,146.22,0.21,99.66,88
Plateau,2020,21.24,149.83,0.14,99.76,151
Plateau,2021,26.93,116.82,0.23,99.69,93
Plateau,2022,28.59,143.57,0.2,99.67,66
Plateau,2023,29.42,116.09,0.25,99.66,352
Plateau,2024,20.36,137.41,0.15,99.77,388
Bauchi,2020,42.16,198.72,0.21,99.52,247
Bauchi,2021,46.32,210.01,0.22,99.47,317
Bauchi,2022,33.81,211.7,0.16,99.61,414
Bauchi,2023,39.8,141.83,0.28,99.55,65
Bauchi,2024,42.68,148.07,0.29,99.51,135
Sokoto,2020,46.73,112.77,0.41,99.47,225
Sokoto,2021,35.91,116.5,0.31,99.59,131
Sokoto,2022,45.65,96.83,0.47,99.48,451
Sokoto,2023,41.08,122.02,0.34,99.53,63
Sokoto,2024,41.38,100.71,0.41,99.53,237
Borno,2020,35.04,186.3,0.19,99.6,413
Borno,2021,34.91,209.72,0.17,99.6,53
Borno,2022,37.1,169.89,0.22,99.58,259
Borno,2023,32.81,174.1,0.19,99.63,157
Borno,2024,28.45,142.14,0.2,99.68,219
Yobe,2020,39.17,114.45,0.34,99.55,145
Yobe,2021,49.16,141.05,0.35,99.44,78
Yobe,2022,47.61,110.7,0.43,99.46,294
Yobe,2023,41.78,116.46,0.36,99.52,285
Yobe,2024,49.2,122.27,0.4,99.44,458
Adamawa,2020,34.68,129.66,0.27,99.6,478
Adamawa,2021,29.28,145.07,0.2,99.67,373
Adamawa,2022,33.08,160.87,0.21,99.62,481
Adamawa,2023,24.07,181.77,0.13,99.73,122
Adamawa,2024,24.63,142.4,0.17,99.72,189
Taraba,2020,39.87,190.35,0.21,99.54,344
Taraba,2021,49.8,212.21,0.23,99.43,60
Taraba,2022,49.2,211.02,0.23,99.44,248
Taraba,2023,49.63,154.26,0.32,99.43,197
Taraba,2024,46.08,150.9,0.31,99.47,292
Gombe,2020,30.69,122.97,0.25,99.65,290
Gombe,2021,40.87,153.39,0.27,99.53,54
Gombe,2022,27.86,157.86,0.18,99.68,226
Gombe,2023,33.38,135.21,0.25,99.62,290
Gombe,2024,28.2,122.09,0.23,99.68,227
Kebbi,2020,40.36,196.78,0.21,99.54,318
Kebbi,2021,30.36,198.61,0.15,99.65,378
Kebbi,2022,38.71,219.34,0.18,99.56,316
Kebbi,2023,37.68,170.12,0.22,99.57,78
Kebbi,2024,37.02,217.22,0.17,99.58,381
Zamfara,2020,30.15,160.09,0.19,99.66,275
Zamfara,2021,24.27,136.1,0.18,99.72,377
Zamfara,2022,26.61,115.12,0.23,99.7,451
Zamfara,2023,20.12,122.15,0.16,99.77,333
Zamfara,2024,19.64,153.53,0.13,99.78,89
Katsina,2020,49.59,165.89,0.3,99.43,89
Katsina,2021,44.78,162.22,0.28,99.49,286
Katsina,2022,44.78,156.15,0.29,99.49,385
Katsina,2023,42.64,172.87,0.25,99.51,108
Katsina,2024,33.91,138.53,0.24,99.61,94
Jigawa,2020,40.8,192.04,0.21,99.53,56
