date,state,petrol_price_naira_per_liter,diesel_price_naira_per_liter,kerosene_price_naira_per_liter,lpg_price_naira_per_kg,fuel_scarcity_factor,black_market_premium_percent,supply_disruption_days,nearest_depot_distance_km,local_consumption_million_liters
2020-01-01,Abia,178.05,250.32,212.77,150.19,1.16,13.5,0,60,12.546699132389605
2020-01-01,Adamawa,177.6,249.68,212.23,149.81,1.27,37.5,6,250,41.69535424612311
2020-01-01,Akwa Ibom,180.1,253.2,215.22,151.92,1.23,12.0,2,80,27.34458585501045
2020-01-01,Anambra,162.82,228.91,194.57,137.35,1.21,9.0,5,45,19.73009513881359
2020-01-01,Bauchi,168.38,236.74,201.23,142.04,1.23,18.0,2,180,37.2099509481298
2020-01-01,Bayelsa,167.44,235.41,200.1,141.25,1.18,22.5,1,90,43.34172804395497
2020-01-01,Benue,167.55,235.57,200.23,141.34,1.24,18.0,2,110,46.73121041033134
2020-01-01,Borno,224.87,316.15,268.73,189.69,1.33,60.0,7,300,42.74146847827835
2020-01-01,Cross River,175.08,246.14,209.22,147.69,1.16,15.0,2,120,42.20620801857791
2020-01-01,Delta,157.27,221.11,187.95,132.67,1.14,9.0,1,15,38.46306985450963
2020-01-01,Ebonyi,166.39,233.93,198.84,140.36,1.19,18.0,2,100,27.358542143145012
2020-01-01,Edo,166.21,233.67,198.62,140.2,1.23,12.0,1,40,49.391174227491085
2020-01-01,Ekiti,182.22,256.19,217.76,153.72,1.21,18.0,3,85,36.72054702752554
2020-01-01,Enugu,180.17,253.3,215.31,151.98,1.22,10.5,3,65,18.595340588217837
2020-01-01,FCT,156.04,219.37,186.47,131.62,1.09,7.5,0,25,29.489371291595884
2020-01-01,Gombe,179.65,252.58,214.69,151.55,1.17,21.0,3,200,9.749552938663857
2020-01-01,Imo,176.72,248.45,211.18,149.07,1.23,12.0,1,55,6.808222631520113
2020-01-01,Jigawa,187.87,264.13,224.51,158.48,1.23,22.5,3,150,35.735640245601104
2020-01-01,Kaduna,155.64,218.81,185.99,131.29,1.23,10.5,0,20,48.22895484796105
2020-01-01,Kano,177.0,248.85,211.52,149.31,1.14,12.0,1,30,31.303815853470955
2020-01-01,Katsina,169.03,237.64,201.99,142.58,1.21,18.0,1,140,40.96662060866613
2020-01-01,Kebbi,193.88,272.59,231.7,163.55,1.13,27.0,2,200,25.050817870899532
2020-01-01,Kogi,173.27,243.61,207.06,146.16,1.15,15.0,0,100,27.63279233277446
2020-01-01,Kwara,175.6,246.88,209.85,148.13,1.15,12.0,1,95,12.339518282000963
2020-01-01,Lagos,148.03,208.11,176.9,124.87,1.14,4.5,0,5,48.18541618513834
2020-01-01,Nasarawa,180.42,253.65,215.6,152.19,1.23,12.0,0,90,25.767568633639826
2020-01-01,Niger,173.81,244.36,207.71,146.62,1.18,22.5,2,120,26.34529725431917
2020-01-01,Ogun,162.5,228.46,194.19,137.07,1.17,7.5,0,35,32.628828676370034
2020-01-01,Ondo,183.36,257.79,219.12,154.67,1.23,15.0,2,70,5.607803437009057
2020-01-01,Osun,166.77,234.47,199.3,140.68,1.21,12.0,0,75,34.4105503647272
2020-01-01,Oyo,175.67,246.97,209.93,148.18,1.24,9.0,2,50,19.924356930231156
2020-01-01,Plateau,174.92,245.93,209.04,147.56,1.19,15.0,3,130,31.407930466467416
2020-01-01,Rivers,147.22,206.97,175.93,124.18,1.12,6.0,1,10,48.348754656090584
2020-01-01,Sokoto,186.06,261.58,222.34,156.95,1.15,30.0,3,180,23.84980596468535
2020-01-01,Taraba,189.68,266.68,226.67,160.01,1.29,42.0,2,220,24.353024900776088
2020-01-01,Yobe,219.31,308.33,262.08,185.0,1.38,52.5,12,280,27.09804760081445
2020-01-01,Zamfara,207.16,291.25,247.56,174.75,1.31,45.0,4,160,25.20236893087519
2020-02-01,Abia,141.02,214.71,182.5,128.83,1.08,9.0,1,60,49.33606162429374
2020-02-01,Adamawa,148.81,226.57,192.58,135.94,1.16,25.0,6,250,40.666161720087125
2020-02-01,Akwa Ibom,136.27,207.47,176.35,124.48,1.05,8.0,0,80,32.6278301645079
2020-02-01,Anambra,135.14,205.76,174.89,123.45,1.08,6.0,1,45,29.90256929039488
2020-02-01,Bauchi,136.04,207.13,176.06,124.28,1.06,12.0,0,180,14.278776852706459
2020-02-01,Bayelsa,138.14,210.32,178.77,126.19,1.07,15.0,4,90,45.36718499810417
2020-02-01,Benue,137.12,208.77,177.45,125.26,1.07,12.0,2,110,23.721862354798525
2020-02-01,Borno,163.41,248.8,211.48,149.28,1.26,40.0,12,300,36.59610916323618
2020-02-01,Cross River,129.76,197.57,167.93,118.54,1.08,10.0,4,120,32.91306453848068
2020-02-01,Delta,120.78,183.89,156.31,110.33,1.06,6.0,0,15,38.3369261025407
2020-02-01,Ebonyi,133.05,202.57,172.18,121.54,1.05,12.0,1,100,19.076805977290924
2020-02-01,Edo,140.18,213.42,181.41,128.05,1.05,8.0,0,40,12.300943911362644
2020-02-01,Ekiti,136.71,208.15,176.93,124.89,1.03,12.0,3,85,6.8918603279953325
2020-02-01,Enugu,141.83,215.94,183.55,129.56,1.12,7.0,0,65,9.471542852141791
2020-02-01,FCT,123.57,188.13,159.91,112.88,1.02,5.0,0,25,30.670576223642055
2020-02-01,Gombe,143.9,219.09,186.23,131.45,1.1,14.0,2,200,29.881615066802702
2020-02-01,Imo,137.32,209.07,177.71,125.44,1.04,8.0,2,55,34.86702302856936
2020-02-01,Jigawa,134.48,204.75,174.04,122.85,1.07,15.0,4,150,28.574825045205507
2020-02-01,Kaduna,122.94,187.18,159.11,112.31,1.1,7.0,1,20,8.74902026692815
2020-02-01,Kano,135.12,205.72,174.86,123.43,1.01,8.0,4,30,14.506025482571289
2020-02-01,Katsina,130.52,198.73,168.92,119.24,1.12,12.0,1,140,20.632229442703068
2020-02-01,Kebbi,149.93,228.27,194.03,136.96,1.09,18.0,2,200,46.254924228106425
2020-02-01,Kogi,129.79,197.6,167.96,118.56,1.13,10.0,1,100,49.97009684943571
2020-02-01,Kwara,139.73,212.75,180.84,127.65,1.12,8.0,3,95,5.002360401479783
2020-02-01,Lagos,114.23,173.92,147.83,104.35,1.03,3.0,0,5,19.04757264682498
2020-02-01,Nasarawa,134.34,204.54,173.86,122.72,1.04,8.0,1,90,8.211306808257353
2020-02-01,Niger,136.7,208.14,176.92,124.88,1.09,15.0,3,120,18.981284529168548
2020-02-01,Ogun,133.5,203.26,172.77,121.96,1.12,5.0,0,35,26.45529623754436
2020-02-01,Ondo,132.31,201.45,171.24,120.87,1.04,10.0,2,70,38.31877838416054
2020-02-01,Osun,140.95,214.6,182.41,128.76,1.03,8.0,1,75,41.464322247022274
2020-02-01,Oyo,130.39,198.53,168.75,119.12,1.04,6.0,1,50,49.39966612288102
2020-02-01,Plateau,136.18,207.35,176.24,124.41,1.04,10.0,2,130,38.33320465984685
2020-02-01,Rivers,112.84,171.8,146.03,103.08,1.03,4.0,2,10,44.94365907343383
2020-02-01,Sokoto,142.36,216.75,184.24,130.05,1.09,20.0,5,180,36.23424946838711
2020-02-01,Taraba,142.93,217.62,184.98,130.57,1.11,28.0,4,220,49.336074269882786
2020-02-01,Yobe,169.44,257.97,219.28,154.78,1.17,35.0,5,280,30.110556977327896
2020-02-01,Zamfara,161.78,246.31,209.36,147.79,1.14,30.0,8,160,40.518541240873944
2020-03-01,Abia,140.12,186.44,158.47,111.86,1.11,9.0,2,60,37.87689666427102
2020-03-01,Adamawa,139.35,185.41,157.6,111.25,1.16,25.0,8,250,18.575999660671524
2020-03-01,Akwa Ibom,130.19,173.22,147.24,103.93,1.1,8.0,1,80,37.60765657793886
2020-03-01,Anambra,124.62,165.81,140.94,99.49,1.13,6.0,1,45,28.964667489940414
2020-03-01,Bauchi,137.37,182.78,155.37,109.67,1.11,12.0,0,180,46.42782423232653
2020-03-01,Bayelsa,130.81,174.05,147.94,104.43,1.09,15.0,1,90,41.670877522619456
2020-03-01,Benue,132.94,176.89,150.36,106.13,1.06,12.0,1,110,22.260180387004674
2020-03-01,Borno,174.34,231.98,197.18,139.19,1.27,40.0,7,300,19.1992284898378
2020-03-01,Cross River,138.33,184.06,156.45,110.43,1.08,10.0,0,120,27.628458713689252
2020-03-01,Delta,120.34,160.11,136.1,96.07,1.04,6.0,0,15,23.876036118096238
2020-03-01,Ebonyi,139.2,185.21,157.43,111.13,1.04,12.0,0,100,42.78714956851224
2020-03-01,Edo,132.17,175.86,149.48,105.52,1.04,8.0,1,40,23.789063502600253
2020-03-01,Ekiti,141.82,188.7,160.39,113.22,1.1,12.0,3,85,49.95670293699273
2020-03-01,Enugu,135.27,179.99,152.99,107.99,1.1,7.0,0,65,11.319956027060162
2020-03-01,FCT,119.13,158.51,134.73,95.1,1.02,5.0,0,25,44.31619397457026
2020-03-01,Gombe,143.21,190.55,161.97,114.33,1.03,14.0,3,200,36.754401507658905
2020-03-01,Imo,133.73,177.93,151.24,106.76,1.1,8.0,1,55,17.323311391156366
2020-03-01,Jigawa,134.41,178.84,152.02,107.31,1.13,15.0,3,150,36.530329512605064
2020-03-01,Kaduna,123.57,164.41,139.75,98.65,1.06,7.0,2,20,30.64883153679321
2020-03-01,Kano,135.13,179.8,152.83,107.88,1.01,8.0,3,30,18.899946843608927
2020-03-01,Katsina,140.02,186.3,158.36,111.78,1.07,12.0,2,140,20.26868602097357
2020-03-01,Kebbi,142.1,189.07,160.71,113.44,1.03,18.0,2,200,27.582761229860814
2020-03-01,Kogi,135.25,179.96,152.96,107.97,1.1,10.0,1,100,21.271099721868822
2020-03-01,Kwara,136.25,181.29,154.09,108.77,1.11,8.0,1,95,35.39041441362845
2020-03-01,Lagos,118.65,157.87,134.19,94.72,1.05,3.0,0,5,27.388616100518533
2020-03-01,Nasarawa,129.72,172.6,146.71,103.56,1.09,8.0,0,90,49.90417972020778
2020-03-01,Niger,136.58,181.72,154.46,109.03,1.07,15.0,3,120,26.667139739714543
2020-03-01,Ogun,130.21,173.25,147.26,103.95,1.1,5.0,0,35,38.52606623762176
2020-03-01,Ondo,137.1,182.42,155.06,109.45,1.13,10.0,1,70,11.725807871545298
2020-03-01,Osun,129.29,172.03,146.23,103.22,1.04,8.0,0,75,17.23144486389844
2020-03-01,Oyo,129.03,171.68,145.93,103.01,1.06,6.0,0,50,8.869559107175094
2020-03-01,Plateau,136.57,181.72,154.46,109.03,1.05,10.0,0,130,13.072364849089464
2020-03-01,Rivers,122.3,162.73,138.32,97.64,1.03,4.0,1,10,28.22635334976977
2020-03-01,Sokoto,151.88,202.08,171.77,121.25,1.09,20.0,4,180,42.087708221308205
2020-03-01,Taraba,145.75,193.92,164.84,116.35,1.21,28.0,2,220,5.862488993005214
2020-03-01,Yobe,160.21,213.17,181.19,127.9,1.18,35.0,7,280,5.881037118138185
2020-03-01,Zamfara,147.28,195.97,166.58,117.58,1.22,30.0,7,160,28.374948018923202
2020-04-01,Abia,141.02,224.67,190.97,134.8,1.21,11.7,0,60,49.09626117442679
2020-04-01,Adamawa,157.85,251.49,213.77,150.89,1.2,32.5,6,250,30.528796002641812
2020-04-01,Akwa Ibom,149.75,238.58,202.79,143.15,1.18,10.4,1,80,45.088566993747015
